000	The Basic Cat<br><br>	Charm point: muscle definition.<br>Basic Cat.<br>	Charm point: muscle definition.<br>Added charm point: beautiful hair.<br>
032	Flunking student from a certain dance school.<br>Can be produced in masses. Flash Mob!<br>Might slow Red enemies.	Someone you don't want to see on the street.<br>Dances skillfully to keep the game kid-friendly.<br>Might slow Red enemies.	Kicked out of dance school for improvising<br>performances too provocative for family shows.<br>Sometimes slows movement of Red enemies.
033	Very effective in winter… not that it matters.<br>Damage from Floating enemies greatly reduced.<br>Might weaken Floating enemies.	Hid in a TV to scare people for fun.<br>Was never able to get out. Haunts TVs now.<br>Resistant to + might weaken Floating.	Extra-flexible Cat who feels most comfortable<br>in small, dark spaces. Cancels wave attacks.<br>Tough vs Floating, might weaken enemies.
034	Not sure if this is a Cat…<br>Maybe if you evolve him…<br>	God, I don't know if this is a Cat anymore.<br>Seriously, I give up.<br>Knocks back enemies. (Area Atk.)	Tired of scaring children, Luga decided to reinvent<br>himself as that famous masked hero. Freezes<br>and knocks back non-Metal enemies (Area Atk.)
035	Completely fearless… until leaving his basement.<br>Net denizen who is famous for flaming.<br>Uber Long Distance attack specialist.	Famous for making Big Red Buttons.<br>Graduate from an elite tech university.<br>Uber Long Distance attack specialist.	Having mastered virtual space, he's moved on<br>to losing his shirt in the cryptocurrency market.<br>Long-range area attacks slow non-Metal.
036	Built from the pain of losing every race.<br>Obtained its strength from tears of defeat.<br>Deals massive damage to Floating enemies.	Managed to overcome the endless defeat<br>with great effort. Now blessed with victory!<br>Deals massive damage to Floating enemies.	This one can barely even be called a Cat.<br>Submitted to gene therapy to become the<br>world champion. Extreme damage to Floating.
037	Sucked in to the recent (?) trend of toys.<br>Still, looks pretty fun.<br>Cheap to produce, might survive being broken.	Volunteered overseas and experienced<br>cultural exchange. Took home a costume.<br>Cheap to produce, might survive lethal strikes.	Horror movie maniac, or real g-g-ghost?<br>Mystic seal is just this month's gas bill…<br>Cheap to produce, 100% survives once!
038	Got tired of changing wheels of vehicles<br>so became one instead. Spins so fast it burns.<br>Massive damage against Aliens (Area Attack)	Got tired of moving around<br>so decided to become a galaxy instead.<br>Massive damage against Aliens (Area Attack)	An evolved Cat who is always<br>calm and collected at the office.<br>Massive area damage to Aliens.
039	Found a giant apple floating in a river.<br>Decided to use that as a costume.<br>Might stop Red enemies.	Found a giant head sitting on the road.<br>Decided to use that as a costume.<br>Might stop Red enemies.	Found a colorful apple near Silicon<br>Valley while turtleneck shopping one day.<br>Area attacks 100% stop Red enemies.
040	Likes to keep clean. All. The. Time.<br>Deals massive damage to Red enemies.<br>	Likes to keep clean. All. The. Time.<br>Enjoys a quiet bath. Do Not Disturb.<br>Deals massive damage to Red enemies.	Bubbles and gold leaf make for an extra<br>decadent bathtime. Extra-powerful jets<br>do massive damage against dirty Red enemies.
041	Has no limit when it comes to beauty care.<br>Works very well with Sexy Legs Cat.<br>Exceptional Range Attack (Area Attack)	A very stylish cat that earned the name<br>Jeanne. Might be French, not sure.<br>Exceptional Range Attack (Area Attack)	The ultimate bionic battle angel.<br>Perfect both aesthetically and technically.<br>Long distance Area Attack specialist.
042	A Cat that was entranced by a girl<br>hailing from the Land of Ice. It is frozen.<br>Might freeze Red enemies. (Area Attack)	Forgot to mention that the Cat is an<br>eternal icicle. Don't think it complains much.<br>Might freeze Red enemies. (Area Attack)	The Ice Queen's reign grows more secure,<br>and so does her Cat companion's crystal shell.<br>Freezes Red enemies in place (Area Attack).
043	Series 1 Weaponized Machine System (MS)<br>developed by the government (Area Attack)<br>Resitant to Red & Alien attacks.	A battle-tested revision MS that managed to<br>escape from the research facility (Area Attack)<br>Resitant to Red & Alien attacks.	The next generation of battle tech, MS:RX-Ω<br>has slipped into the hands of the Cat Army!<br>Resists Red/Alien attacks, immune to Waves.
044	A mad cat that sacrificed itself to a<br>a demon from the netherworld.<br>Attacks with extreme force.	The mad cat managed to control the<br>a demon from the netherworld.<br>Attacks with extreme force.	His wanderings through the abyss have<br>driven him mad with infernal ambitions.<br>Tremendous damage to a single enemy.
045	A sweet rookie entertainer, allergic to<br>green tea, better at keytar than shamisen.<br>	Years of life in the floating world made<br>her a cool cynic. Her distant attitude<br>befits her long-distance attacking power.	
046	Descendant of an Ancient Cat Race that<br>existed during the Jurassic Age.<br>Might perform Critical attacks	Descendant of an Ancient Cat Race that<br>takes care of the young during the Jurassic Era.<br>Might perform Critical attacks	Discovered a cute dinosaur in a magical land<br>of fungi. Features extra seating for the kids!<br>Might perform Critical attacks.
047	A combat-class Cat that has<br>read too many fantasy novels.<br>Strong against Red enemies.	Having found the internet, this Cat<br>had its armour and weapon order made.<br>Strong against Red enemies.	Turns out his "order made" armor is a<br>knockoff brand. Even the cheap stuff is still<br>enough to hit Red for massive Area dmg.
048	Influenced by a certain pirate cartoon,<br>and dreams of being a Pirate King. Can't swim.<br>Might knockback Red enemies.	Still thinks Pirates are cool. Still can't swim.<br>Doesn't get along with Ninja Cat anymore.<br>Might knockback Red enemies.	Just learned that there are movies about<br>pirates too! Inspired him to upgrade his boat.<br>Might knockback Red enemies.
049	Moves fast. Steals faster.<br>More money earned when defeating an enemy.<br>	Moves too fast. Still steals the same.<br>Has a large treasure collection now.<br>More money earned when defeating an enemy.	Bandit of legend, last seen in old Japan fighting<br>against the shogun's tyranny. Slips extra money<br>out of enemy pockets with area attacks.
050	A merciful Cat that brings peace and love<br>to all of its followers. Charges for confessions.<br>Might slow Floating enemies.	Envelopes the enemies in gracious serenity<br>to allow them to move to the afterlife<br>Might slow Floating enemies.	On a journey to save souls through enlightenment.<br>Mostly just beats up the local wildlife, though.<br>Might slow Floating enemies (Area Attack)
051	A Cat that loves the idea of fortune telling.<br>Has read one too many astrology books.<br>Might knockback Floating enemies.	Eldest son of a prominent<br>Tuna fisherman. Gets seasick.<br>Might knockback Floating enemies.	His medical philosophy is "Hair of the Dog".<br>If it doesn't kill ya, it must be working, right?!<br>Might knockback Floating enemies.
052	Able to communicate with the supernatural.<br>… is what it says on the Wiki.<br>Might freeze Floating enemies.	Turns out it was the supernatural that was<br>controlling this Cat in the end.<br>Might freeze Floating enemies.	His bewitching dance is fueled by dark<br>powers. Can you resist his devilish groove?<br>Might freeze Floating enemies for longer.
053	Unlocked by meeting all the legends.<br>Freezes enemies in place.<br>Summon when you are losing ground.	Uses special powers to interrupt time.<br>Stops the movement of enemies.<br>Summon when you are losing ground.	
054			
055	A Magical Cat that would rather be<br>a Magical Girl than a Witch.<br>Might slow Red enemies.	Obtained magic skills from online courses.<br>Really popular at parties but doesn't get paid.<br>Might slow Red enemies.	Used her clairvoyant powers to scry the<br>best way to make it big on TV. Her star<br>power might slow Red enemy movement.
056	Elite ranged Cat that can provide useful<br>supporting fire. Bruises like a Tomato.<br>Deals massive damage to Floating enemies.	Rains arrows of love upon unsuspecting foes.<br>Does not like to get hurt.<br>Deals massive damage to Floating enemies.	Once a glittering constellation, this demigod<br>hides from heaven, firing powerful arrows<br>at Floating enemies for massive damage.
057	Its cursed sword reduces the offensive power<br>but might deliver critical hits.<br>Known as the "Metal Killer".	The cursed sword has taken over and<br>turned the Cat into the Cursed Knight.<br>Known as the "Dark Metal Knight". (Area Atk)	This Cat's righteous heart finally conquered<br>the cursed sword, turning it into a holy axe.<br>Might critical attack. (Area Attack)
058	Trained in a certain game to become<br>a magic swordsman. Very effective Battle Cat.<br>Fire sword does massive damage to Red enemies.	Mastered the art of dual wielding.<br>Also can use magic. Scary combination.<br>Flame swords do massive damage to Red enemies.	So in tune with his blades that he can now<br>command the forces of nature themselves.<br>Flames do massive damage to Red enemies.
059	A baby Cat that still can't do anything<br>by itself. Luckily, daddy is there to help.<br>Might knockback Floating & Aliens (Area Atk)	Brought along it's baby sister.<br>Dad has his work cut out for him.<br>Might knockback Floating & Aliens (Area Atk)	Even 7 kittens together can't do much…<br>Luckily Dad's still keeping an eye out for bullies.<br>Area wave attacks knockback Floating/Alien.
060	A good defensive cat with ridiculous health<br>and very decent offensive ability.<br>Might knockback Metal enemies (Area Attack)	Sucked into the world of art<br>and mastered everything about sculpting<br>Might knockback Metal enemies (Area Attack)	Has the longest winning streak on a popular<br>quiz show, although the questions are pretty easy.<br>Might knockback Metal enemies (Area Attack)
061	A Cat that moves fast by spinning.<br>The fresh meat can take a beating. (Area Attack)<br>Resistant to Red, might weaken enemies.	A Cat that moves fast by spinning.<br>Also got into Rock 'n' Roll (Area Attack)<br>Resistant to Red, might weaken enemies.	Don't get all salty just because you'll lose!<br>Eggs-elent defense and Area Attack.<br>Resistant to Red, might weaken enemies.
062	Plastic capsule toy machine.<br>A Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	Plastic capsule toy machine.<br>Longer Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	
063	The power of three Cats, and one Tank Cat.<br>These cats love Sports Day and<br>always strive for the top team (Area Attack)	The power of three Cats, and one Tank Cat.<br>Though an effective team, the Tank Cat<br>is the victim, apparently. (Area Attack)	No one wanted to pay the ransom, so they<br>just made the Tank into a banner of victory.<br>Morally ambiguous efficiency! (Area Atk)
064			
065			
066			
067			
068			
069			
070	Let's not forget those who work hard everyday.<br>These people pay Worker Cat's salary. Its last<br>resort is an magnificent DoGeZa. Strong vs. Red	A Salaryman Cat who couldn't take the abuse<br>from his boss and resorted to Anti-Red<br>occultism. Curse them all! (Area Attack)	This world is too brutal and unfair to tolerate!<br>Primitive rage has overtaken him.  Why flame on<br>social media when you can flame IRL? (Area Atk)
071	A famous warrior that was transformed by the<br>Legendary Cat Armour into a Bird-type General.<br>Deals massive damage to Black enemies.	Activated the armour's hidden function<br>Jet Boosters. No stopping it now!<br>Deals massive damage to Black enemies.	Crimson wings carry this wargod through the<br>front lines, tearing them apart without mercy!<br>Deals massive damage to Black enemies.
072	A warrior that was transformed by the Legendary<br>Cat Armour into a Tiger-type General. (Area Attack)<br>Resistant to Black, more damage when hurt.	The Legendary Cat Armour evolved and sprouted<br>a Cherry Tree from his head (Area Attack)<br>Resistant to Black, more damage when hurt.	As the cherries blossom, so does Keiji's battle fury.<br>Resistant to Black, immune to Wave attacks. Area<br>attacks grow stronger as he takes damage.
073	The manifestation of the Grudge of Nobunaga<br>from the lives of many (and one Cat) (Area Attack)<br>100% chance to Freeze Black enemies.	The Cat's spirit goes into overdrive.<br>The grudge grows even stronger. (Area Attack)<br>100% chance to Freeze Black enemies.	Leads an army of vengeful spirits to fulfill his<br>dream of unifying the heavens and the netherworld.<br>100% chance to Freeze Black enemies. (Area)
074	The Cats tried making the Fish Cat cuter.<br>This one carries the gifts you dream of.<br>More money earned when defeating an enemy.	The Cats tried making the Fish Cat look tastier.<br>Earned stars in hospitality for its sacrifice.<br>More money earned when defeating an enemy.	This unit built for fighting has been re-<br>engineered to delight sweet tooths. Area<br>attacks get extra money after defeating.
075	A galaxy girl who manipulates wind.<br>Her vacuum cannon cleans enemies from a distance<br>Massive damage to Floating enemies. (Area Attack)	This strange girl can hear the wind whispering.<br>The wind tells her that it is in pain…<br>Massive damage to Floating enemies. (Area Attack)	Has a bad habit of impulse buying the latest mechas.<br>Neo-Vacuum Cannon blasts from long-distance.<br>Massive damage to Floating enemies. (Area Attack)
076	A galaxy girl who can manipulate electricity.<br>Brings down bolts from a distance.<br>Massive damage to Red enemies. (Area Attack)	Always worries about her chronic neck pain.<br>Likes watching cartoons in her spare time.<br>Massive damage to Red enemies. (Area Attack)	When you have a goddess' body, it's tough to find<br>clothes that fit. Long distance Area Attacks<br>deliver massive damage to Red enemies.
077	A strong defensive cat modeled after a phone.<br>A phone… really? Dances better than Tank Cat.<br>Resistant to Metal attacks (Area Attack)	The Cats managed to use magic marker.<br>So now it's water resistant too.<br>Resistant to Metal attacks (Area Attack)	A durable shield character in stylish seasonal<br>colors. Made of all-new material for improved<br>Resistance to metal enemies. (Area Attack)
078	Coming out of his shuttle to attack.<br>Low health, but can break Barriers!<br>Might perform critical attacks.	Recently promoted from Lieutenant.<br>Low health, but can break Barriers!<br>Might perform critical attacks.	The ultimate in zero-gravity combat tech,<br>deployed to preserve the glory of the Cat Empire!<br>Breaks Barriers, might perform critical attacks.
079	This Cat reached legal age<br>and started to drink. Don't mind the ropes.<br>Strong against Red enemies.	This Cat drank a little too much.<br>Everything in moderation!<br>Strong against Red enemies.	After the 20th wine cooler, he had to be<br>tied up for his own good! Somehow gained<br>long distance attacks, strong against Red!
080	Hides his weakness by wearing the<br>the mask of the demon.<br>Might stop Red enemies.	A very well clothed cat. Until…<br>Just call the police.<br>Might stop Red enemies.	A gentleman's agreement makes life easier<br>for everyone. But whoever's on bottom has<br>it worse. Might stop Red and break Barriers!
081	Cats that have dressed up as dolls.<br>Don't have much health but shoots laser<br>beams to take down many foes (Area Attack)	This young Cat controls the Cat Robot,<br>Cat-o-tron, to fire laser beams (Area Attack)<br>Unforunately, it's not wireless yet.	Always owns the latest model carpet,<br>can call on his turbaned friend to fire<br>powerful wave attacks. (Area Attack)
082	Studied ninjutsu with manga.<br>Stronger than Axe Cat - YES!<br>Wanna fight, Red Enemies?	Deepened studies with anime.<br>Stronger than Axe Cat - YES!<br>Wanna fight, Red Enemies?	
083	An awakened Ancient Cat Dragon.<br>Leaves destruction in its wake (Area Attack)<br>Might knockback/resistant to Floating.	An awakened Ancient Cat Dragon Weapon.<br>Shifted to his final Dragon form (Area Attack)<br>Might knockback/resistant to Floating.	Sodom unlocked his FINAL final Dragon form,<br>rending the very earth asunder with his power!<br>100% area knockback/resistant vs Floating.
084	An awakened Ancient Cat Dragon.<br>Created to purify the world (Area Attack)<br>Might knockback and slow Floating enemies.	An awakened Ancient Cat Dragon.<br>Megidora shifts to final Dragon form (Area Attack)<br>Might knockback and slow Floating enemies.	Possessor of the Divine Dragon Stone. Ready to<br>devour all to maintain its imperial throne.<br>Area attacks might slow Floating enemies.
085	Legendary Dragon Knight Vars. (Area Attack)<br>Has rode over a thousand dragons.<br>Might knockback and slow Black enemies.	Legendary Dragon Knight Vars. (Area Attack)<br>Vars now unleashes all of his power.<br>Might knockback and slow Black enemies.	Legendary Knight who has mastered even the<br>most savage mount to rain down Area attacks.<br>Might knockback and slow Black enemies.
086	Ancient Cat Dragon Kamukura. (Area Attack)<br>Said to be able to move the heavens.<br>Might knockback and slow Red enemies.	Ancient Cat Dragon Kamukura. (Area Attack)<br>Shifted to true form after collecting 7 balls.<br>Might knockback and slow Red enemies.	Ancient Cat Dragon who has awakened the<br>hidden power of the 7 mystic balls.<br>Might knockback and slow Red enemies.
087	An Ancient Anti Cat Dragon weapon.<br>Lays down a hail of deadly bullets.<br>100% Area Knockback vs Red Enemies.	An Ancient Anti Cat Dragon weapon.<br>Raiden forcefully set to overdrive.<br>100% Area Knockback vs Red Enemies.	Overdrive has released Raiden's almighty power.<br>Nothing can withstand the blast of his holy beam.<br>Strong vs. / 100% Area Knockback vs Red.
088	In Japanese, it's Nawatobi<br>This Cat is cheap to produce, with added fun.<br>Might perform critical attacks	Well, Rope jump is more fun with two people.<br>Still cheap and effective, with twice more fun.<br>Might perform critical attacks	Always fast, cheap and delicious!<br>This describes both the Cats and their noodles.<br>Tough defense and chance of Critical Strikes.
089			
090			
091	The Basic Cat.<br>Crazed version obtains godspeed.<br>But his legs are too short…	Charm Point: Muscle Definition.<br>Crazed version obtains godspeed.<br>… and a little bit more definition?	His lovely 'do has driven him<br>a bit crazy, but he makes it work.<br>Manic version obtains godspeed.
092	Tough. High health. (Area Attack)<br>Strong enough to move a pebble.<br>Crazed version grants godspeed.	Rigid defense. Now with corners. (Area Attack)<br>Strong enough to move a small rock.<br>Crazed version grants godspeed.	Can take a beating thanks to elasticity.<br>Manic version grants even more<br>Really Good ™ Defense. (Area Attack)
093	Combat maniac.<br>Strong against Red enemies.<br>Crazed version increases attack power.	Hero wannabe.<br>Strong against Red enemies.<br>Crazed version increases attack power.	A charismatic knight who thirsts for<br>battle, mighty against Red enemies.<br>Manic for better defense and attack.
094	Able to do a very powerful long range attack<br>Crazed version grants Wave Attack, but<br>increases production time.	Has pride in his overly beautiful legs.<br>Crazed version grants Wave Attack, but<br>increases production time.	Frenzy has enhanced the beauty of his<br>legs and the power of his long-distance<br>attacks even more. Popularity is down, though.
095	Thinks quick, acts quick, and uses his head.<br>Runs like the wind!<br>Crazed Version grants Area Attack	Thinks quick, acts quick, and uses his head.<br>Headbangs only to Rock'n'Roll!<br>Crazed Version grants Area Attack	An excellent, agile character.<br>Though Manic, his magnificent mane<br>somehow grants him godspeed (Area Atk)
096	Has the health of a pea<br>Exceptional attack power (Area Attack)<br>Crazed version increases attack range.	Managed to overcome gravity.<br>Good against multiple enemies (Area Attack)<br>Crazed version increases attack range.	This manic flying object shows no mercy,<br>firing light beams to destroy whole cities from<br>range. More power! More range! Muahaha!
097	Strong against Red enemies.<br>Crazed version decreases production time.<br>Might perform critical attacks	Managed to become a carnivorous whale.<br>Strong against Red enemies.<br>Might perform critical attacks	Demons are rumored to live on this manic<br>island. Strong against Red, might critical.<br>Mania gives it extra offense and defense!
098	Able to attack enemies from a distance.<br>Powerful single shot long range attack.<br>Crazed version supports High Definition.	Found its way here from a fantasy world.<br>Powerful single shot long range attack.<br>Crazed version supports High Definition.	Even his frenzy can't stop him from joining<br>the ranks of the elite! His criticals and attack<br>power are unmatched. At least he says so.
099	Blessed with extreme attack power<br>and ridiculous amounts of health (Area Attack)<br>Crazed Version grants Wave Attacks.	Blessed with extreme attack power<br>Extreme attack power and health.<br>Crazed Version grants Wave Attacks.	Once manic, none can withstand his godlike<br>defense or offense, or outrun his godspeed.<br>His wave attacks occur more frequently too!
100	Her punches are messages<br>to convey the pure emotions in her heart.<br>Strong against Red Enemies (Area Attack)	Finished with matters of the heart,<br>she turned to sports, now no one can stop her.<br>Strong against Red Enemies (Area Attack)	She's dedicated her life to sport. Her unmatched<br>physical power has earned her 22 gold<br>medals in crushing Red enemies (Area Atk.)
101			
102			
103			
104	Distant relative of Fish Cat.<br>A good long distance attacker.<br>Strong against Red enemies.	Koi Cat and Gross Cat's distant cousin<br>Still wondering if it is Gross or Koi.<br>Strong against Red enemies.	Love… is it passion, or illusion?<br>All I know is that I love to swim.<br>Strong against Red (Area Atk)
105	Zealous user of strange witchcraft to control<br>her staff for great damage from a distance.<br>Strong against Black/Red enemies. (Area Attack)	Zealous user of strange witchcraft.<br>Not good with men, ends with verbal abuse.<br>Strong against Black/Red enemies. (Area Attack)	Treat her like a weakling and you'll know true pain.<br>Your apologies will only make the staff smash down<br>harder. Strong against Red/Black (Area Attack).
106	Airheaded girl riding her machine pig "Tonton".<br>Fires powerful point blank beams (Area Attack)<br>Reduced damage from Floating, Survives Once.	Ends up liking anyone who is nice to her.<br>Her love hurdle is mere 3cm (Area Attack)<br>Reduced damage from Floating, Survives Once.	If any cute guy is your type, is that really a type?<br>Always travels via her trusty Boarborg (Area Atk)<br>Reduced damage from Flying, Survives Once.
107	Magicial beauty powered by her staff<br>Releases beams of light (Area Attack)<br>Might freeze floating enemies.	Doesn't smile that often. (Area Attack)<br>In front of cats, however.. different story.<br>Might stop floating enemies.	What can you do for her that her favorite<br>Cat doesn't already? Come back in 100<br>years, kid. Might stop Floating (Area Attack)
108	Living happily in a plastic bubble.<br>No need for the outside world!!!<br>(Don't make them a role model, kids…)	A homemade fortress as resilient as the $0.75<br>budget allows. Tough against various attacks,<br>except moisture… a bit weak against that.	
