000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
013	Una oficinista muy servicial durante el día.<br>Bondage suele visitarla por la noche.<br>Ataca rápido y es eficaz contra enemigos rojos.	Le encanta la violencia, así que puede que no sea un gato.<br>Ataca rápido y es eficaz contra enemigos rojos.<br>	Destruye a sus enemigos sin compasión con una<br>barra fluorescente. Este caballero oscuro<br>ataca rápido y es eficaz contra enemigos rojos y negros.
014	A estos pobrecitos los han abandonado,<br>así que ahora se defienden solos con<br>gran justicia y velocidad. (Ataque de área).	La vida dura ha sacado el lado salvaje que<br>hay en ellos, así que mejor evitarlos a toda<br>costa porque están muy locos. (Ataque de área).	Una unidad de élite que busca mantener la paz<br>atacando a lo loco a los enemigos de la sociedad.<br>Puede desgastar a enemigos negros. (Ataque de área).
015	El frío invernal no se sufre cuando se va<br>vestido con una prenda de lana tan calentita.<br>Es una versión avanzada del Gato Muslamen.	Lo importante lo lleva bien tapadito.<br>No sé yo si muy protegido..., pero tapadito.<br>Es una versión avanzada del Gato Muslamen.	Le daba vergüenza ir a la batalla sin protección,<br>así que un amable gato le echó una... ¿piruleta?<br>(Ataque de área).
016	Quiere convertirse en una estrella del pop,<br>así que canta en las calles todos los días.<br>Si la ves, salúdala.	Agradece a sus fans que la hayan convertido en<br>una estrella, y ahora es conocida en todo el mundo.<br>¡Apóyala, su futuro es prometedor!	Ahora Moneko es la reina del pop del imperio felino,<br>pero no olvida a los fans que la siguen desde sus inicios.<br>Lanza minioleadas que pueden infligir daño crítico.
017	Un gato más chulo que un ocho. Sus papás<br>no lo dejan conducir una moto de verdad. (Ataque de área).<br>	¡Nacido para ser salvaje! Se fue de casa y por fin<br>se compró su motaca. (Ataque de área).<br>	Se vio forzado a reducir el número de ruedas por culpa<br>de la recesión, pero sigue pensando en positivo.<br>Ataca a grupos de enemigos. (Ataque de área).
018	Uno de los luchadores más eficaces.<br>Es rival del Gato Hachero y va ganando 10 a 1.<br>Eficaz contra enemigos rojos.	Aprendió a invocar animales<br>y viaja en rana para moverse más rápido.<br>Eficaz contra enemigos rojos.	Baila por el cielo asaltando a los enemigos<br>con sus técnicas avanzadas. Es una unidad barata y<br>muy eficaz contra enemigos rojos.
019	Estudia en una academia de cine y se especializa<br>en los efectos especiales y el maquillaje.<br>Eficaz contra enemigos rojos.	Sacó un sobresaliente en su clase de maquillaje.<br>Dice que es mejor que el Piscigato.<br>Eficaz contra enemigos rojos.	Ni un clavo oxidado puede evitar que su corazón siga<br>latiendo. Es más versátil que el Piscigato, ¡qué duda cabe!<br>Eficaz contra enemigos rojos y zombis. (Ataque de área).
020	La sinceridad es el arma secreta del guerrero.<br>Mucha vida y poder de ataque.<br>Es un gato muy bien equilibrado.	Se añade la caballerosidad a sus virtudes.<br>Mucha vida y poder de ataque.<br>Es un gato muy bien equilibrado.	¿Quién dice que no se puede disfrutar por igual de las<br>magdalenas y la carne de matanza? Un experto de la cocina<br>que ralentiza a los enemigos con churretazos de nata.
021	El Gato Defensor ignoró los comentarios<br>que decían que el tamaño no importaba.<br>Mejora su ataque. (Ataque de área).	Su verdadera vocación es alimentar a otros sumos.<br>No te dejes nada en el plato o te arrepentirás.<br>Mejora su ataque. (Ataque de área).	Defensa y nutrición en un delicioso paquete del tamaño<br>perfecto. Más resistente que el Gato Defensor y con<br>predisposición al entrenamiento intenso. (Ataque de área).
022	¡Que el ritmo no pare!<br>Es una unidad barata con una personalidad<br>muy marchosa. ¡A bailar, a bailar!	Esta fiesta no hay quien la pare.<br>Es una unidad barata y con un tiempo de recuperación breve.<br>¡Baila hasta que se te caigan los pies! ¡Saaamba!	Su trabajo es alegrarles el día a las señoritas del mundo.<br>Nunca ha estado en México, pero le encanta todo lo que<br>tenga que ver con los mariachis. ¡Manda lejos a los enemigos!
023	Encontró una falda que le queda estupenda,<br>así que siempre la lleva puesta.<br>Es una versión avanzada del Gato Muslamen.	Buscaba algo de variedad y se encontró<br>este estupendo liguero en el todo a cien.<br>Es una versión avanzada del Gato Muslamen.	Escogió la ropa interior más tradicional para<br>presumir aún más de piernas, y creó tendencia.<br>Ataca rápido y puede romper barreras.
024	Ha bajado desde los campos del Valhalla<br>para ofrecer la salvación a The Battle Cats.<br>Usa la lanza sagrada Miaunir. (Ataque de área).	Ha mutado a su forma final.<br>Le mosquea que el Misidiós siga tirándole la caña.<br>Usa la lanza sagrada Miaunir. (Ataque de área).	Se ha roto la maldición y la salvadora de la raza felina<br>ha regresado. La Miaunir reparada atraviesa a los enemigos,<br>paralizándolos al instante. (Ataque de área).
025	Una antigua arma felina que, según los<br>rumores, originó el primer apocalipsis.<br>Poder de ataque excepcional. (Ataque de área).	Resulta que el primer apocalipsis fue<br>por culpa de este. Ya ves por qué...<br>Poder de ataque excepcional. (Ataque de área).	Dicen que ya tiene el poder para destruir la Tierra.<br>Se ha quitado el traje que encadenaba su poder,<br>así que ahora no habrá quien lo pare. (Ataque de área).
026	Joined the war especially in order to seek "sweets".<br>Her ultimate attack is unleashing her ferocious dash!<br>Does joining the war stop her pursuit of hot guys?	Joined the war especially in order to seek "sweets".<br>She turned from a tomboy into a sexy princess.<br>Her ultimate attack is unleashing her ferocious dash!	
027	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and bought an item in a wig shop.	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and spent an entire fortune on plastic surgery.	
028	An experimental weapon: one speedy Cat,<br>protected by state-of-the-art capsule plastic.<br>Packs a punch, definitely can't take one.	Capsule Cat felt lonely and posted an ad for<br>roommates. Overestimated the space in his flat.<br>It's always cuddle time, whether they like it or not!	
029	Wears the mask which he borrowed without permission<br>from the adventurer Gamatoto who found the mask.<br>His only capability is wearing the mask though.	Finally became a wrestler.<br>Due to his class change, his talents<br>have increased considerably. (Area)	
030	Un gato que ha alcanzado un estado de paz<br>y ha llevado su cuerpo más allá de los límites físicos.<br>Puede ralentizar a enemigos voladores. (Ataque de área).	Un gato bodhisattva que ha mostrado<br>compasión con miles de gatos.<br>Puede ralentizar a enemigos voladores. (Ataque de área).	Emana una compasión alcanzada gracias a la meditación.<br>Pero hasta Buda tiene un límite... Puede ralentizar<br>y desgastar a enemigos voladores. (Ataque de área).
031	Es el líder de las bandas de la escuela felina.<br>Puede paralizar a enemigos voladores. (Ataque de área).<br>	Ha pillado una rabieta terrible porque su padre<br>se ha comido el helado que guardaba en la nevera.<br>Puede paralizar a enemigos voladores. (Ataque de área).	Muy travieso conocido como «Rey del Puño Cabreado». Le<br>encanta el pachinko y compra helado con lo que gana. Puede<br>paralizar a enemigos voladores y reliquias (Ataque de área).
032	Estudiante de una escuela de baile cualquiera.<br>¡Puedes producir muchas unidades para hacer un flash mob!<br>Puede ralentizar a enemigos rojos.	Es alguien a quien no quieres encontrarte por la calle. Baila<br>con maestría para que el juego siga siendo apto para niños.<br>Puede ralentizar a enemigos rojos.	Lo echaron de la escuela de baile por improvisar actuaciones<br>demasiado provocativas para los espectáculos familiares.<br>Puede ralentizar a enemigos rojos.
033	Es muy eficaz en invierno, aunque... ¿eso qué más da?<br>Se reduce el daño que sufre de enemigos voladores.<br>Puede desgastar a enemigos voladores.	Se escondió en una televisión para asustar a la gente<br>y ya nunca pudo salir. Ahora acecha a otras teles.<br>Resistente a voladores y puede desgastarlos.	Es una unidad superflexible que se siente más a gusto<br>en espacios pequeños y oscuros. Cancela las oleadas.<br>Duro contra enemigos voladores y puede desgastar.
034	No está muy claro si es un gato...<br>Igual si lo mutas...<br>	Ay, madre, no sé si esto es un gato o no...<br>De verdad, me rindo.<br>Repele a enemigos. (Ataque de área).	Este luga se cansó de asustar críos, así que decidió<br>reinventarse como ese famoso héroe enmascarado.<br>Paraliza y repele a enemigos no metálicos. (Ataque de área).
035	No tiene miedo... hasta que sale de su sótano.<br>Este friqui es famoso por sus mensajes provocadores.<br>Tiene un excelente ataque a distancia.	Es famoso por construir esos grandes botones rojos.<br>Se graduó en una universidad técnica de élite.<br>Tiene un excelente ataque a distancia.	Como ya controla el espacio virtual, ahora ha pasado<br>a darlo todo en el mercado de la criptomoneda. Ralentiza<br>a enemigos no metálicos. (Ataque de área a distancia).
036	Se ha hecho a sí mismo con el dolor de perder cada<br>carrera. La fuerza la saca de las lágrimas de la derrota.<br>Superfuerte contra enemigos voladores.	Consiguió sobreponerse a la derrota infinita con<br>mucho esfuerzo y ahora siempre gana.<br>Superfuerte contra enemigos voladores.	Este no puede ni llamarse «gato». Se sometió<br>a terapia genética para ser campeón del mundo.<br>Superfuerte contra enemigos voladores.
037	Se ha metido de lleno en la moda de<br>los juguetes. Parece divertido.<br>Unidad muy barata que puede sobrevivir a un golpe mortal.	Se fue de voluntariado para experimentar un intercambio<br>cultural, pero lo único que se llevó a casa fue un traje.<br>Unidad muy barata que puede sobrevivir a un golpe mortal.	¿Es un friqui de las pelis de miedo... o es un fantasma<br>de verdad? Lo que lleva en la frente es la factura del gas.<br>Unidad muy barata que siempre sobrevive a un golpe mortal.
038	Se cansó de cambiarles las ruedas a los coches, así<br>que se convirtió en una. Gira tan rápido que quema.<br>Superfuerte contra álienes. (Ataque de área).	Se cansó de girar todo el rato,<br>así que se convirtió en galaxia.<br>Superfuerte contra álienes. (Ataque de área).	Un gato evolucionado que siempre<br>está tranquilo y relajado en la oficina.<br>Superfuerte contra álienes. (Ataque de área).
039	Encontró una manzana gigante flotando en el río<br>y decidió disfrazarse con ella.<br>Puede paralizar a enemigos rojos.	Encontró una cabeza gigante en la calle<br>y decidió disfrazarse con ella.<br>Puede paralizar a enemigos rojos.	Encontró una manzana de colores en<br>Silicon Valley mientras estaba de compras.<br>Siempre paraliza a enemigos rojos. (Ataque de área).
040	Le gusta lavarse. Todo el rato. Siempre. Always.<br>Superfuerte contra enemigos rojos.<br>	Le gusta lavarse. Todo el rato. Siempre. Always.<br>Prefiere sus baños en silencio, no lo molestes.<br>Superfuerte contra enemigos rojos.	Las burbujas y el baño en oro convierten la hora del<br>baño en todo un lujo. Tiene chorros más potentes.<br>Superfuerte contra enemigos rojos.
041	No tiene límites cuando se trata de tratamientos de belleza.<br>Funciona bien con el Gato Muslamen.<br>Su ataque tiene un gran alcance. (Ataque de área).	Una estilosa felina conocida como Jeanne.<br>Es posible que sea francesa, pero no está claro.<br>Su ataque tiene un gran alcance. (Ataque de área).	El ángel de batalla biónico definitivo.<br>Es perfecto estética y técnicamente.<br>Especialista en ataques a distancia. (Ataque de área).
042	Este gato se quedó helado al ver a una chica<br>de la Tierra de Hielo. Está completamente congelado.<br>Puede paralizar a enemigos rojos. (Ataque de área).	Por si no había quedado claro: el gato es literalmente<br>un cubito de hielo. Tampoco se queja demasiado.<br>Puede paralizar a enemigos rojos. (Ataque de área).	A medida que la reina de hielo adquiere confianza, la<br>cubierta de cristal de su gato se hace más gruesa.<br>Siempre paraliza a enemigos rojos. (Ataque de área).
043	Sistema mecanizado y equipado de serie 1.<br>Ha sido desarrollado por el gobierno. (Ataque de área).<br>Resistente contra enemigos rojos y álienes.	El sistema de serie 1 que estaba listo para el combate<br>logró escaparse de las instalaciones. (Ataque de área).<br>Resistente contra enemigos rojos y álienes.	La siguiente generación de tecnología de combate. El sistema<br>de serie 1 RX-Ω ha caído en manos del ejército felino.<br>Resistente a enemigos rojos y álienes. Inmune a las oleadas.
044	Un gato loco que se sacrificó<br>a un demonio del inframundo.<br>Superfuerza de ataque.	El gato loco consiguió controlar<br>al demonio del inframundo.<br>Superfuerza de ataque.	Sus paseos por el abismo lo han enajenado<br>y ahora su ambición es completamente infernal.<br>Superfuerza contra un solo enemigo.
045	A sweet rookie entertainer, allergic to<br>green tea, better at keytar than shamisen.<br>	Years of life in the floating world made<br>her a cool cynic. Her distant attitude<br>befits her long-distance attacking power.	
046	Descendiente de una antigua raza felina<br>que existió solo durante la época jurásica.<br>Puede infligir daño crítico.	Descendiente de una antigua raza felina<br>que cuidaba de los peques durante la época jurásica.<br>Puede infligir daño crítico.	Descubrió un dinosaurio muy mono en una tierra mágica<br>de hongos. ¡Y tiene asientos adicionales para los críos!<br>Puede infligir daño crítico.
047	Un gato de combate que ha<br>leído muchas novelas de fantasía.<br>Eficaz contra enemigos rojos.	Ha descubierto internet, así que<br>ha pedido la armadura y la espada a medida.<br>Eficaz contra enemigos rojos.	Resulta que su armadura hecha a medida es falsa.<br>Pero incluso el material barato le sirve para liarla parda.<br>Superfuerte contra enemigos rojos. (Ataque de área).
048	Es muy fan de un famoso pirata de dibujos animados<br>y sueña con ser rey de los piratas. No sabe nadar.<br>Puede repeler a enemigos rojos.	Sigue pensando que los piratas molan. Sigue sin<br>saber nadar. Ah, y ya no se habla con el Gato Ninja.<br>Puede repeler a enemigos rojos.	Se acaba de enterar de que también hay pelis de piratas<br>y está tan emocionado que ha mejorado su barco.<br>Puede repeler a enemigos rojos.
049	Se mueve rápido y roba más rápido todavía.<br>Aumenta el dinero que ganas al vencer enemigos.<br>	Se mueve superrápido y roba al mismo ritmo.<br>Ahora tiene una colección de tesoros sin fin.<br>Aumenta el dinero que ganas al vencer enemigos.	Bandido legendario que fue visto por última vez luchando<br>contra los ricos y tiranos. Sisa un dinerillo extra<br>de los bolsillos enemigos al vencerlos. (Ataque de área).
050	Un gato piadoso que ofrece paz y amor<br>a todos sus seguidores. Cobra por las confesiones.<br>Puede ralentizar a enemigos voladores.	Envuelve a los enemigos en una serenidad plena<br>para ayudarlos a pasar sin culpas a la otra vida.<br>Puede ralentizar a enemigos voladores.	Ha emprendido un viaje para salvar almas pecadoras,<br>pero se está centrando fundamentalmente en la fauna local.<br>Puede ralentizar a enemigos voladores. (Ataque de área).
051	Un gato al que le encanta adivinar el futuro,<br>pero que quizá se ha pasado con los libros de astrología.<br>Puede repeler a enemigos voladores.	El hijo mayor de un renombrado<br>pescador de atunes. Se marea enseguida.<br>Puede repeler a enemigos voladores.	Su filosofía médica es «lo que no te mata,<br>te hace más fuerte».<br>Puede repeler a enemigos voladores.
052	Es capaz de comunicarse con el más allá.<br>O eso dice la Wikipedia.<br>Puede paralizar a enemigos voladores.	Resulta que era el más allá el que<br>controlaba al gato y no al revés.<br>Puede paralizar a enemigos voladores.	Su hechizante baile está inspirado por poderes<br>oscuros. ¿Podrás resistirte a su movimiento sexi?<br>Puede paralizar durante más tiempo a enemigos voladores.
053	Se desbloquea al conocer a todas las leyendas.<br>Paraliza a los enemigos.<br>Invócalo cuando estés perdiendo terreno.	Utiliza sus poderes especiales para parar el tiempo.<br>Detiene el movimiento de los enemigos.<br>Invócalo cuando estés perdiendo terreno.	
054			
055	Una gata mágica que preferiría ser hada en vez<br>de bruja, pero qué se le va a hacer.<br>Puede ralentizar a enemigos rojos.	Obtuvo sus poderes mágicos en unos cursos que hizo en línea.<br>Es muy popular en todas las fiestas, pero no le pagan.<br>Puede ralentizar a enemigos rojos.	Utiliza sus poderes de vidente para averiguar cómo<br>triunfar en la tele. Su superpoder puede ralentizar<br>a enemigos rojos.
056	Un atacante a distancia de élite capaz de ofrecer un buen<br>fuego de cobertura. Se hace pupa con mirarlo.<br>Superfuerte contra enemigos voladores.	Lanza flechas de amor a sus incautos enemigos.<br>No le gusta nada que hieran sus sentimientos.<br>Superfuerte contra enemigos voladores.	Fue una constelación brillante, pero ahora este semidios<br>huye del cielo. Es superfuerte contra enemigos<br>voladores, a los que ataca con poderosas flechas.
057	Su espada maldita reduce su poder de ataque,<br>pero puede infligir daño crítico.<br>Se le conoce como «la Maldición de los Metálicos».	La espada maldita ha tomado el control y ha convertido<br>a este gato en un caballero maldito conocido como «el<br>Caballero Metálico Oscuro». (Ataque de área).	El corazón justo de este gato ha vencido por fin a la<br>espada maldita y la ha convertido en un hacha divina.<br>Puede infligir daño crítico. (Ataque de área).
058	Se entrenó jugando a la consola para convertirse en<br>un espadachín mágico y un gato de batalla muy eficaz.<br>Su espada de fuego es superfuerte contra enemigos rojos.	Ahora es capaz de blandir dos espadas a la vez y puede<br>usar magia, lo cual es una combinación bastante peligrosa.<br>Sus espadas son superfuertes contra enemigos rojos.	Está tan en sintonía con sus espadas que ahora es capaz<br>de controlar las fuerzas de la naturaleza directamente.<br>Sus llamas son superfuertes contra enemigos rojos.
059	Un bebé que todavía no puede defenderse por sí mismo.<br>Por suerte, papá está cerca para protegerlo.<br>Puede repeler a voladores y álienes. (Ataque de área).	Ahora está acompañado de su hermana, también bebé.<br>Papá lo tiene todo bajo control.<br>Puede repeler a voladores y álienes. (Ataque de área).	Ni siquiera siete gatitos bebés pueden hacer mucho daño.<br>Por suerte, papá sigue muy pendiente de ellos.<br>Sus oleadas repelen a voladores y álienes. (Ataque de área).
060	Un buen gato defensor con muchísima vida<br>y con un ataque bastante decente.<br>Puede repeler a enemigos metálicos. (Ataque de área).	Se sumergió en el mundo del arte y ha logrado dominar<br>por completo el moldeado de la piedra.<br>Puede repeler a enemigos metálicos. (Ataque de área).	Tiene la racha ganadora más larga de la historia en los<br>concursos de la tele. Aunque las preguntas no son difíciles.<br>Puede repeler a enemigos metálicos. (Ataque de área).
061	Este gato avanza rápido sin parar de girar. Cuidado, es tan<br>fresco que puede soltar un buen coletazo. (Ataque de área).<br>Resistente a ataques de enemigos rojos. Puede desgastar.	Este gato avanza rápido sin parar de girar.<br>También le mola el rocanrol. (Ataque de área).<br>Resistente a ataques de enemigos rojos. Puede desgastar.	«¡Por mis huevas que venceremos sin dañarnos el cardado!».<br>Tiene una estupenda defensa. (Ataque de área).<br>Resistente a ataques de enemigos rojos. Puede desgastar.
062	Plastic capsule toy machine.<br>A Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	Plastic capsule toy machine.<br>Longer Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	
063	Tiene el poder de tres gatos normales y uno defensor.<br>Le encanta el Día Deportivo y siempre intenta hacerse<br>con la victoria. (Ataque de área).	Tiene el poder de tres gatos normales y uno defensor.<br>Parece que forman un buen equipo, pero el Gato Defensor<br>tiene algún que otro problemilla... (Ataque de área).	Nadie quiso pagar el rescate, así que han convertido al<br>Gato Defensor en un estandarte de victoria. Su eficacia<br>es un poco ambigua moralmente. (Ataque de área).
064			
065			
066			
067			
068			
069			
070	No olvidemos a los que tienen que ir a dar el callo cada día;<br>ellos pagan el salario del Gatopeón. Lo que mejor se le da<br>es la superreverencia. Eficaz contra enemigos rojos.	Un Gato Currito que no pudo soportar más el bullying<br>que le hacía su jefe y se pasó al ocultismo antirrojos.<br>¡Que se pudran todos! (Ataque de área).	El mundo es demasiado injusto para tolerarlo... Una rabia<br>primitiva se ha apoderado de él. ¿Por qué incendiar las redes<br>cuando puedes hacerlo en la vida real? (Ataque de área).
071	Un famoso guerrero que se transformó en un general de tipo<br>pájaro gracias a la legendaria armadura felina.<br>Superfuerte contra enemigos negros.	Ha encontrado una función oculta de la armadura que<br>activa unos propulsores, así que ya no hay quien lo pare.<br>Superfuerte contra enemigos negros.	Las alas carmesíes transportan al dios de la guerra a través<br>de la primera línea de batalla para destrozarla sin piedad.<br>Superfuerte contra enemigos negros.
072	Un guerrero que se transformó en general tigre gracias a la<br>legendaria armadura felina. Resistente contra enemigos<br>negros. Se fortalece al sufrir daño. (Ataque de área).	La legendaria armadura felina evolucionó y de su cabeza<br>germinó un cerezo. Resistente contra enemigos<br>negros. Se fortalece al sufrir daño. (Ataque de área).	La furia de Keiji crece al mismo ritmo que las cerezas.<br>Resistente contra enemigos negros e inmune a las oleadas.<br>Sus ataques se fortalecen al sufrir daño. (Ataque de área).
073	La manifestación conjunta del rencor de muchos, muchos<br>muchos, muchos gatos. (Ataque de área).<br>Siempre paraliza a enemigos negros.	El espíritu de un gato frenético con un<br>rencor creciente. (Ataque de área).<br>Siempre paraliza a enemigos negros.	Dirige un ejército de espíritus vengativos para satisfacer<br>su sueño de unificar los cielos y el inframundo.<br>Siempre paraliza a enemigos negros. (Ataque de área).
074	Los gatos intentaron poner mono al Piscigato.<br>Transporta los regalos de tus sueños.<br>Aumenta el dinero que ganas al vencer enemigos.	Los gatos intentaron poner más suculento al Piscigato.<br>Punto extra por sacrificarse para que te lo comas.<br>Aumenta el dinero que ganas al vencer enemigos.	Esta unidad tan beligerante ha sido rediseñada para<br>satisfacer hasta los paladares más exquisitos. Consigue<br>dinero extra al vencer enemigos. (Ataque de área).
075	Una galaxichica que manipula el viento.<br>Su cañón aspiradora limpia y da esplendor desde lejos.<br>Superfuerte contra enemigos voladores. (Ataque de área).	Una chica extraña que escucha al viento susurrar.<br>Y este le dice que tiene pupa.<br>Superfuerte contra enemigos voladores. (Ataque de área).	Tiene la mala costumbre de comprarse la última tecnología.<br>Su cañón neoaspiradora golpea desde lejííísimos.<br>Superfuerte contra enemigos voladores. (Ataque de área).
076	Una galaxichica que manipula la electricidad.<br>Lanza rayos a distancia.<br>Superfuerte contra enemigos rojos. (Ataque de área).	Le preocupa su dolor de cervicales crónico.<br>En sus ratos libres le gusta ver dibujitos animados.<br>Superfuerte contra enemigos rojos. (Ataque de área).	Cuando tienes cuerpo de diosa, es difícil encontrar ropa<br>que te venga bien. Superfuerte contra enemigos rojos.<br>(Ataque de área a distancia).
077	Un gato defensivo muy fuerte diseñado a partir de un móvil.<br>¿Un móvil? ¿En serio?... Baila mejor que el Gato Defensor.<br>Resistente contra enemigos metálicos. (Ataque de área).	Los gatos consiguieron un boli mágico,<br>así que ahora también es resistente al agua.<br>Resistente contra enemigos metálicos. (Ataque de área).	Un gato con escudo que se ha coloreado para<br>la época. Está construido con materiales nuevos.<br>Resistente contra enemigos metálicos. (Ataque de área).
078	Sale de su cohete para atacar.<br>Tiene poca vida, pero puede romper barreras.<br>Puede infligir daño crítico.	Lo han ascendido de teniente.<br>Tiene poca vida, pero puede romper barreras.<br>Puede infligir daño crítico.	Lo último en tecnología de combate de gravedad cero.<br>Su misión es preservar la gloria del imperio gatuno.<br>Rompe barreras y puede infligir daño crítico.
079	Este gato, fue alcanzar la edad legal y ponerse<br>a beber como un cosaco. No prestes atención a las cuerdas.<br>Eficaz contra enemigos rojos.	Se pasó de copichuelas...<br>Se lo tenemos dicho: ¡bebe con moderación!<br>Eficaz contra enemigos rojos.	Después de la vigésima cubitera, tuvieron que atarlo<br>para que no se hiciera daño. Por algún motivo, ahora tiene<br>ataques a distancia. Eficaz contra enemigos rojos.
080	Oculta su debilidad detrás de<br>una máscara de demonio.<br>Puede paralizar a enemigos rojos.	Un gato que siempre va de punta en blanco con su gabardina.<br>Hasta que, de repente... ¡Policíaaa!<br>Puede paralizar a enemigos rojos.	Un trato entre caballeros es beneficioso para todos,<br>menos para el caballero de debajo, claro está.<br>Puede paralizar a enemigos rojos y romper barreras.
081	Estos gatos se han disfrazado de muñecos.<br>No tienen mucha vida, pero disparan rayos láser que<br>derriban a muchos enemigos a la vez. (Ataque de área).	Este jovencito controla al robot felino Gatotrón, que dispara<br>rayos láser. Por desgracia, aún no hay versión inalámbrica.<br>(Ataque de área).	Siempre lleva el último modelo de alfombra voladora.<br>Su colega del turbante lanza oleadas muy potentes.<br>(Ataque de área).
082	Aprendió ninjutsu leyendo manga.<br>¡Y sí, por supuesto que es más fuerte que el Gato Hachero!<br>¿Queréis luchar, enemigos rojos?	Profundizó en sus conocimientos viendo anime.<br>¡Y sí, por supuesto que es más fuerte que el Gato Hachero!<br>¿Queréis luchar, enemigos rojos?	
