0|S0|I0	Speed Up
179|S179|I523	Purple B. Gem
180|S180|I524	Red B. Gem
181|S181|I525	Blue B. Gem
182|S182|I526	Green B. Gem
183|S183|I527	Yellow B. Gem
184|S184|I528	Epic B. Stone
185|S185|I422	Legendary Charm
186|S186|I423	Love Letter
187|S187|I618	Brick Z
188|S188|I619	Feathers Z
189|S189|I620	Coal Z
190|S190|I621	Sprockets Z
191|S191|I622	Gold Z
192|S192|I623	Meteorite Z
193|S193|I624	Beast Bones Z
194|S194|I625	Ammonite Z
195|S195|I424	Holy Water
1001	Sports Day Cat
1003	Salaryman Cat
1004	Reindeer Fish Cat
1005	Bronze Cat
1006	Droid Cat
1007	Adult Cat
1008	Evil Cat
1009	Doll Cats
1010	Maiden Cat
1011	Cabaret Cat
1012	Koi Cat
1013	Madam Bride
1014	Vacation Queen
1015	Vengeful Cat
1016	Kung Fu Cat X
1018	Marshmallow Cat
1019	Cat Kart R
1020	Baozi Cat
1021	Catburger
1022	Pumpcat
1023	A Gift of Cats
1024	Catway
1025	Awa-Odori Cat
1026	Express Cat
1027	Little Leaguer Cat
1028	Food Stall Cat
1029	Cheerleader Cat
1030	Killer Cat
1031	Curling Cat
1032	Eggy Cat
1033	Cat Bros
1035	Squish Ball Cat
1036	Volley Cat
1037	Glass Cat
1038	Crazed Moneko
1039	Slug Jockey Cat
1040	Lone Cat and Kitten
1041	Primordial Cat
1042	Dogumaru
1043	Cat Bros
1044	Mightycat
1045	Medusa Cat
1046	Slime Cat
1047	Cossack Cat
1048	Teacher BearCat
1049	Urs & Fenrir
1050	Rugby Cat
1051	Phantom Cat
1052	Bakery Cat
1053	Stone Cat
1054	Elder Mask Doron
1055	Aku Researcher
1056	Pied Piper Cat
1057	Calligraphy Cat
1058	Elder Beast Naala
1059	Ancient Egg: N001
1060	Ancient Egg: N003
1061	Ancient Egg: N004
1062	Ancient Egg: N000
1063	Killer Tank Cat
1064	Ancient Egg: N005
1065	Jetpack Cat
1100	Bronze Cat
1101	Space Cat
1102	Rope Jump Cat
1103	Crazed Cat
1104	Crazed Tank Cat
1105	Crazed Axe Cat
1106	Crazed Gross Cat
1107	Crazed Cow Cat
1108	Crazed Bird Cat
1109	Crazed Fish Cat
1110	Crazed Lizard Cat
1111	Crazed Titan Cat
1112	Healer
1113	Ururun Wolf
1114	Clockwork Cat
1116	Hoop Cat
1118	Li'l Nyandam
1119	Takuya ＆ Yuki
1120	Drumcorps Cat
1121	HYAKUTARO
1130	Catornado
1131	Red Riding Mina
1132	Funghi
1134	Li'l Madoka
1135	Kyubey Cat
1137	PIKOTARO
1139	Miyamoku Musashi
1140	Redhead Yuki Cat
1142	Li'l Shirou
1143	Akio Yabe
1144	Karin Nekozuka
1145	Misaki Konno
1146	Sairi Nijitani
1147	Ren Katagiri
1148	Mentori
1149	Shinji & Cat
1150	Giraffe Unit-01
1151	Pokota
1152	Ovis
1153	Coco
1157	Mecha-Bun
1158	Betakkuma
1160	Meowla Meowla
1162	Prince Yamato
1164	Kano ＆ Souma
1167	Ryu Cat
1168	Akuma Giraffe
1170	Miku Cat
1172	Idi:N
1173	Ranma Cat (M)
1174	Godzilla Cat
1177	Osamu Mikumo & Cat
1178	Yuma Kuga & Cat
10010	Beefcake Cat
10011	Dancer Cat
10012	Hyper Mr.
10013	Ultimate Bondage Cat
10014	Dark Lazer
10015	Heavy Assault C.A.T.
10016	Lollycat
10018	Unicycle Cat
10019	Flying Ninja Cat
10020	Skelecat
10021	Pastry Cat
10022	Riceball Cat
10023	Gato Amigo
10024	Loincloth Cat
10061	Quizmaster Cat
10064	Rampage Cats
10071	Ritual Cat
10075	Xmas Pudding Cat
10079	Space Marine Cat
10080	Prisoner Cat
10081	Gentleman Bros.
10082	Nyalladin
10089	Noodle Cats
10092	Manic Mohawk Cat
10093	Manic Eraser Cat
10094	Manic Dark Cat
10095	Manic Macho Legs
10096	Manic Lion Cat
10097	Manic Flying Cat
10098	Manic Island Cat
10099	Manic King Dragon
10100	Manic Jamiera Cat
10101	Wrestling Cat
10104	Mega Cat EX
10105	Kiss and Koi
10110	Madam the Savannah
10120	Healer Cat CC
10122	Merc & Cat CC
10123	Call Center Cat
10127	Puppetmaster & Charley
10128	Bombercat
10129	Kite Cat
10133	Iron Claw X
10155	Hoopmaster Cat
10180	Takuya＆ Lovely Yuki
10184	Cat Kart P
10192	Titi Cat CC
10202	Mochi Cat
10210	Li'l Mohawk Cat
10211	Li'l Eraser Cat
10212	Li'l Dark Cat
10214	Value Meal Cat
10246	Li'l Macho Legs Cat
10247	Li'l Lion Cat
10248	Li'l Flying Cat
10261	Time Traveller Cat
10268	Catyphoon
10274	Soba Cat
10285	Bullet Train Cat
10288	Golfer Cat
10300	Li'l Ultimate Madoka
10301	Li'l Devil Homura
10312	Li'l Island Cat
10313	Li'l King Dragon Cat
10314	Li'l Jamiera Cat
10325	Green Shell Cat
10330	Easter Egg Cat
10353	Masked Grandmaster Cat
10370	Saber Alter Cat
10380	Curry Cat
10383	Macho Crystal Cat
10384	Spiritual Yulala
10386	Akio & Gunder CC
10403	Plug Suit Shinji Black
10406	Moon Kaworu
10443	Tourist Cat
10453	Future Cat
10474	Rampaging Yamato
10475	Strike Angel
10522	Naga Cat
10532	Cadaver BearCat
10540	Gridiron Cat
10622	Cat Researcher
15017	Superstar MONEKO
15031	Tathagata Cat
15032	Ultra Delinquent Cat
15033	Can Can Cat
15034	Octopus Cat
15035	Ultralan Pasalan
15036	Cyberpunk Cat
15037	Fishman Cat
15038	Jiangshi Cat
15039	Chill Cat
15040	iCat
15041	Luxury Bath Cat
15042	Cyborg Cat
15043	Ice Crystal Cat
15044	Cat Machine Mk 3
15045	Greater Balrog Cat
15047	Catasaurus
15048	Maximum the Fighter
15049	Dread Pirate Catley
15050	Goemon Cat
15051	Sanzo Cat
15052	Doctor Cat
15053	Necro-Dancer Cat
15056	Enchantress Cat
15057	Cataur
15058	Paladin Cat
15059	Elemental Duelist Cat
15060	Cats in the Cradle
15062	Roe Cat
15072	Immortal Yukimura
15073	Immortal Keiji
15074	Immortal Nobunaga
15076	Divine Windy
15077	Divine Thundia
15084	God-Emperor Sodom
15085	God-Emperor Megidora
15086	God-Emperor Vars
15087	God-Emperor Kamukura
15088	God-Emperor Raiden
15106	Divine Kuu
15107	Divine Kai
15108	Divine Coppermine
15124	Val Val Cat
15125	Immortal Masamune
15126	Immortal Shingen
15130	Glittering Macho Cat
15135	King Gamereon
15136	Ultima Galaxy Cosmo
15137	The Peach Devils
15138	Jizo's Mega-Castle
15139	The Chaos Moon
15144	Joyful Nurse Cat
15145	Cat Base Ultra
15146	Rodeo Cat
15147	Acrobat Cats
15148	Robocat
15149	Ramen Cat
15150	Cameraman Cat
15151	Juliet the Maiko
15152	Pizza Cat
15153	Slapstick Cats
15154	Catophone
15159	Immortal Kenshin
15160	Divine Kalisa
15169	Assassinlan Pasalan
15170	E. Kubilan Pasalan
15172	Piccolan Pasalan
15174	Citizen Mola
15175	Master of the Pacific
15178	God-Emperor Dioramos
15181	Mystery Catgirl Yuki
15186	Revolutionary Hearscht CC
15188	Holiday Juvens CC
15189	Savior Mystica CC
15195	Inferno Akira
15196	Mission Control Mekako
15197	Ultimate Catman
15198	Corrupted Psychocat
15199	Thaumaturge Cat
15200	Seafarer Cat
15204	Kachiyama Assault Brigade
15213	The Grey Fox
15227	Mad Doctor Klay
15228	Harbinger Cat
15229	Costumed Witchy Neneko
15238	Headmaster Cat Jobs
15239	Richest Cat
15240	Sniper the Deadeye
15241	Shishilan Pasalan
15249	Extra-Life Cat
15258	Almighty Zeus
15259	Almighty Anubis
15260	Almighty Aphrodite
15262	Akuma Hayabusa
15271	Crazed Catgirl Yuki
15272	Almighty Amaterasu
15273	Almighty Ganesha
15277	Early Summer Neneko
15283	Gorgeous Groovin' Cat
15284	Pai-Pai DX
15287	Flight Unit R.E.I.
15303	Queen Succubus Cat
15305	CAT-8 Behemoth
15306	B.C.S. Tigerclaw
15307	NEK-02 Air Citadel
15308	Housewife Cat
15309	Weedwacker Cat
15311	Xmas Spirit Nurse
15315	Festive New Year Neneko
15317	Almighty Poseidon
15320	Radical Cat
15323	The One-Hit Wonders
15326	Ectoweight Cat
15331	Spring Breeze Kenshin
15332	Malevolent Mad-Duck
15333	Blossoming Neneko
15335	Fox Queen Himeyuri
15336	Mer-Queen Ruri
15337	Eternal Reika
15339	Immortal Yoshimoto
15342	Lost World Catgirl Yuki
15345	Artist Orthos CC
15346	Naptime Michelia CC
15352	Divine Twinstars
15356	Orbital Annihilator Ragnarok
15358	Jester Queen Deale
15359	Opulent Verbena
15360	Bazibastra
15361	Mizuririn
15362	Aervanta
15363	Saber Alter CC
15371	Dreaming Sakura Cat
15377	Catellite
15378	The Kitty of Liberty
15391	Baseball Mask α
15392	Baseball Mask β
15393	Baseball Mask γ
15394	Samba Saki CC
15395	Dark Subaru CC
15396	Baseball Mask δ
15397	Ganglion the Unleashed
15398	Sacred Blade Sakura
15402	Gigavolta
15410	Reunion Li'l Rei
15411	Eyepatch Li'l Asuka
15414	Determined Unit-00 & Cat
15415	Unit-02, Code 777
15418	Subterra Sentinels
15428	Cat Quest Heroes
15432	Section Chief Gravicci
15437	Mystican Pasalan
15438	Cat God the Golden
15440	Almighty Chronos
15444	Neo Driller Cat
15445	Neo Piledriver Cat
15446	Neo Cutter Cat
15447	Neo Backhoe Cat
15448	Neo Saw Cat
15451	God-Emperor Babel
15457	Dark Sakura CC
15468	Super S-Zeus
15469	Head Rococo
15470	Super D-Devil
15483	Cat-Eared Souma
15489	Vanished NNN Wunder
15496	Bellydance Cat
15497	Immortal Kaihime
15503	Divine Myrcia
15506	God-Emperor Gladios
15507	Nameless Eyewaltz CC
15512	Kage
15520	Lasvoss Reborn
15523	Fiend Cat
15524	Shigong Cat
15526	Kinrangers GigaForce
15534	Bad Blaster Saki
15535	Almighty Hades
15547	Sukelan Kakulan
15557	Ghost Alibaba
15564	Aquablaster Saki
15565	Fabulous Pasalan
15566	Permed Suntan Cat
15567	Gelato Bro Cats
15570	Gravolodon
15571	Halloween Knight Vars
15585	Maeda Christmas DX
15590	True Love Neneko
15595	Ultra Atlantis Logistix
15596	Everbloom Lord Kamukura
15608	Fabled Adventure Girl Kanna
15611	King Nekokhamen
15615	The Southern Sunflare
15618	Devil Hunter Satoru
15619	Immortal Amakusa
15620	Divine Lilin π
15621	God-Emperor Hevijak
15632	Yaminora
15633	Obliterator Diabolosa
15634	Grand Chunchun Haunters
15643	Almighty Lucifer
15645	Minty Love Mekako
15657	Haniwa Cat
15659	Courier Cat
15660	Catarzan
15664	Gas Mask Cat
15665	Surgeon Cat
15666	Exorcist Cat
15670	Cat Cactus
15671	Armored Firefly Cat
15676	Racquet Cat
15677	Mushroom Cat
15686	Supercar Cat
15692	Ape Lord Luza
15698	Cat Chief
15701	Hitman Cat
15707	Soap Cat
15708	Barrel Cat
15714	Clown Cat
16131	Awakened Ururun
16173	Schoolbus Nyandam
16269	Awakened Mina
16324	Awakened Musashi
16427	Ultimate Mecha-Bun
16463	Metafilibuster
16465	Reborn Warrior Doguemon
16533	Awakened Urs
16614	Awakened Doron
16654	Awakened Naala
18025	Holy Valkyrie Cat
18026	Awakened Bahamut Cat
19001	Mohawk Cat
19002	Eraser Cat
19003	Dark Cat
19004	Macho Leg Cat
19005	Lion Cat
19006	The Flying Cat
19007	Island Cat
19008	King Dragon Cat
19009	Jamiera Cat
19010	True Superfeline
30000	Attack Up D: Red
30001	Attack Up C: Red
30002	Attack Up B: Red
30003	Attack Up A: Red
30004	Attack Up S: Red
30005	Defense Up D: Red
30006	Defense Up C: Red
30007	Defense Up B: Red
30008	Defense Up A: Red
30009	Defense Up S: Red
30010	Attack Up D: Float
30011	Attack Up C: Float
30012	Attack Up B: Float
30013	Attack Up A: Float
30014	Attack Up S: Float
30015	Defense Up D: Float
30016	Defense Up C: Float
30017	Defense Up B: Float
30018	Defense Up A: Float
30019	Defense Up S: Float
30020	Attack Up D: Black
30021	Attack Up C: Black
30022	Attack Up B: Black
30023	Attack Up A: Black
30024	Attack Up S: Black
30025	Defense Up D: Black
30026	Defense Up C: Black
30027	Defense Up B: Black
30028	Defense Up A: Black
30029	Defense Up S: Black
30030	Defense Up D: Metal
30031	Defense Up C: Metal
30032	Defense Up B: Metal
30033	Defense Up A: Metal
30034	Defense Up S: Metal
30035	Attack Up D: Angel
30036	Attack Up C: Angel
30037	Attack Up B: Angel
30038	Attack Up A: Angel
30039	Attack Up S: Angel
30040	Defense Up D: Angel
30041	Defense Up C: Angel
30042	Defense Up B: Angel
30043	Defense Up A: Angel
30044	Defense Up S: Angel
30045	Attack Up D: Alien
30046	Attack Up C: Alien
30047	Attack Up B: Alien
30048	Attack Up A: Alien
30049	Attack Up S: Alien
30050	Defense Up D: Alien
30051	Defense Up C: Alien
30052	Defense Up B: Alien
30053	Defense Up A: Alien
30054	Defense Up S: Alien
30055	Attack Up D: Zombie
30056	Attack Up C: Zombie
30057	Attack Up B: Zombie
30058	Attack Up A: Zombie
30059	Attack Up S: Zombie
30060	Defense Up D: Zombie
30061	Defense Up C: Zombie
30062	Defense Up B: Zombie
30063	Defense Up A: Zombie
30064	Defense Up S: Zombie
30065	Strong Effect Up D: Red
30066	Strong Effect Up C: Red
30067	Strong Effect Up B: Red
30068	Strong Effect Up A: Red
30069	Strong Effect Up S: Red
30070	Massive Damage Up D: Red
30071	Massive Damage Up C: Red
30072	Massive Damage Up B: Red
30073	Massive Damage Up A: Red
30074	Massive Damage Up S: Red
30075	Resistant Effect Up D: Red
30076	Resistant Effect Up C: Red
30077	Resistant Effect Up B: Red
30078	Resistant Effect Up A: Red
30079	Resistant Effect Up S: Red
30080	Strong Effect Up D: Float
30081	Strong Effect Up C: Float
30082	Strong Effect Up B: Float
30083	Strong Effect Up A: Float
30084	Strong Effect Up S: Float
30085	Massive Damage Up D: Float
30086	Massive Damage Up C: Float
30087	Massive Damage Up B: Float
30088	Massive Damage Up A: Float
30089	Massive Damage Up S: Float
30090	Resistant Effect Up D: Float
30091	Resistant Effect Up C: Float
30092	Resistant Effect Up B: Float
30093	Resistant Effect Up A: Float
30094	Resistant Effect Up S: Float
30095	Strong Effect Up D: Black
30096	Strong Effect Up C: Black
30097	Strong Effect Up B: Black
30098	Strong Effect Up A: Black
30099	Strong Effect Up S: Black
30100	Massive Damage Up D: Black
30101	Massive Damage Up C: Black
30102	Massive Damage Up B: Black
30103	Massive Damage Up A: Black
30104	Massive Damage Up S: Black
30105	Resistant Effect Up D: Black
30106	Resistant Effect Up C: Black
30107	Resistant Effect Up B: Black
30108	Resistant Effect Up A: Black
30109	Resistant Effect Up S: Black
30110	Strong Effect Up D: Angel
30111	Strong Effect Up C: Angel
30112	Strong Effect Up B: Angel
30113	Strong Effect Up A: Angel
30114	Strong Effect Up S: Angel
30115	Massive Damage Up D: Angel
30116	Massive Damage Up C: Angel
30117	Massive Damage Up B: Angel
30118	Massive Damage Up A: Angel
30119	Massive Damage Up S: Angel
30120	Resistant Effect Up D: Angel
30121	Resistant Effect Up C: Angel
30122	Resistant Effect Up B: Angel
30123	Resistant Effect Up A: Angel
30124	Resistant Effect Up S: Angel
30125	Strong Effect Up D: Alien
30126	Strong Effect Up C: Alien
30127	Strong Effect Up B: Alien
30128	Strong Effect Up A: Alien
30129	Strong Effect Up S: Alien
30130	Massive Damage Up D: Alien
30131	Massive Damage Up C: Alien
30132	Massive Damage Up B: Alien
30133	Massive Damage Up A: Alien
30134	Massive Damage Up S: Alien
30135	Resistant Effect Up D: Alien
30136	Resistant Effect Up C: Alien
30137	Resistant Effect Up B: Alien
30138	Resistant Effect Up A: Alien
30139	Resistant Effect Up S: Alien
30140	Strong Effect Up D: Zombie
30141	Strong Effect Up C: Zombie
30142	Strong Effect Up B: Zombie
30143	Strong Effect Up A: Zombie
30144	Strong Effect Up S: Zombie
30145	Massive Damage Up D: Zombie
30146	Massive Damage Up C: Zombie
30147	Massive Damage Up B: Zombie
30148	Massive Damage Up A: Zombie
30149	Massive Damage Up S: Zombie
30150	Resistant Effect Up D: Zombie
30151	Resistant Effect Up C: Zombie
30152	Resistant Effect Up B: Zombie
30153	Resistant Effect Up A: Zombie
30154	Resistant Effect Up S: Zombie
30155	Attack Up D: Aku
30156	Attack Up C: Aku
30157	Attack Up B: Aku
30158	Attack Up A: Aku
30159	Attack Up S: Aku
30160	Defense Up D: Aku
30161	Defense Up C: Aku
30162	Defense Up B: Aku
30163	Defense Up A: Aku
30164	Defense Up S: Aku
30165	Strong Effect Up D: Aku
30166	Strong Effect Up C: Aku
30167	Strong Effect Up B: Aku
30168	Strong Effect Up A: Aku
30169	Strong Effect Up S: Aku
30170	Massive Damage Up D: Aku
30171	Massive Damage Up C: Aku
30172	Massive Damage Up B: Aku
30173	Massive Damage Up A: Aku
30174	Massive Damage Up S: Aku
30175	Resistant Effect Up D: Aku
30176	Resistant Effect Up C: Aku
30177	Resistant Effect Up B: Aku
30178	Resistant Effect Up A: Aku
30179	Resistant Effect Up S: Aku
