000	可以低成本生產的基本角色<br><br>	飽經鍛鍊的肌肉是魅力所在的<br>基本角色<br>	飽經鍛鍊的肌肉跟很MAN的髮型<br>是魅力所在的基本角色<br>
011	由超人氣的「Mr.」系列來參戰<br>以超快的速度狂奔抓緊每分秒<br>瞄準敵人並用機關槍掃射（範圍攻擊）	由超人氣的「Mr.」系列來參戰<br>以超快的速度狂奔抓緊每分秒<br>瞄準敵人並用火箭砲掃射（範圍攻擊）	由超人氣的「Mr.」系列來參戰<br>以超快的速度狂奔抓緊每分秒<br>瞄準敵人並用彈簧槍掃射（範圍攻擊）
012	很樂意把自己當肉墊的肉盾型角色<br>對自己的體力很有自信<br>善於攻擊「紅色敵人」	不斷追求刺激的肉盾型角色<br>對自己的體力很有自信<br>善於攻擊「紅色敵人」	求得了究極刺激的肉盾型角色<br>對自己的體力有著絕對的自信<br>善於攻擊「紅色敵人」，死前有機會存活
013	平常是個OL的中距離型角色<br>下班之後經常會碰見緊縛貓<br>攻擊速度快，善於攻擊「紅色敵人」	裝成貓咪的可怕中距離型角色<br>攻擊速度快，善於攻擊「紅色敵人」<br>	瘋狂亂甩螢光棒的極度危險角色<br>下班後沉醉在電影世界裡<br>攻擊速度快，善於攻擊紅色敵人與黑色敵人
014	以移動速度最快而驕傲的速攻型角色<br>用突如其來的一擊<br>一口氣粉碎敵人（範圍攻擊）	因人生痛苦走上不歸路的速攻型角色<br>用突如其來的一擊<br>一口氣粉碎敵人（範圍攻擊）	金盆洗手後到了工地工作的速攻型角色<br>用突如其來的一閃一口氣粉碎敵人<br>有時能使「黑色敵人」攻擊力下降（範圍攻擊）
015	即便是在嚴寒的地方也能絕佳發揮<br>具有防寒措施的遠距離攻擊型角色<br>噁心貓的進化系趣味角色	精於要害防禦的遠距離攻擊型角色。<br>但是在戰鬥中完全沒有作用<br>噁心貓的進化系趣味角色	曾經放棄防守能力的遠距離攻擊貓<br>託親切小貓的福，已經沒事了<br>此外還取得了範圍攻擊能力
016	希望成為偶像的萌系貓咪<br>為了感謝地方鄉親父老的支持<br>今天也四處奔走演唱(有時候會心一擊)	脫穎而出成為全民偶像的貓咪<br>卻依然很重視每一個粉絲的<br>偶像界的典範(有時候會心一擊)	
017	騎著世界最頂尖的三輪車四處趴趴走的角色<br>可以一次攻擊所有敵人（範圍攻擊）<br>	騎著越野車在野外奔馳的狂野貓咪<br>可以一次攻擊所有敵人（範圍攻擊）<br>	自由自在騎著單輪車賣藝的貓。<br>減少車輪數而實現了降低成本的願望<br>可以一次攻擊所有敵人（範圍攻擊）
018	在秘境接受了忍者訓練的戰鬥型角色<br>性能比戰鬥貓還要高<br>善於攻擊「紅色敵人」	透過修煉領悟了忍術的戰鬥型角色<br>性能比戰鬥貓還要高<br>善於攻擊「紅色敵人」	用新忍術飛上天的戰鬥型角色<br>生產成本低可以大量生產的貓咪<br>善於攻擊「紅色敵人」
019	化了殭屍妝的戰鬥型高級成員<br>比魚貓更聽話<br>善於攻擊紅色敵人	化了惡魔妝的戰鬥型高級成員<br>比魚貓更聽話<br>善於攻擊紅色敵人	過度興奮心跳不停的戰鬥型高級角色<br>比魚貓更聽話<br>善於攻擊紅色敵人和不死生物（範圍攻擊）
020	向武士道奮進的戰鬥型角色<br>攻擊力和體力都很優秀的<br>全能型角色	遵循騎士道的戰鬥型角色<br>攻擊力和體力都很優秀的<br>全能型角色	修行了菓子道的戰鬥型角色<br>攻擊時四處飛濺的那些奶油<br>偶爾可以使敵人的動作變慢
021	具有很強體力的肉盾角色<br>性能比坦克貓還要高<br>攻擊力也不怎麼樣（範圍攻擊）	樣貌提升至新境界的肉盾角色<br>性能比坦克貓還要高<br>攻擊力也不怎麼樣（範圍攻擊）	模仿在婚禮上看到灑花情節的肉盾貓<br>性能比坦克貓還要高<br>因勤奮鍛鍊而取得神速（範圍攻擊）
022	能讓大家都感到開心的熱舞貓咪<br>生產成本低<br>因此可以大量生產	可以讓全世界都感到開心的<br>祭典貓咪<br>今天也將瘋狂熱舞	帶給全世界單身女郎歡樂氣氛<br>充滿墨西哥嘉年華風味的角色<br>偶爾會打飛敵人
023	穿著在二手服裝店買的裙子的<br>遠距離攻擊型角色<br>噁心貓的進化系趣味角色	誤把在百貨公司偶然看到的絲襪<br>當作新的防護用具的遠距離攻擊型角色<br>噁心貓的進化系趣味角色	收到網路訂購新款內褲後馬上穿上的貓咪<br>因為質感好，穿起來舒適<br>所以攻擊次數提高了，有時候也能破壞護盾
024	從天界降臨的女武神<br>手持神所授予的最強之槍，喵古尼爾<br>可以一次攻擊所有敵人（範圍攻擊）	轉職後展現真實模樣的女武神<br>對於神不斷的示愛感到很困擾<br>可以一次攻擊所有敵人（範圍攻擊）	藉由貓咪的力量回到原貌的女武神<br>手持神新授予的最強之槍，聖喵古尼爾<br>有時候可使敵人動作短暫停止（範圍攻擊）
025	據說曾讓世界毀滅<br>傳說中的超古代兵器<br>以壓倒性的破壞力攻擊敵人（範圍攻擊）	據說曾讓世界毀滅<br>被發現原來只是超古代兵器的玩偶服<br>但仍然具有壓倒性的破壞力攻擊（範圍攻擊）	據說曾讓世界毀滅<br>從古代兵器的玩偶服中解放而覺醒的姆特貓<br>以不滅的威力與速度驅逐敵人（範圍攻擊）
026	爲了尋求甜點而特別來到貓咪軍團<br>大絕招是衝刺之後放出的「飛踢」！<br>即使身在戰場也不忘到處尋找帥哥！？	爲了尋求甜點而特別來到貓咪軍團<br>變得更美艷了的男人婆公主<br>大絕招是衝刺之後放出的「飛踢」！	
027	爲了追求真正的美而來到地球的貓咪<br>憧憬於在旅途中遇到的公主<br>所以跑去假髮店買了配件來打扮自己	爲了追求真正的美而來到地球的貓咪<br>憧憬於在旅途中遇到的公主<br>於是把所有家當都拿去給自己整形	
028	剛好放置在塑膠製的膠囊裡<br>嵌入的很具有現代感<br>擅長高速移動撲擊	嵌入在塑膠製膠囊裡的貓，<br>多了兩兄弟空間顯得恰恰好<br>擅長高速移動撲擊	
029	傳說面具終於入手的假象冒險者<br>沒經過同意就戴面具參戰<br>性能就是…多了副面具罷了	終於進入摔角界的假象冒險者<br>最近沉迷於每天寫部落格<br>轉職後性能會大幅變化（範圍攻擊）	
030	透過鍛煉心靈來強化了肉體的<br>奇蹟角色<br>有時候讓飄浮敵人的移動變慢（範圍攻擊）	將錘鍊之心和紙糊的手臂<br>裝在背上的奇蹟角色<br>有時候讓飄浮敵人的移動變慢（範圍攻擊）	關懷眾人，菩薩心腸的奇跡貓咪<br>不過做過頭了還是會發飆（範圍攻擊）<br>有時候讓飄浮敵人的移動變慢並降低其攻擊力
031	在學校裡沒人是對手的壞貓咪<br>有時候讓飄浮敵人瞬間動作停止（範圍攻擊）<br>	冰箱裡的冰淇淋被老爸吃掉後<br>就開始變得憤怒的超壞貓咪<br>有時候讓飄浮敵人瞬間動作停止（範圍攻擊）	將怒氣握滿拳頭的小壞壞貓<br>今天也撿了很多小鋼珠準備去換冰棒<br>偶爾會讓飄浮敵人與古代種瞬間動作停止(範圍攻擊)
032	希望在某個舞蹈學校成為首席舞者<br>容易量產且使用方便的好角色<br>偶爾會讓紅色敵人的移動變慢	希望在某個舞蹈學校成為首席舞蹈家<br>但競爭對手太多只能改變發展方向的角色<br>偶爾會讓紅色敵人的移動變慢	因舞蹈過於激烈而遭某舞蹈學校退學。<br>充滿挑撥並且帶有刺激感的舞者。<br>偶爾會讓紅色敵人的移動變慢
033	提高了冬天防寒功能的角色<br>對上飄浮敵人很耐打<br>有時候能使飄浮敵人攻擊力下降	為了嚇人而跑到電視裡去<br>卻再也出不來的作繭自縛幽靈<br>對飄浮敵人很耐打，有時候能使之攻擊力下降	因電視節目「捕章大作戰」躲進陶壺後發現<br>裡面相當舒適而不想出來的貓咪。能抵消波動<br>對飄浮敵人很耐打，有時候能使其攻擊力下降
034	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>會將所有敵人打飛到後方（範圍攻擊）	是貓還是巨大英雄化身沒人知道<br>完全是個謎樣般的角色。會將鋼鐵以外的<br>敵人打飛，並使其動作停止（範圍攻擊）
035	在家裡覺得自己最厲害<br>在網絡界引起風潮的男人<br>可以進行超遠距離攻擊(遠距攻擊)	只要一個按鈕就能運作一切<br>畢業於精英大學的高科技貓咪<br>可以進行超遠距離範圍攻擊(遠距範圍攻擊)	一根手指都不動就可運作一切的天才駭客<br>不過前陣子操作虛擬貨幣失手慘遭滑鐵盧<br>可使鋼鐵以外的敵人動作瞬間變慢(遠距範圍攻擊)
036	知道每場勝敗的心酸<br>背地哭久了而變強的角色<br>可以給予飄浮敵人超大傷害	由於經歷無邊的苦<br>而獲得祝福的努力型角色<br>可以給予飄浮敵人超大傷害	超越了貓咪極限的角色<br>速度變得更快但也被列入大會出賽黑名單<br>可以給予飄浮敵人超大傷害
037	在玩具量販店獲得了讓人興奮不已的<br>交通工具的角色。生產成本低<br>所以可以量產。死前有機會存活	接觸異國文化、並接受異國文化的<br>角色扮演初學者，生產成本低<br>所以可以量產。死前有機會存活	受到異國恐怖電影影響的角色裝扮者<br>額頭的符咒就是現在的全財產。生產成本低<br>所以可以量產。必定可以死前存活一次
038	因妖怪熱潮而將自己<br>變成妖怪模樣的角色，<br>能給予異星戰士超大傷害（範圍攻擊）	因日蝕熱潮而<br>將自己變成太陽系模樣的角色，<br>能給予異星戰士超大傷害（範圍攻擊）	配合CoolBiz而進化爲<br>一身清涼裝扮的角色<br>能給予異星戰士超大傷害（範圍攻擊）
039	將順著河漂流而下的<br>巨大蘋果作當作外殼的角色<br>偶爾會讓紅色敵人瞬間動作停止	把遺落在路邊<br>不明的殘骸當作外殼的角色<br>偶爾會讓紅色敵人瞬間動作停止	以彩色的巨大蘋果當作外殼的角色<br>總穿黑色高領衫的他靈機一動即影響全世界<br>必定能讓紅色敵人動作停止(範圍攻擊)
040	具有潔癖的遠距離攻擊型角色<br>可以給予紅色敵人超大傷害<br>	具有潔癖的遠距離攻擊型角色<br>對於除毛絕不怠惰<br>可以給予紅色敵人超大傷害	具有潔癖的遠距離攻擊型角色<br>把骯髒的黃金洗乾淨做成的浴缸<br>可以給予紅色敵人造成超大傷害
041	只要可以變美，花錢絕不手軟<br>與美腿角色的組合簡直是美的極致！<br>具有遠距離範圍攻擊能力的寶貴角色	被粉絲稱為巴黎小姐<br>任何時候都受到注目的時尚角色<br>具有遠距離範圍攻擊能力的寶貴角色	磨練自己到極限後人工化的貓<br>那完美比例身材是世上女人們的憧憬<br>具有遠距離範圍攻擊能力的寶貴角色
042	從冰雪世界降臨的少女<br>心被奪走了的貓咪（範圍攻擊）<br>有時候讓紅色敵人暫時動作停止	由於有冰塊的保護<br>獲得了不死之身的貓咪（範圍攻擊）<br>有時候讓紅色敵人暫時動作停止	看著少女成長為冰之女王<br>自己也成爲美麗冰晶的貓咪<br>讓紅色敵人暫時動作停止（範圍攻擊）
043	受聯邦政府委託製造的破壞兵器<br>MS系列試作機1號（範圍攻擊）<br>對上紅色敵人和異星戰士很耐打	為了不被當作破壞武器利用而<br>從研究所逃出來的實戰型MS：RX－13（範圍攻擊）<br>對上紅色敵人和異星戰士很耐打	化身為決戰型MS:RX-Ω用以阻止<br>開始量產破壞兵器MS系列的聯邦政府（範圍攻擊）<br>對上紅色敵人與異星戰士很耐打，並能抵消波動
044	過度追求變強，結果被惡鬼所吸引的<br>瘋狂角色<br>雖是單體攻擊但猛烈的一擊很強烈	被鬼所吸引之後仍然不懈追求變強的<br>瘋狂角色。<br>雖是單體攻擊但猛烈的一擊很強烈	爲了追求究極的力量而彷徨於地獄<br>且遭到業火焚身的瘋狂角色<br>爐火純青的單體攻擊帶來更高的攻擊力
045	是個邁向學藝之路並充滿活動力的角色<br>但事實上也只是一隻普通的貓<br>	失心瘋學藝到<br>自認為已經不是貓了<br>擅長遠距離攻擊	
046	自侏羅紀時代就已經存在的<br>古代貓的後裔<br>偶爾會發出會心一擊	非常喜歡照顧嬰兒<br>自侏羅紀時代就已經存在的古代貓的後裔<br>偶爾會發出會心一擊	把一隻普通的蜥蜴養成恐龍的<br>大師級古代保姆後裔<br>偶爾會發出會心一擊
047	憧憬著奇幻世界的<br>戰鬥型的角色<br>善於攻擊「紅色敵人」	憧憬著奇幻世界<br>訂製了特製鎧甲的角色<br>善於攻擊「紅色敵人」	｢這套裝備是國王賞賜我擊退怪物的獎賞｣<br>雖然嘴上這麽說，但實際上是網購來的裝備<br>善於攻擊「紅色敵人」（範圍攻擊）
048	因為受了某個漫畫的影響<br>夢想成為海賊貓的角色<br>偶爾會打飛紅色敵人	現在仍然覺得海賊＝帥<br>不但沒本事還是個旱鴨子<br>偶爾會打飛紅色敵人	看了某部海盜電影而轉變志向的海盜迷<br>正在找尋一起出海的夥伴<br>偶爾會打飛紅色敵人
049	以快速的動作擾亂敵人的角色<br>打倒敵人的時候可以得到很多金錢<br>	以詭異的舉動擾亂敵人<br>也是世界上神秘寶物的收藏者<br>打倒敵人的時候可以得到很多金錢	遊走各地時莫名成為大盜的貓。<br>百寶箱裡並不是四次元空間<br>打倒敵人的時候可以得到很多金錢（範圍攻擊）
050	很有愛心地打倒敵人<br>慈悲為懷的角色<br>偶爾會讓飄浮敵人的動作變慢	滿懷感激地送敵人上西天<br>很寬容的角色<br>偶爾會讓飄浮敵人的動作變慢	一個行腳各地幫助人們開悟的角色。<br>充滿愛心的毆打可以讓你的煩惱通通飛光<br>偶爾會讓飄浮敵人的動作變慢（範圍攻擊）
051	喜歡閱讀能夠預知未來的<br>名占卜師著作的角色<br>偶爾會打飛飄浮敵人	追捕巨大鮪魚的漁家長男<br>很會暈船所以沒辦法坐船<br>偶爾會打飛飄浮敵人	口頭禪是以毒攻毒的高明醫師<br>代表作是《痛與不痛都在一念之間》<br>有時候可以打飛飄浮敵人
052	薩滿可以接觸超自然現像<br>某個網絡辭典上是這麼寫的<br>偶爾會讓飄浮敵人瞬間動作停止	被超自然現象反操控的<br>可憐的角色<br>偶爾會讓飄浮敵人瞬間動作停止	與超自然的存在瘋狂共舞的角色<br>俗話說的「一舞成知音」據說是來自他<br>偶爾會使飄浮敵人動作停止
053	見到傳奇人物就能獲得<br>可以讓敵人動作停止的超能力貓咪<br>快失守時就召喚吧！	見到傳奇人物就能獲得<br>可以妨害議程進行的超能力貓咪<br>快失守時就召喚吧！	
054			
055	憧憬成為魔法少女的<br>魔法貓咪<br>偶爾會讓紅色敵人的移動變慢	透過遠距教學學會了真正魔法的女巫貓<br>可以在尾牙中表演多種才藝<br>偶爾會讓紅色敵人的移動變慢	因獨創的占卜術一舉成名進入演藝界<br>對各種貓咪預言「你將要狂亂化」。<br>偶爾會讓紅色敵人的移動變慢
056	可以從遠距離進行攻擊的支援型貓<br>幾乎沒有什麼體力<br>可以給予飄浮敵人超大傷害	可以從遠距離進行攻擊的支援型貓<br>幾乎沒有什麼體力<br>可以給予飄浮敵人超大傷害	從天界射出的流箭不斷造成被害<br>因而被放逐到人間的星座貓<br>可以給予飄浮敵人超大傷害
057	因為劍被詛咒所以普通攻擊並不強<br>但有時候可以發出會心一擊的<br>鋼鐵剋星	因為劍被詛咒而盡情忘我的<br>鋼鐵剋星<br>有時候可以發出會心一擊（範圍攻擊）	從劍的詛咒解放而取回真正的能力<br>以手中的神聖武器消滅鋼鐵敵人們<br>有時候可以發出會心一擊（範圍攻擊）
058	擅長同時使用魔法和劍的<br>戰鬥型角色。<br>使用火炎劍給予紅色敵人超大傷害。	擅長同時使用魔法和劍<br>戰鬥型的角色。<br>使用火炎劍給予紅色敵人超大傷害。	成長為魔法與劍專家的魔劍士<br>在身兼店長的串烤店中表演很受歡迎<br>使用火炎劍給予紅色敵人超大傷害。
059	一個人什麼也做不了的嬰兒貓咪<br>一旦被欺負，恐怖的爸爸就會出現<br>有時候打飛飄浮敵人和異星戰士（範圍攻擊）	一個人什麼也做不了的嬰兒貓咪們<br>一旦被欺負，恐怖的爸爸就會出現<br>有時候打飛飄浮敵人和異星戰士（範圍攻擊）	聚在一起還是什麼也做不了的嬰兒貓咪們<br>一旦被欺負，恐怖的爸爸就會出現（範圍攻擊）<br>有時候打飛飄浮敵人和異星戰士，並發射波動
060	具有很強體力的肉盾角色<br>攻擊力似乎也很強<br>有時候打飛鋼鐵敵人（範圍攻擊）	假扮成某個知名雕像的藝術貓<br>攻擊力似乎也很強<br>有時候打飛鋼鐵敵人（範圍攻擊）	長青節目"猜謎王"的固定班底聰明貓咪<br>最近因笨蛋藝人很夯導致人氣度有點下滑<br>有時候打飛鋼鐵敵人（範圍攻擊）
061	可以一邊自轉一邊快速移動<br>非常新鮮的高級肉盾角色（範圍攻擊）<br>對上紅色敵人很耐打，有機會使他們攻擊力下降	可以一邊自轉一邊快速移動<br>感覺很不良的高級肉盾角色（範圍攻擊）<br>對上紅色敵人很耐打，有機會使他們攻擊力下降	要是敢動我們就把你打到吐卵！<br>熱血比熱茶還要沸騰的高級肉盾角色（範圍攻擊）<br>對上紅色敵人很耐打，有機會使他們攻擊力下降
062	鑽進塑膠製轉蛋機的<br>坦克貓（範圍攻擊）<br>被包覆的部位比坦克貓堅硬一點	鑽進塑膠製轉蛋機的<br>長型坦克貓（範圍攻擊）<br>被包覆的部位比坦克貓堅硬一點	
063	結合了3隻貓咪和1隻坦克貓的能力<br>很喜歡運動會的傢伙們<br>CP值很高非常划算（範圍攻擊）	結合了3隻貓咪和1隻坦克貓的能力<br>有點耍壞的貓咪們<br>CP值很高非常划算（範圍攻擊）	發揮3隻貓咪和1隻坦克貓的能力<br>到極限的激進派運動會集團<br>CP值很高非常划算（範圍攻擊）
064	公主踢騎士Sweets中出現的角色<br>特別在合作活動中同台演出<br>	公主踢騎士Sweets中出現的角色<br>特別在合作活動中同台演出<br>	
065	散亂的頭髮帶著一絲瘋狂<br>攻擊距離比牛貓長一點<br>能夠對黑色敵人造成超大傷害	散亂的頭髮帶著一絲瘋狂<br>攻擊距離比長頸鹿貓長一點<br>能夠對黑色敵人造成超大傷害	
066	KHM48=飛踢公主神轎與48隻貓咪<br>貓咪的遠距離攻擊<br>有時候會讓黑色敵人瞬間動作停止(範圍攻擊)	擺脫了惡之帝王詛咒的貓咪們<br>貓咪的遠距離攻擊<br>有時候會讓黑色敵人瞬間動作停止(範圍攻擊)	
067	公主踢騎士Sweets中出現的角色<br>能夠大幅減少黑色敵人造成的傷害<br>廉價的成本使其成爲防禦黑色敵人的首選	公主踢騎士Sweets中出現的角色<br>能夠大幅減少黑色敵人造成的傷害<br>廉價的成本使其成爲防禦黑色敵人的首選	
068	公主踢騎士Sweets中出現的角色<br>特別在合作活動中同台演出<br>有時候使黑色敵人動作變慢（範圍攻擊）	公主踢騎士Sweets中出現的角色<br>特別在合作活動中同台演出<br>有時候使黑色敵人動作變慢（範圍攻擊）	
069	未經同意就把熟睡中的飛踢公主帶出來的巨神貓<br>跟一般的巨神貓比起來攻擊距離長了一點<br>不過走起來也慢了點（範圍攻擊）	未經同意就把熟睡中的飛踢公主帶出來的巨神貓<br>跟一般的巨神貓比起來攻擊距離長了一點<br>不過走起來也慢了點（範圍攻擊）	
070	不忘感謝每天勞動的人們的<br>善於攻擊紅色敵人勞動感謝貓咪<br>祖傳寶刀「土下座」今天也要爆炸了	壓抑著對公司上司不滿 善於攻擊紅色敵人的貓<br>只要準備好頭髮就會幫你扎小人<br>祖傳寶針「扎小人」今天也要爆炸了（範圍攻擊）	對這個有話卻不能說的社會充滿怨恨的憤怒貓咪<br>還可以幫你噓爆別人的部落格<br>祖傳貼文｢臧化｣今天也要爆炸了(範圍攻擊)
071	因遭傳說中的武器「貓咪身軀」詛咒<br>而變成鳥的模樣的戰國武將（範圍攻擊）<br>敏捷的動作給予黑色敵人超大傷害	傳說中的武器「貓咪身軀」的隱藏選項<br>裝了噴射推進器（範圍攻擊）<br>敏捷的動作給予黑色敵人超大傷害	為求更快的飛速而入手紅蓮大翼的武神<br>以如風之疾劃天破空攻進敵陣（範圍攻擊）<br>敏捷的動作給予黑色敵人超大傷害
072	遭傳說中的武器「貓咪手套」詛咒<br>而變成老虎的模樣的戰國武將（範圍攻擊）<br>對上黑色敵人很耐打，體力減少攻擊力就會大幅上升	遭傳說中的武器「貓咪手套」詛咒<br>而從頭頂長出櫻花樹（範圍攻擊）<br>對上黑色敵人很耐打，體力減少攻擊力就會大幅上升	盛開的櫻花奪去武將的意志，轉化為破壞的衝動<br>對上黑色敵人很耐打，體力減少攻擊力<br>就會大幅上升。波動傷害無效（範圍攻擊）
073	不小心吸收了織田信長的怨念的<br>數個生靈和一隻貓咪<br>必定可以讓黑色敵人動作停止（範圍攻擊）	隨著織田信長怨念速度的加快<br>貓咪的煩惱力也隨之超級加速<br>必定可以讓黑色敵人動作停止（範圍攻擊）	因貓咪的煩惱而變化為第六天魔王的織田信長<br>以黑暗世界為根據地，使役地獄亡者意圖統一天下<br>必定可以讓黑色敵人動作停止（範圍攻擊）
074	戰鬥型的角色可愛地進化<br>載著夢想運著禮物！<br>打倒敵人的時候可以得到很多金錢	戰鬥型的角色可口地進化<br>捨身待人！<br>打倒敵人的時候可以得到很多金錢	戰鬥型角色香甜進化中！<br>滿滿巧克力，連樹幹都可以食用<br>打倒敵人的時候可以得到很多金錢（範圍攻擊）
075	能夠操縱風的力量的超能少女<br>從遠距離發射的真空砲<br>可以給予飄浮敵人超大傷害（範圍攻擊）	有時候可以聽到風喊痛的不可思議少女<br>從遠距離發射的真空砲<br>可以給予飄浮敵人超大傷害（範圍攻擊）	明明就不會用，但每次看到新機器都會想試一下<br>從遠距離發射的新真空砲<br>可以給予飄浮敵人超大傷害（範圍攻擊）
076	能夠操縱雷的力量的電腦少女<br>從遠距離發射的強烈的雷電<br>可以給予紅色敵人超大傷害（範圍攻擊）	深受慢性五十肩之苦<br>從遠距離發射強烈的雷電<br>可以給予紅色敵人超大傷害（範圍攻擊）	最近的煩惱是找不到合身的衣服<br>從遠距離發射強烈的雷電<br>可以給予紅色敵人超大傷害（範圍攻擊）
077	具有很強體力的肉盾角色<br>舞跳得比坦克貓的還要好<br>對上鋼鐵敵人很耐打（範圍攻擊）	具有很強體力的肉盾角色<br>用油性奇異筆畫的，所以可以防水<br>對上鋼鐵敵人很耐打（範圍攻擊）	季節限定的耐操肉盾角色<br>價格不變生產力UP！<br>對上鋼鐵敵人很耐打（範圍攻擊）
078	擅長遠距離攻擊的太空人<br>幾乎沒有什麼體力。有時候能破壞護盾<br>偶爾能使出會心一擊	最近由中尉晉升為少校的太空人<br>幾乎沒有什麼體力。有時候能破壞護盾<br>偶爾能使出會心一擊	為了維護銀河和平而與宇宙生物作戰的貓咪<br>不斷在逆境中成長，已經是獨當一面的戰士<br>有時候能破壞護盾，偶爾能使出會心一擊
079	迎接了精彩成人儀式的貓咪<br>喝酒要到十八歲之後！<br>善於攻擊「紅色敵人」	興奮過了頭的貓咪<br>任何事都要適可而止！<br>善於攻擊「紅色敵人」	大瘋大閙而給逮捕了的貓咪<br>喝酒不要被酒喝！學會了遠距攻擊<br>且善於攻擊「紅色敵人」但無法攻擊近處敵人
080	為了得到節氣的豆子<br>所以裝成鬼的貓咪<br>偶爾會讓紅色敵人的瞬間動作停止	穿著風衣的貓咪<br>有時會按捺不住地掀開風衣<br>偶爾會讓紅色敵人的瞬間動作停止	兩隻合作無間的貓咪共穿一衣<br>怎麽看都是個高貴的紳士。有時候能破壞護盾<br>以及讓紅色敵人瞬間動作停止，生産性也提升了
081	在少女的季節中出現<br>體力雖然低但可以一次攻擊所有敵人<br>具有破壞力的角色（範圍攻擊）	透過少年貓咪手上拿的遙控器<br>來操作的貓型機器人<br>利用光的力量進行攻擊（範圍攻擊）	靈魂給吸到魔法神燈裡了的貓咪<br>只要纏著頭巾的貓咪一吹笛子<br>就會放出光線，還帶波動（範圍攻擊）
082	受漫畫影響修練成忍者的限定角色<br>性能比戰鬥貓高<br>善於攻擊「紅色敵人」	受動畫影響修練成忍者的限定角色<br>性能比戰鬥貓高<br>善於攻擊「紅色敵人」	
083	被古代兵器封印的傳說龍族<br>使用壓倒性的破壞力攻擊敵人（範圍攻擊）<br>對上飄浮敵人很耐打，有時候也能打飛他們	封印的力量被喚醒的傳說龍族<br>使用壓倒性的破壞力攻擊敵人（範圍攻擊）<br>對上飄浮敵人很耐打，有時候也能打飛他們	以吸取大地萬物之力的地龍石能量<br>解放了最後封印的傳說龍族（範圍攻擊）<br>對上飄浮敵人很耐打，必定能打飛他們
