000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
011	Mr. viene dalla famosa serie "Mr."<br>La serie gli ha allenato le gambe a essere veloci,<br>e così riesce ad abbattere tutti i nemici. (Area)	Mr. viene dalla famosa serie "Mr."<br>La serie gli ha allenato le gambe a essere veloci,<br>e adesso ha un bazooka. BUM. (Area)	Mr. dai famosissimi giochi "Mr."!<br>Si impenna verso i nemici, colpendoli<br>con una pistola-guantone fatta in casa. (Area)
012	Ha una grandissima resistenza.<br>Prende volentieri botte da chiunque.<br>Efficace contro i nemici rossi.	Vuole soffrire di più.<br>Prende volentieri botte da chiunque.<br>Efficace contro i nemici rossi.	Si offre come scudo per arrivare<br>al piacere trascendente (?). Efficace contro rossi,<br>potrebbe sopravvivere a un attacco letale.
013	Durante il giorno è una brava impiegata.<br>Gatto Bondage è suo dopo l'orario di lavoro.<br>Veloce attaccante, efficace contro i nemici rossi.	Potrebbe non essere un Gatto, ama la violenza.<br>Veloce attaccante, efficace contro i nemici rossi.<br>	Colpendo spietatamente i nemici con un<br>neon fluorescente, i rapidi attacchi di questo Oscuro Signore<br>sono più che sufficienti per i nemici rossi o neri.
014	Questi poveri mici sono stati abbandonati.<br>Ora badano a se stessi<br>con GRAN GIUSTIZIA e velocità. (Danni ad area)	Una vita difficile li ha portati<br>su una cattiva strada. Andrebbero evitati.<br>Chissà cosa potrebbero fare... (Danni ad area)	Un'unità d'élite che mantiene la pace attaccando<br>i nemici della società. Potrebbe indebolire<br>gli attacchi dei nemici neri. (Danni ad area)
015	Il freddo non può niente<br>contro la calda stoffa di lana.<br>Variante avanzata del Gatto Gambe sexy.	Il suo unico punto importante è coperto.<br>Non è sicuro che lo protegga davvero.<br>Variante avanzata del Gatto Gambe sexy.	Si vergognava di andare in battaglia scoperto,<br>ma un gatto gentile venne in suo aiuto...<br>...con un lecca-lecca. Ottiene attacchi ad area!
016	Spera di diventare famosa.<br>Canta per strada ogni giorno.<br>Se la vedete in giro, porgetele un saluto.	Grazie a tutti, è riuscita a diventare una star!<br>Ora è la stella preferita da tutti!<br>Supportatela! Il futuro è radioso!	Moneko è la nuova regina del Pop dell'Impero dei Gatti,<br>ma non dimentica mai gli importantissimi fan della<br>prima ora. Mini-ondate, con possibilità di danni critici!
017	Il Gatto più fico del quartiere. (Danni ad area)<br>Non può guidare la moto (i genitori non vogliono).<br>	Nato per la vita selvaggia! (Danni ad area)<br>È andato via di casa e finalmente ha comprato una moto!<br>	Ha dovuto diminuire il numero di ruote<br>a causa della crisi economica, ma rimane positivo.<br>Attacca gruppi di nemici (danni ad area).
018	Uno dei combattenti più forti.<br>Rivale del Gatto ascia. 10 vittorie, 1 sconfitta.<br>Efficace contro i nemici rossi.	Ha imparato ad evocare animali.<br>Cavalca una rana per comodità.<br>Efficace contro i nemici rossi.	Danza in cielo, aggredendo i nemici<br>con ninjutsu avanzato. Economico da produrre,<br>molto efficace contro i nemici rossi!
019	Studia in una certa scuola di cinema.<br>Corso di laurea in effetti speciali e trucco.<br>Efficace contro i nemici rossi.	Nel corso di trucco ha preso una A.<br>Sostiene di essere più bravo del Pescegatto.<br>Efficace contro i nemici rossi.	Nemmeno un chiodo arrugginito può fermare il battito<br>del suo cuore. Più versatile del Pescegatto:<br>efficace contro rossi/zombi con attacchi ad area.
020	La sincerità è la via del guerriero.<br>Salute e attacco eccezionali.<br>Un Gatto dalle mille qualità.	Ha aggiunto la cavalleria al suo repertorio.<br>Salute e attacco eccezionali.<br>Un Gatto dalle mille qualità.	Chi dice che non puoi amare sia i cupcake che<br>le carneficine? Un esperto di cucina che lancia potenti<br>mucchi di panna montata per rallentare i nemici.
021	Gatto Panzer non era attento<br>quando dicevano che le misure non contano.<br>Ora con una specie di attacco più forte. (Danni ad area)	Ha trovato la sua vocazione nutrendo altri Gatti sumo.<br>Finisci quello che hai nel piatto... altrimenti!<br>Ha una specie di attacco più forte. (Danni ad area)	Difesa e nutrizione in un pacchetto conveniente.<br>Dura più di un Gatto Panzer, con<br>velocità data da un intenso allenamento. (Danni ad area)
022	Nessuno può fermare la musica!<br>Economico da produrre. Ha un ritmo bonus.<br>È ora del boogie! Viva il Gatto!	Il ritmo lo ha portato al massimo volume!<br>Veloce ed economico da produrre. Balliamo!<br>Balla senza fermarti! Sammmbaaaaa!!111uno	Porta gioia a tutte le señoritas del mondo.<br>Non è mai stato in Messico, è solo un nerd dei mariachi.<br>Può far volare i nemici!
023	Ha trovato una gonna che gli calza a pennello.<br>Adora indossarla... sempre.<br>Variante avanzata del Gatto Gambe sexy.	Alla ricerca di qualcosa di diverso, ha trovato<br>una giarrettiera al negozio tutto a un euro.<br>Variante avanzata del Gatto Gambe sexy.	Ha scelto una biancheria tradizionale per<br>mostrare meglio le gambe, lanciando una nuova moda.<br>Attacchi rapidi con possibilità di sfondare le barriere!
024	Discesa dai campi del Valhalla<br>per portare la salvezza ai Battle Cats!<br>Usa la lancia celeste Miaonir. (Danni ad area)	Trasformata nella forma finale.<br>Preoccupata perché il Gatto divino ci prova con lei.<br>Usa la lancia celeste Miaonir. (Danni ad area)	La maledizione è infranta e la salvezza del genere felino<br>è tornata! Miaonir trafigge i nemici,<br>immobilizzandoli sul posto. (Danni ad area)
025	Un'antica arma felina che si dice abbia<br>causato la prima apocalisse.<br>Ha un potere offensivo sovrannaturale. (Danni ad area)	A quanto pare la prima apocalisse l'aveva causata<br>proprio lui. Puoi capire perché...<br>Ha un potere offensivo sovrannaturale. (Danni ad area)	Dicono che il potere di eliminare la Terra sia già<br>suo. Libero dal costume che incatenava il suo potere,<br>è ineguagliabile quanto a forza e velocità. (Danni ad area)
026	Joined the war especially in order to seek "sweets".<br>Her ultimate attack is unleashing her ferocious dash!<br>Does joining the war stop her pursuit of hot guys?	Joined the war especially in order to seek "sweets".<br>She turned from a tomboy into a sexy princess.<br>Her ultimate attack is unleashing her ferocious dash!	
027	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and bought an item in a wig shop.	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and spent an entire fortune on plastic surgery.	
028	An experimental weapon: one speedy Cat,<br>protected by state-of-the-art capsule plastic.<br>Packs a punch, definitely can't take one.	Capsule Cat felt lonely and posted an ad for<br>roommates. Overestimated the space in his flat.<br>It's always cuddle time, whether they like it or not!	
029	Wears the mask which he borrowed without permission<br>from the adventurer Gamatoto who found the mask.<br>His only capability is wearing the mask though.	Finally became a wrestler.<br>Due to his class change, his talents<br>have increased considerably. (Area)	
030	Un Gatto che ha raggiunto uno stato di pace<br>e ha spinto il suo corpo oltre i limiti fisici.<br>Potrebbe rallentare fluttuanti. (Danni ad area)	Un Gatto Bodhisattva che ha mostrato<br>compassione per tutti i Battle Cats.<br>Potrebbe rallentare fluttuanti. (Danni ad area)	Questo Gatto emana una compassione illuminata.<br>Ma dicono che anche Buddha abbia un limite di sopportazione.<br>Attacchi ad area possono indebolire/rallentare fluttuanti.
031	Noto come il Bancho della scuola felina.<br>Potrebbe immobilizzare i fluttuanti. (Danni ad area)<br>	Ha un attacco di rabbia perché suo padre<br>ha mangiato il gelato che c'era in frigo.<br>Potrebbe immobilizzare i fluttuanti. (Danni ad area)	Un Gatto cattivo, noto come il re dei pugni collerici.<br>Ama il pachinko, scambia le sue vincite con il gelato.<br>Potrebbe immobilizzare fluttuanti/Antichi. (Danni ad area)
032	Studente bocciato da una certa scuola di ballo.<br>Può essere prodotto in massa. Flash mob!<br>Può rallentare nemici rossi.	Uno che non vorresti vedere per strada.<br>Balla abilmente per mantenere il gioco adatto ai bambini.<br>Può rallentare nemici rossi.	Buttato fuori dalla scuola di ballo per aver<br>improvvisato delle mosse troppo provocanti.<br>A volte rallenta il movimento dei rossi.
033	Molto efficace in inverno... non che importi.<br>Danni da fluttuanti ridotti notevolmente.<br>Può indebolire i nemici fluttuanti.	Si nascose in una TV per divertirsi a spaventare le persone.<br>Non riesce più a uscirne. Ora infesta le TV.<br>Resistente a fluttuanti e può indebolirli.	Gatto super flessibile che si sente a suo agio<br>in spazi angusti e bui. Annulla attacchi a ondata.<br>Forte contro fluttuanti, può indebolire i nemici.
034	Non si capisce se sia un Gatto...<br>Magari se lo fai evolvere...<br>	Oddio, non credo sia più un Gatto.<br>Davvero, mi arrendo.<br>Respinge i nemici. (Danni ad area)	Stanco di spaventare i bambini, Luga ha deciso di<br>reinventarsi come eroe mascherato. Immobilizza<br>e respinge nemici non metallici. (Danni ad area)
035	Senza paura... finché non lascia il seminterrato.<br>Abitante della rete famoso per i suoi flame.<br>Specialista negli attacchi a distanza.	Famoso per i suoi pulsantoni rossi.<br>Laureato in un'università tecnologica d'élite.<br>Specialista negli attacchi a distanza.	Ha padroneggiato lo spazio virtuale e ha continuato<br>fino a perdere le mutande nel mercato delle criptovalute.<br>Attacchi ad area a distanza rallentano non metallici.
036	Il dolore di perdere ogni gara lo ha forgiato.<br>Ha preso la forza dalle lacrime di sconfitta.<br>Infligge danni enormi a nemici fluttuanti.	È riuscito a superare l'eterna sconfitta<br>con grande sforzo. Ora ha ottenuto la vittoria!<br>Infligge danni enormi a nemici fluttuanti.	Questo è a malapena un Gatto.<br>Sottoposto a una terapia genica per diventare<br>il campione mondiale. Danni estremi a fluttuanti.
037	Rapito dal recente trend dei giocattoli.<br>Sembra molto divertente.<br>Economico da produrre, potrebbe sopravvivere.	È andato volontario oltreoceano per provare<br>uno scambio culturale. Ha comprato un costume.<br>Economico da produrre, può sopravvivere a colpi letali.	Pazzo per i film horror o un vero f-fantasma?<br>Il sigillo mistico è l'ultima bolletta del gas...<br>Economico da produrre, sopravvive 1 volta al 100%.
038	Stanco di cambiare le ruote, ha deciso di<br>diventarne una. Gira così velocemente da bruciare.<br>Danni enormi contro alieni. (Danni ad area)	Stanco di ruotare, ha deciso di<br>diventare una galassia.<br>Danni enormi contro alieni. (Danni ad area)	Un Gatto evoluto, sempre calmo<br>e raccolto in ufficio.<br>Danni ad area enormi ad alieni.
039	Ha trovato una mela gigante a galla sul fiume.<br>Ha deciso di usarla come travestimento.<br>Potrebbe bloccare nemici rossi.	Ha trovato una testa gigante per strada.<br>Ha deciso di usarla come travestimento.<br>Potrebbe bloccare nemici rossi.	Ha trovato una mela colorata nella<br>Silicon Valley mentre comprava dolcevita.<br>Attacchi ad area bloccano al 100% i rossi.
040	Ama mantenersi pulito. Sempre.<br>Infligge danni enormi a nemici rossi.<br>	Ama mantenersi pulito. Sempre.<br>Si gode un bel bagno. Non disturbare.<br>Infligge danni enormi a nemici rossi.	Bolle e foglie d'oro rendono il bagno<br>ancora più decadente. Getti extra potenti<br>infliggono danni enormi agli sporchi nemici rossi.
041	Non ha limiti quando si tratta di bellezza.<br>Lavora bene con il Gatto Gambe sexy.<br>Incredibile attacco a distanza. (Danni ad area)	Una gatta stilosa che si è guadagnata il nome<br>Jeanne. Potrebbe essere francese, non è sicuro.<br>Incredibile attacco a distanza. (Danni ad area)	L'angelo da battaglia bionico definitivo.<br>Perfetta esteticamente e tecnicamente.<br>Specialista di attacchi ad area a distanza.
042	Un gatto incantato da una ragazza che<br>proviene dalla Terra del Ghiaccio. È congelato.<br>Potrebbe immobilizzare i rossi. (Danni ad area)	Dimenticavo: il Gatto è in un<br>ghiacciolo eterno. Non si lamenta molto.<br>Potrebbe immobilizzare i rossi. (Danni ad area)	Il regno della regina del ghiaccio diventa più<br>sicuro, così come il guscio di cristallo del Gatto.<br>Immobilizza nemici rossi sul posto. (Danni ad area)
043	Mech Superarmato di serie 1 (MS)<br>sviluppato dal governo. (Danni ad area)<br>Resistente ad attacchi rossi e alieni.	Un MS testato in battaglia che è riuscito a<br>scappare dalla struttura di ricerca. (Danni ad area)<br>Resistente ad attacchi rossi e alieni.	La tecnologia da battaglia di ultima generazione,<br>MS:RX-Ω è finita tra le mani dell'armata felina!<br>Resiste ad attacchi rossi/alieni, immune da ondate.
044	Un gatto folle che si è sacrificato a un<br>demone dell'aldilà.<br>Attacca con forza estrema.	Il gatto folle è riuscito a controllare il<br>demone dell'aldilà.<br>Attacca con forza estrema.	Vagare per l'abisso lo ha reso folle<br>e con ambizioni infernali.<br>Danni enormi a un singolo nemico.
045	A sweet rookie entertainer, allergic to<br>green tea, better at keytar than shamisen.<br>	Years of life in the floating world made<br>her a cool cynic. Her distant attitude<br>befits her long-distance attacking power.	
046	Discendente da un'antica razza di gatti che<br>esisteva durante il Giurassico.<br>Può eseguire danni critici	Discendente da un'antica razza di gatti che<br>si prende cura dei piccoli durante il Giurassico.<br>Può eseguire danni critici	Ha trovato un dinosauro carino in una magica terra<br>di funghi. Con posti a sedere extra per i bambini!<br>Può eseguire danni critici
047	Un Gatto da combattimento che ha<br>letto troppi romanzi fantasy.<br>Efficace contro i nemici rossi.	Dopo aver scoperto internet, questo Gatto<br>ha ordinato l'armatura e l'arma su misura.<br>Efficace contro i nemici rossi.	A quanto pare l'armatura "su misura" è<br>un'imitazione. Perfino la roba tarocca è abbastanza<br>per colpire i rossi con enormi danni ad area.
048	Influenzato da un certo pirata animato,<br>sogna di diventare un re pirata. Non sa nuotare.<br>Potrebbe respingere i nemici rossi.	Pensa sempre che i pirati siano super. Non sa nuotare.<br>Non va più d'accordo con il Gatto ninja.<br>Potrebbe respingere i nemici rossi.	Ha scoperto che ci sono pure dei film sui<br>pirati! Così ha migliorato la sua nave.<br>Potrebbe respingere i nemici rossi.
049	È veloce. Ruba velocissimo.<br>Ottiene più soldi sconfiggendo un nemico.<br>	È troppo veloce. Ruba ancora in quel modo.<br>Ora ha una grossa collezione di tesori.<br>Ottiene più soldi sconfiggendo un nemico.	Bandito leggendario, è stato visto nell'antico Giappone<br>in lotta contro la tirannia dello shogun. Ruba soldi<br>extra dalle tasche dei nemici con attacchi ad area.
050	Un Gatto clemente che porta pace e amore<br>a tutti i suoi seguaci. Fa pagare le confessioni.<br>Può rallentare nemici fluttuanti.	Avvolge i nemici con placida serenità<br>per aiutarli a passare a miglior vita.<br>Può rallentare nemici fluttuanti.	In missione per salvare le anime con l'illuminazione.<br>Più che altro picchia la fauna locale, però.<br>Potrebbe rallentare fluttuanti. (Danni ad area)
051	Un Gatto che ama l'idea della chiaroveggenza.<br>Ha letto un libro di astrologia di troppo.<br>Può respingere nemici fluttuanti.	Figlio maggiore di un noto<br>pescatore di tonni. Soffre di mal di mare.<br>Può respingere nemici fluttuanti.	La sua filosofia medica è "Cani a piccole dosi".<br>Se non ti uccide vuol dire che funziona, no?<br>Può respingere nemici fluttuanti.
052	Può comunicare con il sovrannaturale.<br>...è quello che c'è scritto su Wiki.<br>Potrebbe immobilizzare i fluttuanti.	A quanto pare era proprio il sovrannaturale a<br>controllare questo Gatto.<br>Potrebbe immobilizzare i fluttuanti.	La sua danza affascinante è alimentata da<br>poteri oscuri. Resisterai al ritmo diabolico?<br>Potrebbe immobilizzare i fluttuanti più a lungo.
053	Si sblocca dopo aver incontrato le leggende.<br>Immobilizza nemici sul posto.<br>Evocalo quando stai perdendo terreno.	Usa poteri speciali per fermare il tempo.<br>Ferma il movimento dei nemici.<br>Evocalo quando stai perdendo terreno.	
054			
055	Una gatta magica che preferirebbe essere<br>una tipa magica, non una strega.<br>Può rallentare nemici rossi.	Ha imparato la magia dai corsi online.<br>Alle feste va fortissimo, ma non la pagano.<br>Può rallentare nemici rossi.	Ha usato i suoi poteri di chiaroveggenza per<br>scoprire come sfondare in TV. Il suo potere<br>stellare può rallentare i nemici rossi.
056	Gatto d'élite a distanza, è un utile fuoco<br>di supporto. Si ammacca come un pomodoro.<br>Infligge danni enormi a nemici fluttuanti.	Lancia frecce d'amore sugli ignari nemici.<br>Non ama essere ferito.<br>Infligge danni enormi a nemici fluttuanti.	Era una costellazione luccicante: ora questo semidio<br>si nasconde dal cielo, sparando frecce potenti<br>ai nemici fluttuanti per danni enormi.
057	La sua spada maledetta riduce il potere offensivo<br>ma può infliggere colpi critici.<br>Noto come "L'ammazza-metallici".	La spada maledetta ha preso il sopravvento<br>e ha reso il Gatto un cavaliere maledetto.<br>Noto come "Il cavaliere oscuro metallico". (Danni ad area)	Il buon cuore di questo Gatto ha infine conquistato<br>la spada maledetta, trasformandola in un'ascia sacra.<br>Possibile attacco critico. (Danni ad area)
058	Addestrato a un certo gioco per diventare<br>uno spadaccino magico. Battle Cat molto efficace.<br>La spada di fuoco infligge danni enormi ai rossi.	Ha imparato l'arte del doppio maneggio.<br>E sa usare la magia. Aiuto.<br>Le spade di fuoco infliggono danni enormi ai rossi.	Così in sintonia con le spade da saper comandare<br>le forze della natura stesse.<br>Le fiamme infliggono danni enormi ai rossi.
059	Un gattino che non sa ancora fare nulla<br>da solo. Per fortuna papà è qui per dare una mano.<br>Può respingere fluttuanti e alieni. (Danni ad area)	Ha portato la sorellina.<br>Papà ha il suo bel daffare.<br>Può respingere fluttuanti e alieni. (Danni ad area)	Perfino 7 gattini assieme non sanno fare granché...<br>Per fortuna papà tiene d'occhio i bulli.<br>Attacchi a ondata ad area respingono fluttuanti/alieni.
060	Un buon gatto da difesa con salute assurda<br>e un'abilità offensiva niente male.<br>Può respingere nemici metallici. (Danni ad area)	Risucchiato nel mondo dell'arte,<br>ha imparato tutto sulla scultura.<br>Può respingere nemici metallici. (Danni ad area)	Ha il numero più alto di vittorie consecutive in<br>un famoso quiz in tv, ma le domande sono facilissime.<br>Può respingere nemici metallici. (Danni ad area)
061	Un Gatto che si muove velocemente girando.<br>La carne fresca può incassare le batoste. (Danni ad area)<br>Resistente a rossi, può indebolire nemici.	Un Gatto che si muove velocemente girando.<br>Inoltre gli piace il rock. (Danni ad area)<br>Resistente a rossi, può indebolire nemici.	Difficile da digerire come la tua sconfitta!<br>Sushi-ta danni ad area e ottima difesa.<br>Resistente a rossi, può indebolire nemici.
062	Plastic capsule toy machine.<br>A Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	Plastic capsule toy machine.<br>Longer Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	
063	La potenza di tre Gatti e un Gatto Panzer.<br>Gatti che amano il Giorno sportivo e<br>si battono per la squadra vincente. (Danni ad area)	La potenza di tre Gatti e un Gatto Panzer.<br>Sono una grande squadra, ma il Gatto Panzer<br>sembra sia la vittima. (Danni ad area)	Nessuno ha pagato il riscatto, così hanno<br>trasformato il Panzer in un vessillo di vittoria.<br>Efficienza moralmente ambigua! (Danni ad area)
064			
065			
066			
067			
068			
069			
070	Non dimentichiamo chi lavora sodo ogni giorno.<br>Questa gente paga lo stipendio del Gatto impiegato. La sua<br>ultima risorsa è un ottimo inchino. Efficace contro i rossi.	Un Gatto dipendente che non sopportava più le<br>offese del suo capo e si è dato all'occultismo<br>anti-rossi. Che siano maledetti! (Danni ad area)	Questo mondo è troppo brutale e ingiusto!<br>La rabbia primitiva ha preso il sopravvento. Perché fare<br>flame sui social se puoi farlo dal vivo? (Danni ad area)
071	Un famoso guerriero trasformato dalla leggendaria<br>Armatura felina in un generale-uccello.<br>Infligge danni enormi a nemici neri.	Ha attivato la funzione nascosta<br>Turbo jet. Nessuno potrà fermarlo!<br>Infligge danni enormi a nemici neri.	Questo dio della guerra arriva con ali cremisi<br>in prima linea, squarciandola senza pietà!<br>Infligge danni enormi a nemici neri.
072	Un guerriero trasformato dalla leggendaria<br>Armatura felina in un generale-tigre. (Danni ad area)<br>Resistente ai nemici neri, più danni quando è ferito.	La leggendaria Armatura felina si è evoluta e gli ha<br>fatto spuntare un ciliegio in testa. (Danni ad area)<br>Resistente ai nemici neri, più danni quando è ferito.	I ciliegi fioriscono come la furia di Keiji in battaglia.<br>Resistente a neri, immune dagli attacchi a ondata.<br>Resistente ai nemici neri, immune dagli attacchi a ondata.
073	La manifestazione del rancore di Nobunaga<br>dalle vite di molti (e di un Gatto). (Danni ad area)<br>Immobilizza nemici neri al 100%.	Lo spirito del Gatto va su di giri.<br>Il rancore si rafforza ancora di più. (Danni ad area)<br>Immobilizza nemici neri al 100%.	Guida un'armata di spiriti vendicativi per<br>realizzare il suo sogno di unificare i cieli e gli inferi.<br>Immobilizza nemici neri al 100%. (Area)
074	I Gatti hanno provato a rendere il Pescegatto<br>più carino. Porta i regali dei tuoi sogni.<br>Ottiene più soldi sconfiggendo un nemico.	I Gatti hanno provato a rendere il Pescegatto più buono.<br>Ha ricevuto stelle nell'ospitalità per il sacrificio.<br>Ottiene più soldi sconfiggendo un nemico.	Questa unità, costruita per combattere, è stata<br>riprogrammata per deliziare i palati. Attacchi<br>ad area ottengono soldi extra con sconfitte.
075	Ragazza galattica che manipola il vento.<br>L'aspiracannone elimina nemici da lontano.<br>Danni enormi a nemici fluttuanti. (Danni ad area)	Questa tipa strana sente il vento sussurrare.<br>Il vento le dice che sta soffrendo...<br>Danni enormi a nemici fluttuanti. (Danni ad area)	Purtroppo fa acquisti compulsivi di mech all'ultimo grido.<br>Il neo-aspiracannone spara da lontano.<br>Danni enormi a nemici fluttuanti. (Danni ad area)
076	Ragazza galattica che manipola l'elettricità.<br>Spara fulmini da lontano.<br>Danni enormi a nemici rossi. (Danni ad area)	Ha un dolore cronico al collo che la preoccupa.<br>Le piace guardare i cartoni nel tempo libero.<br>Danni enormi a nemici rossi. (Danni ad area)	Quando hai un corpo da dea, è difficile trovare<br>gli abiti giusti. Attacchi ad area a distanza<br>infliggono danni enormi a nemici rossi.
077	Un gatto efficace da difesa disegnato come un telefono.<br>Un telefono... davvero? Balla meglio del Gatto Panzer.<br>Resistente ad attacchi metallici. (Danni ad area)	I Gatti ora sanno usare il pennarello indelebile.<br>Quindi adesso è anche resistente all'acqua.<br>Resistente ad attacchi metallici. (Danni ad area)	Un personaggio da difesa in colori stilosi e<br>alla moda. Fatto di nuovi materiali per una<br>resistenza migliore ai metallici. (Danni ad area)
078	Viene fuori dalla navicella per attaccare.<br>Salute bassa, ma può sfondare le barriere!<br>Può eseguire danni critici.	Promosso dal grado di tenente.<br>Salute bassa, ma può sfondare le barriere!<br>Può eseguire danni critici.	Tecnologia per combattimenti a gravità zero,<br>usata per preservare la gloria dell'Impero dei Gatti!<br>Sfonda barriere, può eseguire danni critici.
079	Questo Gatto è diventato maggiorenne<br>e ha cominciato a bere. Non far caso alle corde.<br>Efficace contro i nemici rossi.	Questo Gatto ha bevuto un po' troppo.<br>Ci vuole moderazione!<br>Efficace contro i nemici rossi.	Dopo il 20° aperitivo lo hanno dovuto legare<br>per il suo bene! In qualche modo ha ottenuto<br>attacchi a distanza, efficaci contro rossi!
080	Nasconde la sua debolezza indossando la<br>maschera da demone.<br>Potrebbe bloccare nemici rossi.	Un Gatto ben vestito. Finché...<br>Meglio chiamare la polizia.<br>Potrebbe bloccare nemici rossi.	Un accordo tra gentiluomini rende la vita più<br>semplice per tutti. Ma chi sta sotto ha<br>la peggio. Può bloccare rossi e sfondare barriere!
081	Gatti travestiti da bambole.<br>Non hanno molta salute ma sparano raggi laser<br>per abbattere più nemici. (Danni ad area)	Il Gatto giovane controlla il Gatto robot,<br>Gatto-tron, per sparare raggi laser. (Danni ad area)<br>Purtroppo non è ancora senza fili.	Ha sempre l'ultimo modello di tappeto<br>e può contare sui suoi amici col turbante per<br>sparare potenti attacchi a ondata. (Danni ad area)
082	Ha studiato il ninjutsu sui manga.<br>Più efficace del Gatto ascia: SÌ!<br>Volete combattere, nemici rossi?	Ha approfondito gli studi con gli anime.<br>Più efficace del Gatto ascia: SÌ!<br>Volete combattere, nemici rossi?	
083	Un antico gatto dragone risvegliato.<br>Si lascia dietro una scia di distruzione. (Danni ad area)<br>Possibilità respingere/resistente a fluttuanti.	L'arma di un antico gatto dragone risvegliato.<br>Ha raggiunto la sua forma finale di dragone. (Att. ad area)<br>Possibilità respingere/resistente a fluttuanti.	Sodoma ha sbloccato la sua forma FINALE di dragone,<br>spaccando la terra con la sua potenza!<br>Respinta ad area/resistente ai fluttuanti al 100%.
084	Un antico gatto dragone risvegliato.<br>Creato per purificare il mondo. (Danni ad area)<br>Potrebbe respingere e rallentare fluttuanti.	Un antico gatto dragone risvegliato.<br>Megidora raggiunge la sua forma finale di dragone (Att. area)<br>Potrebbe respingere e rallentare fluttuanti.	Possiede la divina Pietra del drago. Pronto a<br>divorare tutto per mantenere il suo trono imperiale.<br>Attacchi ad area possono rallentare fluttuanti.
