000			Story of Legends
000-019-000	Reposo de Gandara
000-019-001	Utopía por Allí
000-019-002	Paso de Godiego
000-019-003	Magia de Monos
000-019-004	Puerta del Forastero
000-019-005	Senda de Marco Po
000-019-006	Residuos de Puercos
000-019-007	Sudor Frío del Impío
000-020		Escalera a la Oscuridad
000-020-000	A Salvo y Sin Lamentarlo
000-020-001	Claustronictofobia
000-020-002	Alerta Roja
000-020-003	Escollos de la Vida
000-020-004	Toque de Queda Sutil
000-020-005	Bajo Tierra
000-021		Príncipe de las Sombras
000-021-000	La Alfombra Roja
000-021-001	El Cuatro de Baño
000-021-002	La Sala VIP
000-021-003	Sala de Torturas
000-021-004	Jardín Dictatorial
000-021-005	Dormitorio de Satán
000-022		Noche sin Salida
000-022-000	Banquete de Traición
000-022-001	Final Catártico
000-022-002	Premonición Negra
000-022-003	Máscara Rota
000-022-004	Jaula del Ágape
000-022-005	San Zorro Rojo
000-023		Batalla Campal
000-023-000	T. Conleche Real
000-023-001	Lucha Furiosa
000-023-002	Canción Horrenda
000-023-003	Trampa de Cobardes
000-023-004	Némesis Oscuro
000-023-005	Olor a Tripas y Pescado
000-024		Cicatrices de Guerra
000-024-000	Llanuras de Valquirias
000-024-001	Campo de Minas
000-024-002	Kugelshreiber
000-024-003	Trinchera Fangosa
000-024-004	Jungla de Tiradores
000-024-005	Soldado del Atardecer
000-024-006	Regreso del Padre
000-024-007	Remontada
000-025		Contaminación del Mar
000-025-000	Plataforma Petrolífera
000-025-001	Sudor y Aldehídos
000-025-002	Juicio Antiguo
000-025-003	Voy a por Ti
000-025-004	Costa Sucia
000-025-005	Campo de Benceno
000-025-006	Perro del Gobierno
000-025-007	Boyas de Puertas Giratorias
000-026		Cuerpo y Alma
000-026-000	Aullido del Ocaso
000-026-001	Gestalt en Decadencia
000-026-002	Amanecer del Guerrero
000-026-003	Ventiscas Malditas
000-026-004	Signo del Gato
000-026-005	Acto Desesperado
000-026-006	Síndrome Metabólico
000-026-007	Amor y Muerte
000-027		Ácido Leve y Ligero
000-027-000	Al Menos Soy un Gato
000-027-001	Caballeros de lo Redondo
000-027-002	Catarsis Gatuna
000-027-003	Final Precioso
000-027-004	Basta de Pesadillas
000-027-005	Aprendió a Amar
000-028		Gatos Intrépidos
000-028-000	Conflicto Reanudado
000-028-001	Orden Misteriosa
000-028-002	Observación de Aves
000-028-003	Diálogo Espinoso
000-028-004	Internet Profundo
000-029		Cosmópolis Sombría
000-029-000	Bosque Hambriento
000-029-001	Central de Superdotados
000-029-002	Hora Punta Matutina
000-029-003	Masacre en el Atraque
000-029-004	Acechador Subterráneo
000-029-005	Señor del Abismo
000-030		Galapagótico
000-030-000	ADN y ADH
000-030-001	Cazadores Crepusculares
000-030-002	Rebaño Superviviente
000-030-003	Ecología Alienígena
000-030-004	Criaturas Celestiales
000-030-005	Sociedad Protectora
000-031		Cabo Kombu
000-031-000	Cortavientos Rinrín
000-031-001	Llanuras Ibéricas
000-031-002	Dunas Lloronas
000-031-003	Gai Dorado
000-031-004	Calle Acelerada
000-031-005	Líos en la Mansión
000-032		Eje del Mal
000-032-000	Comanda de Picoteo
000-032-001	Tecnocracia
000-032-002	Masacre Despiadada
000-032-003	Mares Celestiales
000-032-004	Encuentros Cercanos
000-032-005	La Espía que Me Acarició
000-033		Arrabal de los Muertos
000-033-000	Hogar, Dulce Mausoleo
000-033-001	Pantano de Sacrificios
000-033-002	Mazmorra de Sueños
000-033-003	Senda de Resurrección
000-033-004	Jardines Fantasmales
000-033-005	Maullido Silenciado
000-034		Islas en Cuarentena
000-034-000	Contrabando de Virus
000-034-001	Algas Biónicas
000-034-002	Métodos Ancestrales
000-034-003	Atalaya Alta
000-034-004	Trincheras de Atún
000-034-005	Rey Infectado
000-035		Ratonlandia
000-035-000	Saludador de Clientes
000-035-001	Posavasos Roto
000-035-002	Pesadilla Virtual
000-035-003	Temperaturas Altas
000-035-004	Gallinero Irresistible
000-035-005	Piso Embrujado
000-036		Paseo de la Fama
000-036-000	Paraíso de Paparazzi
000-036-001	Prensa Rosa
000-036-002	Primicia de Beverly Hills
000-036-003	Estrella Infantil
000-036-004	Salseo Jugoso
000-036-005	Estudios Multiversal
000-037		Costa Carterista
000-037-000	Reunión Natatoria
000-037-001	Salón Brisa Marina
000-037-002	Muerte Submarina
000-037-003	Desfile de Desidia
000-037-004	Gran Exposición
000-037-005	Vuelo sin Retorno
000-038		Termas del Terror
000-038-000	Baño Eléctrico
000-038-001	Arroyo Hirviente
000-038-002	Tratamiento Mineral
000-038-003	Escoria Jabonosa
000-038-004	Personal de Sauna
000-038-005	Cocción Letal
000-039		Isla sin Viento
000-039-000	Puerto Estrecho
000-039-001	Carretera Romántica
000-039-002	Masaje Borracho
000-039-003	Gulag del Amor
000-039-004	Sala de Perfumes
000-039-005	Casas Sagradas
000-040		Gruta de Comunicaciones
000-040-000	Guardián de la Web
000-040-001	Sueños de Llamada
000-040-002	Trono del Teléfono
000-040-003	Cementerio S. O.
000-040-004	Vulnerabilidad Bendita
000-040-005	Profecía de Banda Ancha
000-041		Galería Grotesca
000-041-000	Crímenes Cubistas
000-041-001	Pecados Surrealistas
000-041-002	Necrófagos Aguados
000-041-003	Muerte Dadaísta
000-041-004	Bestias Barrocas
000-041-005	Art Déco Atroz
000-042		Área 22
000-042-000	Caso Roswell
000-042-001	Abducción Felina
000-042-002	Tipo Adamski
000-042-003	Amor de Chupacabras
000-042-004	Bólido de Tunguska
000-042-005	Hartos del Espacio
000-043		Allende la Sabana
000-043-000	Comerse al Débil
000-043-001	Nikumanjaro
000-043-002	La Tribu Noble
000-043-003	Época de Sequía
000-043-004	Electrosafari
000-043-005	Oasis Celestial
000-044		Avenida Ventisca
000-044-000	Cruce Tiritón
000-044-001	Túnel de Goteras
000-044-002	Parque Congelado
000-044-003	Autopista Tostada
000-044-004	Aviso de Soñolencia
000-044-005	Peaje Calcinado
000-045		Villa Singularidad
000-045-000	Ventas Ubicuas
000-045-001	Cosecha Virtual
000-045-002	Casas de Ponibles
000-045-003	Fertilizantes 8K
000-045-004	Ocaso del Blockchain
000-045-005	Genoma Embrujado
000-046		Confines del Mundo
000-046-000	Santuario Definitivo
000-046-001	Valle del Fin
000-046-002	Torre Final
000-046-003	Último Laberinto
000-046-004	Conclusión Cavernosa
000-046-005	Templo Apocalíptico
000-047		El Final de la Leyenda
000-047-000	La Hora de la Verdad
000-047-001	Sed de Venganza
000-047-002	Gloria de Glorias
000-047-003	Momento de Calma
000-047-004	Resurrección Falsa
000-047-005	Cáliz del Juramento
000-047-006	Céfiro Crepuscular
000-047-007	Promesas Rotas
000-048		Laboratorio de Reliquias
000-048-000	Fuerzas Espeluznantes

001			Regular Event Stages
001-000		Fase del Lunes
001-000-000	Gato Ricachón (Fácil)
001-000-001	Gato Ricachón (Normal)
001-000-002	Gato Ricachón (Difícil)
001-001		Fase del Martes
001-001-000	Gato Acelerado (Fácil)
001-001-001	Gato Acelerado (Normal)
001-001-002	Gato Acelerado (Difícil)
001-002		Fase del Miércoles
001-002-000	Sabelotodo (Fácil)
001-002-001	Sabelotodo (Normal)
001-002-002	Sabelotodo (Difícil)
001-003		Fase del Jueves
001-003-000	Gatotirador (Fácil)
001-003-001	Gatotirador (Normal)
001-003-002	Gatotirador (Difícil)
001-004		Fase del Viernes
001-004-000	Gato Servicial (Fácil)
001-004-001	Gato Servicial (Normal)
001-004-002	Gato Servicial (Difícil)
001-005		Fase del Finde
001-005-000	Amor por la XP (Fácil)
001-005-001	Amor por la XP (Normal)
001-005-002	Amor por la XP (Difícil)
001-006		¡Probabilidad de tique!
001-006-000	Besos, Hipo Metálico (Difícil)
001-007		¡Asedio de Hipo!
001-007-000	Hipo Supermetálico (Experto)
001-008		Otoño: Día Deportivo
001-008-000	Reunión Atlética
001-008-001	Anti-Halloween
001-008-002	Ganar y Perder
001-009		Amado Trabajo
001-009-000	Reuniones Interminables
001-009-001	Compañeros Vagos
001-009-002	Antiestrés Estresante
001-009-003	Puesto de Seguridad
001-009-004	Sueldo sin Permiso
001-009-005	Favor de Última Hora
001-010		La Miaurimorena
001-010-000	Aquella Noche
001-010-001	Aquella Canción
001-010-002	Caldo Caliente
001-010-003	Gato y Nieve
001-010-004	Gordito Bonachón
001-010-005	Papá No Es
001-010-006	Repartidor Inmigrante
001-010-007	Feliz Navidad
001-011		¿Feliz Año Nuevo?
001-011-000	Vacaciones Infelices
001-011-001	Adiós a la Dieta
001-011-002	No Más Propósitos
001-011-003	Un Traguito Más
001-011-004	Cotillón sin Fin
001-011-005	Uvas Descontadas
001-011-006	Menuda Melopea
001-011-007	Resacón
001-012		Felicidad Ritual
001-012-000	Diablo Angelical
001-012-001	Drácula Dona Sangre
001-012-002	Mi Licántropo Mascota
001-012-003	Bronceado de Momias
001-012-004	Préstamos de Almas
001-012-005	Lucifer Siempre Sonríe
001-012-006	Zombis Sanos
001-012-007	Los Humanos Son Peores
001-013		Osos Temerosos
001-013-000	Oso Muy Yogui
001-013-001	Feo y Hermoso
001-013-002	Peluche Mullidito
001-013-003	Todos Son Pardos
001-013-004	Anda la Osa
001-013-005	Animal Bipolar
001-013-006	Metida de Zarpa
001-013-007	Público Furioso
001-014		Catástrofe Carmesí
001-014-000	Ataque al Ciclón R (Experto)
001-015		Paraíso de Oscuridad
001-015-000	Ataque al Ciclón N (Experto)
001-016		Inigualable
001-016-000	Ataque al Ciclón B (Experto)
001-017		Gato Demente
001-017-000	Posesión Infernal (Demencial)
001-018		Gato Defensor Demente
001-018-000	Defensa Absoluta (Demencial)
001-019		Gato Hachero Demente
001-019-000	Frenético (Demencial)
001-020		Gatilargo Demente
001-020-000	Festival Gatilargo (Demencial)
001-021		Gato Lechero Demente
001-021-000	Cabeza Loca (Demencial)
001-022		Gato Pájaro Demente
001-022-000	Aleteo Gatuno (Demencial)
001-023		Piscigato Demente
001-023-000	Locura de Peces (Demencial)
001-024		Gato Lagarto Demente
001-024-000	¿Mamíferos? (Demencial)
001-025		Gato Titán Demente
001-025-000	Gatos Locos (Demencial)
001-026		Profe, Es Primavera
001-026-000	Musical Colegial Gatuno
001-026-001	Flechazo
001-026-002	El Diario Felino
001-026-003	Posdata: Te Araño
001-026-004	100 Citas Felinas
001-026-005	Lamento
001-026-006	T. Q. M.
001-026-007	Volver a Empezar
001-027		Fase del Finde
001-027-000	Amor por la XP (Fácil)
001-027-001	Amor por la XP (Normal)
001-027-002	Amor por la XP (Difícil)
001-027-003	Amor por la XP (Veterano)
001-027-004	Amor por la XP (Experto)
001-027-005	Amor por la XP (Demencial)
001-028		Fase de XP
001-028-000	Amor por la XP (Fácil)
001-028-001	Amor por la XP (Normal)
001-028-002	Amor por la XP (Difícil)
001-028-003	Amor por la XP (Veterano)
001-028-004	Amor por la XP (Experto)
001-028-005	Amor por la XP (Demencial)
001-029		Amor Enfermizo
001-029-000	Amar el Corazón
001-029-001	¡Menos Morritos!
001-029-002	Leído sin Respuesta
001-029-003	Ligar en Internet
001-029-004	¡Bloqueado en FB!
001-029-005	¡Tu Trabajo o Yo!
001-029-006	Seamos Amigos
001-029-007	¡No Te Rindas!
001-030		La Novia Prohibida
001-030-000	Preparativos de Boda
001-030-001	Mandar a un Amigo
001-030-002	Suena la Macarena
001-030-003	Ramo al Agua
001-030-004	Dramones Familiares
001-030-005	El Nombre de Otra
001-030-006	Su Ex Interrumpe
001-030-007	No quiero...
001-031		¡Verano ni de Miau!
001-031-000	Vecinos Glotones
001-031-001	¿Ya Es Verano?
001-031-002	Algo Tienen los Gatos
001-031-003	Refrigerio Veraniego
001-031-004	Dietas de Verano
001-031-005	Chico Complace a Chica
001-031-006	Sacos de Arena
001-031-007	Miaquí, Miahora
001-032		あの世からの帰省ラッシュ！
001-032-000	Papi Vuelve a Aparecerse
001-032-001	Estamos de Vacaciones
001-032-002	A Través de las Paredes
001-032-003	Vete al Cielo
001-032-004	Herencia Debilitante
001-032-005	Plañideras de Alquiler
001-032-006	Tumba de Plástico
001-032-007	Ya No Estoy Aquí
001-033		Evento de las Estrellas Mensual ¡Celebración Especial!
001-033-000	Agradecimiento Especial (Demencial)
001-034		Evento de las Estrellas Mensual ¡Ultracelebración!
001-034-000	¡Ultraestrés! (Demencial)
001-035		Evento de las Estrellas Mensual ¡Celebración Milagrosa!
001-035-000	¡Tácticas Milagrosas! (Demencial)
001-036		Yayos en la Ciudad
001-036-000	Corredores Mañaneros
001-036-001	Trabajo de Día = Boxeo
001-036-002	Huida de la Residencia
001-036-003	Prisión Infinita
001-036-004	Canosos, pero Matones
001-036-005	Esposas Trofeo
001-036-006	Sueños Hechos Realidad
001-036-007	La Esposa Manda
001-038		Otoño: Día Deportivo
001-038-000	Primero Hay Que Calentar
001-038-001	Entrada Torpe
001-038-002	¡Papá, No Me Grabes!
001-038-003	Carrera de Sacos
001-038-004	Mejor Sin Zapatos
001-038-005	Carrera de Huevos
001-038-006	A Toda Pastilla
001-038-007	Todo el Mundo Gana
001-039		Ira de los Cielos
001-039-000	Vorágine Inminente (Experto)
001-040		¡Feliz aniversario! N.º 1
001-040-000	¡Felicidades! ¡2 Años!
001-041		¡Feliz aniversario! N.º 2
001-041-000	¡Felicidades! ¡2 Años!
001-042		¡Feliz aniversario! N.º 3
001-042-000	¡Felicidades! ¡2 Años!
001-043		Dulce Ironía
001-043-000	Ataque al Titanio (Demencial)
001-044		¡Feliz 2015!
001-044-000	¡Primer Amanecer!
001-045		Actriz, Álzate
001-045-000	A Escena (Veterano)
001-045-001	A Escena (Demencial)
001-046		Kungfú X, Álzate
001-046-000	Senda del Kungfú (Experto)
001-046-001	Senda del Kungfú (Demencial)
001-047		Sr., Álzate
001-047-000	Sr. Mutante (Experto)
001-047-001	Sr. Mutante (Demencial)
001-048		Bondage, Álzate
001-048-000	Sujeto a Mutación (Experto)
001-048-001	Sujeto a Mutación (Demencial)
001-049		Domigatriz, Álzate
001-049-000	Golpe de Látigo (Experto)
001-049-001	Golpe de Látigo (Demencial)
001-050		Caja de Gatitos, Álzate
001-050-000	Cajón Desastre (Experto)
001-050-001	Cajón Desastre (Demencial)
001-051		Braguitas, Álzate
001-051-000	Mutación sin Encaje (Experto)
001-051-001	Mutación sin Encaje (Demencial)
001-052		Triciclo, Álzate
001-052-000	Diablo sobre Ruedas (Experto)
001-052-001	Diablo sobre Ruedas (Demencial)
001-053		Ninja, Álzate
001-053-000	Senda del Ninja (Veterano)
001-053-001	Senda del Ninja (Demencial)
001-054		Zombi, Álzate
001-054-000	Cuerpo Escombro (Experto)
001-054-001	Cuerpo Escombro (Demencial)
001-055		Samurái, Álzate
001-055-000	Senda del Samurái (Veterano)
001-055-001	Senda del Samurái (Demencial)
001-056		Sumo, Álzate
001-056-000	Con-sumo Arroz (Experto)
001-056-001	Con-sumo Arroz (Demencial)
001-057		Fiebre, Álzate
001-057-000	Dale a tu Cuerpo Alegría (Experto)
001-057-001	Dale a tu Cuerpo Alegría (Demencial)
001-058		Faldera, Álzate
001-058-000	Con Faldas y a lo Loco (Veterano)
001-058-001	Con Faldas y a lo Loco (Demencial)
001-059		¡Megabote de XP!
001-059-000	Paladar Refinado (Demencial)
001-060		Dulce Dolor
001-060-000	Marchavisco
001-060-001	Mazapena
001-060-002	Caries Incipientes
001-061		Descenso Oscuro
001-061-000	Cueva del Este
001-062		Descenso Oscuro II
001-062-000	Camino del Oeste
001-063		Descenso Oscuro III
001-063-000	Fortín del Sur
001-064		Descenso Oscuro ∞
001-064-000	Cráter del Norte
001-065		The Battle Cats POP!
001-065-000	Poppin' in 3D!
001-065-001	Fight your Friends!
001-065-002	Player VS Player
001-065-003	Pay Only Once!
001-065-004	No I-A-P!
001-065-005	Get Those Ubers
001-065-006	Conquer the Galaxy
001-065-007	At Nintendo eShop!
001-066		Dimensión Desesperada
001-066-000	Agujero Negro Creciente (Demencial)
001-068		
001-068-000	¡Alegría de los 20 M!
001-069		Carnaval Mortal
001-069-000	Carnaval de Tornados (Mortal)
001-069-001	Carnaval de Alzados (Mortal)
001-070		Evento de las Estrellas Mensual Celebración Maravillosa
001-070-000	Conquista Maravillosa (Demencial)
001-071		
001-071-000	Cocina Rápida
001-072		Camino Sombrío
001-072-000	Dulce Samaín
001-072-001	Lámpara de Calabaza
001-072-002	Carnaval de Disfraces
001-072-003	Truco o Tunda
001-072-004	Por fin, Halloween
001-072-005	Festival de la Cosecha
001-073		Bote del Lunes
001-073-000	Gato Ricachón (Veterano)
001-074		Bote del Martes
001-074-000	Gato Acelerado (Veterano)
001-075		Bote del Miércoles
001-075-000	Sabelotodo (Veterano)
001-076		Bote del Jueves
001-076-000	Gatotirador (Veterano)
001-077		Bote del Viernes
001-077-000	Gato Servicial (Veterano)
001-078		Cara al Peligro
001-078-000	Rostro de Acero (Mortal)
001-079		Evento de las Estrellas ¡Gran Celebración!
001-079-000	Cuerpo de Élite (Demencial)
001-080		Regalo de Aniversario
001-080-000	¡Felicidades! ¡3 Años!
001-081		San Nicolás
001-081-000	¡Ya Llega!
001-081-001	Renos de Tiro
001-081-002	Nata Montada
001-081-003	Duendes Amotinados
001-081-004	Guerra Navideña
001-082		¡Hasta siempre!
001-082-000	Primer Amanecer del Año
001-083		Gato Adulto, Álzate
001-083-000	Madurar (Experto)
001-083-001	Madurar (Demencial)
001-084		Gato Malvado, Álzate
001-084-000	Cosa Mala (Experto)
001-084-001	Cosa Mala (Demencial)
001-085		Gatoñecos, Álzate
001-085-000	Más Muñecos (Experto)
001-085-001	Más Muñecos (Demencial)
001-086		Colegiala, Álzate
001-086-000	Dama del Orden (Experto)
001-086-001	Dama del Orden (Demencial)
001-087		Koi, Álzate
001-087-000	Carp a Diem (Experto)
001-087-001	Carp a Diem (Demencial)
001-088		Novia, Álzate
001-088-000	Balada Nupcial (Experto)
001-088-001	Balada Nupcial (Demencial)
001-089		Fin de las Vacaciones
001-089-000	Fin de las Vacaciones (Experto)
001-089-001	Fin de las Vacaciones (Demencial)
001-090		Venganza, Álzate
001-090-000	¡No Hay que Maldecir! (Experto)
001-090-001	¡No Hay que Maldecir! (Demencial)
001-091		Kungfú X, Álzate
001-091-000	Viejo Maestro (Experto)
001-091-001	Viejo Maestro (Demencial)
001-092		Día Deportivo, Álzate
001-092-000	Sudor y Lágrimas (Experto)
001-092-001	Sudor y Lágrimas (Demencial)
001-093		Gato Currito, Álzate
001-093-000	Fiebre Laboral (Experto)
001-093-001	Fiebre Laboral (Demencial)
001-094		Piscigato Reno, Álzate
001-094-000	Senda de Renos (Experto)
001-094-001	Senda de Renos (Demencial)
001-095		Ascendente Clionel
001-095-000	Sin Plan A (Mortal)
001-096		Cielo Rojo Matutino
001-096-000	Tormenta Inminente (Demencial)
001-097		Cultivo Verde
001-097-000	Verde de Envidia (Difícil)
001-097-001	Verde de Envidia (Experto)
001-097-002	Verde de Envidia (Demencial)
001-098		Cultivo Morado
001-098-000	A Ponerse Morados (Difícil)
001-098-001	A Ponerse Morados (Experto)
001-098-002	A Ponerse Morados (Demencial)
001-099		Cultivo Rojo
001-099-000	Rojo Pasión (Difícil)
001-099-001	Rojo Pasión (Experto)
001-099-002	Rojo Pasión (Demencial)
001-100		Cultivo Azul
001-100-000	Sangre Azul (Difícil)
001-100-001	Sangre Azul (Experto)
001-100-002	Sangre Azul (Demencial)
001-101		Cultivo Amarillo
001-101-000	Rayos Dorados (Difícil)
001-101-001	Rayos Dorados (Experto)
001-101-002	Rayos Dorados (Demencial)
001-102		Gato Maníaco
001-102-000	Matón Punkarra (Mortal)
001-103		Defensor Maníaco
001-103-000	Vulcanizador (Mortal)
001-104		Hachero Maníaco
001-104-000	Guerra Injusta (Mortal)
001-105		Gatilargo Maníaco
001-105-000	Fiesta de Fortachones (Mortal)
001-106		Vaca Maníaca
001-106-000	Lío de Leones (Mortal)
001-107		Pájaro Maníaco
001-107-000	Bestias del Bosque (Mortal)
001-108		Pescado Maníaco
001-108-000	Isla de Ogros (Mortal)
001-109		Lagarto Maníaco
001-109-000	Draconiano (Mortal)
001-110		Titán Maníaco
001-110-000	Felino del Mal (Mortal)
001-111		De Mal en Peor
001-111-000	Tragedia Roja (Demencial)
001-112		Día del Juicio Final
001-112-000	Explosión Celestial (Demencial)
001-114		Tecnoneurosis
001-114-000	Tuercas y Tornillos (Experto)
001-115		Agenda Veraniega
001-115-000	Cinturón Ancho
001-115-001	Guerra de Pistolas de Agua
001-115-002	Granizada de Limón
001-115-003	Infierno de Mosquitos
001-115-004	Paraíso de Bengalas
001-115-005	Barbacoa Casera
001-116		Paquete Misterioso
001-116-000	Sin Remitente
001-117		Río Estigia
001-117-000	Reino de Matanza (Mortal)
001-118		Bufé de Fruta Felina
001-118-000	Verde de Envidia (Difícil)
001-118-001	Verde de Envidia (Experto)
001-118-002	Verde de Envidia (Demencial)
001-119		Coronación de Reina
001-119-000	Trampa Sensual (Mortal)
001-120		Carnaval Mortal II
001-120-000	Carnaval de Tornados II (Mortal)
001-120-001	Carnaval de Alzados II (Mortal)
001-121		Feria Gastronómica
001-121-000	Salchichas Veganas
001-121-001	Aire Rebozado
001-121-002	Bien Chamuscado
001-121-003	Casi Orgánico
001-121-004	Sin Cambio...
001-121-005	Siempre en Rojo
001-122		Muertos Rodantes
001-122-000	Tempestad Impía (Demencial)
001-123		Regalo de Aniversario
001-123-000	¡4 Años de Diversión!
001-124		Coliseo de XP
001-124-000	Forjado en Llamas (Mortal)
001-125		Gatos en la Nieve
001-125-000	Lengua de Gato
001-125-001	Paloma Blanca
001-125-002	Nieve al Anochecer
001-125-003	Buda del Romance
001-125-004	Deseo Gélido
001-126		¡Naño Uevo!
001-126-000	Primer Amanecer del Año
001-127		Día del Gato
001-127-000	Instinto Salvaje
001-127-001	Garras Sangrientas
001-127-002	Caso 222
001-128		Difunto Debutante
001-128-000	Desfile de Difuntos (Mortal)
001-129		¡Pri-ma-ve-ra!
001-129-000	Época de Renacer
001-129-001	Hermanos Saltarines
001-129-002	Isla Caza del Huevo
001-129-003	Culturas Nativas
001-129-004	Más Antiguo
001-129-005	Rongorongo
001-130		Minigato, Álzate
001-130-000	Maulliditos (Mortal)
001-131		Minidefensor, Álzate
001-131-000	Murito (Mortal)
001-132		Minihachero, Álzate
001-132-000	Leñadorcito (Mortal)
001-133		Minigatilargo, Álzate
001-133-000	Caminantito (Mortal)
001-134		Minivaca, Álzate
001-134-000	Cuernecitos (Mortal)
001-135		Minipájaro, Álzate
001-135-000	Alitas (Mortal)
001-136		Minipescado, Álzate
001-136-000	Aletitas (Mortal)
001-137		Minilagarto, Álzate
001-137-000	Colita (Mortal)
001-138		Minititán, Álzate
001-138-000	Puñitos (Mortal)
001-139		Para los Fans
001-139-000	Somos lo Mejor
001-140		El Toque de Midas
001-140-000	Oro entre Carbón
001-140-001	Soy Minero
001-140-002	Edad de Oro
001-140-003	A Pico y Pala
