000			Story of Legends
000-017-004	Zona di trappole
000-017-005	La grande fuga
000-018		Cella di Capone
000-018-000	Diario di evasione
000-018-001	L'ultima gang
000-018-002	Prigione distrutta
000-018-003	Re della libertà
000-018-004	Il fato del bugiardo
000-018-005	Il tabù del porcile
000-019		Via della seta
000-019-000	La pace di Gandara
000-019-001	L'utopia è di là
000-019-002	Passo Godiego
000-019-003	Magia scimmiesca
000-019-004	Il cancello dell'estraneo
000-019-005	Strada Marco Po
000-019-006	Sbobba del maiale
000-019-007	Sudore freddo del folletto
000-020		Scalata alle tenebre
000-020-000	Sicuro e non dispiaciuto
000-020-001	Claustronictofobia
000-020-002	Allarme Rosso
000-020-003	Trappole della vita
000-020-004	Coprifuoco sottile
000-020-005	Sotterranei
000-021		Principe delle tenebre
000-021-000	Il tappeto rosso
000-021-001	Il bagno
000-021-002	La sala VIP
000-021-003	Sala delle torture
000-021-004	Giardino del dittatore
000-021-005	Stanza di Satana
000-022		Notte senza futuro
000-022-000	Festino del tradimento
000-022-001	Fine della catarsi
000-022-002	Premonizione nera
000-022-003	Maschera rotta
000-022-004	Gabbia di Agape
000-022-005	Volpe santa
000-023		Battaglia campale
000-023-000	Sua altezza, Tè con latte
000-023-001	Lite furiosa
000-023-002	Orribile canzone
000-023-003	Trappola di codardi
000-023-004	Nemesi oscura
000-023-005	Odore di sangue e pesce
000-024		Cicatrici di guerra
000-024-000	Piana della valchiria
000-024-001	Campo minato
000-024-002	Kugel Schreiber
000-024-003	Trincea fangosa
000-024-004	Cecchino nella giungla
000-024-005	Soldato al tramonto
000-024-006	Padre è tornato
000-024-007	Rivincita
000-025		Mari inquinati
000-025-000	Piattaforma petrolifera
000-025-001	Lacrime e aldeide
000-025-002	Prova antica
000-025-003	Ti tengo d'occhio
000-025-004	Discarica sulla costa
000-025-005	Campo di benzene
000-025-006	Guardiano del governo
000-025-007	Porte girevoli galleggianti
000-026		Anima e corpo
000-026-000	Tramonto del gufo
000-026-001	Gestalt, declino
000-026-002	L'alba del guerriero
000-026-003	Tormente tormentate
000-026-004	Segno del Gatto
000-026-005	Disperazione
000-026-006	Sindrome metabolica
000-026-007	Amore e morte
000-027		Leggermente acido
000-027-000	Perlomeno sono un gatto
000-027-001	Cavalieri della tavola
000-027-002	Catarsi felina
000-027-003	Fantastico finale
000-027-004	Basta brutti sogni
000-027-005	Imparare ad amare
000-028		Gatti intrepidi
000-028-000	Conflitto rinnovato
000-028-001	Ordine misterioso
000-028-002	Birdwatching
000-028-003	Dialogo spinoso
000-028-004	Darkweb
000-029		Cosmopoli oscura
000-029-000	Foresta affamata
000-029-001	Ambiziosi al centro
000-029-002	Orario di punta
000-029-003	Massacro al molo
000-029-004	Stalker sotterraneo
000-029-005	Lord dell'abisso
000-030		Galapagotico
000-030-000	DNA & DHA
000-030-001	Cacciatori serali
000-030-002	Mandria superstite
000-030-003	Ecologia aliena
000-030-004	Creature celestiali
000-030-005	Pastori del mare
000-031		Capo Kombu
000-031-000	Frangivento Rinrin
000-031-001	Piana iberica
000-031-002	Dune piangenti
000-031-003	Strada d'oro
000-031-004	Viale piede pesante
000-031-005	Problemi in villa
000-032		Asse del male
000-032-000	Gerarchia
000-032-001	Tecnocrazia
000-032-002	Offensiva spietata
000-032-003	Mari celestiali
000-032-004	Incontri ravvicinati
000-032-005	La spia che mi accarezzava
000-033		Periferia dei morti
000-033-000	Casa dolce mausoleo
000-033-001	Palude del sacrificio
000-033-002	Le segrete dei sogni
000-033-003	Strada del fantasma
000-033-004	Giardini dalle luci spettrali
000-033-005	Miagolio taciuto
000-034		Isole in quarantena
000-034-000	Trafficanti di virus
000-034-001	Alga bionica
000-034-002	Modi ancestrali
000-034-003	Alta vedetta
000-034-004	Fronte del tonno
000-034-005	Il re infetto
000-035		Topolandia
000-035-000	Accoglienza alle porte
000-035-001	Ottovolante traballante
000-035-002	Incubo virtuale
000-035-003	50 sfumature di caldo
000-035-004	Pollaio irresistibile
000-035-005	Trivani infestato
000-036		Walk of Fame
000-036-000	Paradiso di paparazzi
000-036-001	Gossip feroce
000-036-002	Scoop a Beverly Hills
000-036-003	Amore filiale
000-036-004	Scandali succosi
000-036-005	Multiversal Studios
000-037		Costa Borsaiolo
000-037-000	Incontro di nuoto
000-037-001	Salone brezza marina
000-037-002	Morte in alto mare
000-037-003	Parata di procrastinatori
000-037-004	Grande mostra
000-037-005	Voli di sola andata
000-038		Sopra e sotto
000-038-000	Bagno elettrico
000-038-001	Sorgente bollente
000-038-002	Trattamento minerale
000-038-003	Bolle di sapone
000-038-004	I tipi della sauna
000-038-005	Cotti al vapore
000-039		Isola senza vento
000-039-000	Moli stretti
000-039-001	Autostrada del cuore
000-039-002	Massaggiatore ubriaco
000-039-003	Gulag d'amore
000-039-004	Stanza del profumo
000-039-005	Case sacre
000-040		Catacombe informatiche
000-040-000	Custode dei numeri primi
000-040-001	Sogni al telefono
000-040-002	Il trono telefonico
000-040-003	SO Tombale
000-040-004	Il sacro exploit
000-040-005	Presagi a banda larga
000-041		Galleria grottesca
000-041-000	Crimini cubisti
000-041-001	Surrealisti sinistri
000-041-002	Guazzi di gul
000-041-003	Dipartita da Dada
000-041-004	Bestie barocche
000-041-005	Atroce déco
000-042		Area 22
000-042-000	Incidente di Roswell
000-042-001	Rapimento felino
000-042-002	Come Adamski
000-042-003	Viva il Chupacabra
000-042-004	Evento di Tunguska
000-042-005	Infinitamente stanco
000-043		Oltre la savana
000-043-000	Divora il debole
000-043-001	Nikumanjaro
000-043-002	La nobile tribù
000-043-003	Stagione secca
000-043-004	Elettrosafari
000-043-005	Oasi paradisiaca
000-044		Viale Ventoso
000-044-000	Bivio Tremore
000-044-001	Tunnel gocciolante
000-044-002	Parco Gelone
000-044-003	Caldo Casello
000-044-004	Semafori Sonnolenti
000-044-005	Casello incenerito
000-045		Borgo Singolarità
000-045-000	Vendite onnipresenti
000-045-001	Raccolto virtuale
000-045-002	Case indossabili
000-045-003	Fertilizzante 8K
000-045-004	Crepuscolo Blockchain
000-045-005	Genoma spettrale
000-046		Confini del mondo
000-046-000	Santuario finale
000-046-001	Valle al confine
000-046-002	Torre finale
000-046-003	Ultimo labirinto
000-046-004	Antro conclusivo
000-046-005	Tempio Apocalisse
000-047		La leggenda finisce
000-047-000	La resa dei conti
000-047-001	Sete di vendetta
000-047-002	Gloria delle glorie
000-047-003	Un momento di serenità
000-047-004	Falso ritorno
000-047-005	Calice del Giuramento
000-047-006	Brezza serale
000-047-007	Promesse infrante
000-048		Laboratorio di cimeli
000-048-000	Forze arcane

001			Regular event stages
001-000		Livello lunedì
001-000-000	Gatto riccone (Facile)
001-000-001	Gatto riccone (Normale)
001-000-002	Gatto riccone (Difficile)
001-001		Livello martedì
001-001-000	Gatto lesto (Facile)
001-001-001	Gatto lesto (Normale)
001-001-002	Gatto lesto (Difficile)
001-002		Livello mercoledì
001-002-000	Gatto secchione (Facile)
001-002-001	Gatto secchione (Normale)
001-002-002	Gatto secchione (Difficile)
001-003		Livello giovedì
001-003-000	Gatto cecchino (Facile)
001-003-001	Gatto cecchino (Normale)
001-003-002	Gatto cecchino (Difficile)
001-004		Livello venerdì
001-004-000	Gatto utile (Facile)
001-004-001	Gatto utile (Normale)
001-004-002	Gatto utile (Difficile)
001-005		Livello del weekend
001-005-000	Dolci XP (Facile)
001-005-001	Dolci XP (Normale)
001-005-002	Dolci XP (Difficile)
001-006		Miaobiglietto da occasione!
001-006-000	Baci, Metallippo (Difficile)
001-007		L'assedio di Ippo!
001-007-000	Super Metallippo (Esperti)
001-008		Autunno = Giorno sportivo
001-008-000	Gara sportiva
001-008-001	Anti Halloween
001-008-002	Vittorie e sconfitte
001-009		Viva il lavoro
001-009-000	Riunioni di una settimana
001-009-001	Colleghi fannulloni
001-009-002	Stress antistress
001-009-003	Sicurezza sul lavoro
001-009-004	Paga senza ferie
001-009-005	L'ultimo minuto vale
001-010		Gatto del ciel
001-010-000	Quella notte
001-010-001	Quella canzone
001-010-002	Stufato
001-010-003	Gatto e neve
001-010-004	Babbo Natale part time
001-010-005	Santa o Satana?
001-010-006	Babbo ha lo stipendio
001-010-007	Buon Natale
001-011		Felice anno nuovo?
001-011-000	Niente buone feste
001-011-001	A dieta per le feste
001-011-002	Basta buoni propositi
001-011-003	Un ultimo drink
001-011-004	After After Party
001-011-005	Dimentica il countdown
001-011-006	Blackout
001-011-007	Sbronza
001-012		Felicità rituale
001-012-000	Diavolo angelico
001-012-001	Dracula dona il sangue
001-012-002	Lupacchiotto mannaro
001-012-003	Mummie al sole
001-012-004	Anima a noleggio
001-012-005	Lucifero ama sorridere
001-012-006	Zombi salutari
001-012-007	Gli umani fanno paura
001-013		Orsi e rimorsi
001-013-000	Orso alla griglia
001-013-001	Fuori concorso
001-013-002	Un kg di imbottiture
001-013-003	A caccia di miele
001-013-004	Orsi armati
001-013-005	Diventare bipolari
001-013-006	Lotta a zampe nude
001-013-007	Rimorsi insopportabili
001-014		Catastrofe cremisi
001-014-000	Attacco al Ciclone-R (Esperti)
001-015		Paradiso delle tenebre
001-015-000	Attacco al Ciclone-N (Esperti)
001-016		Ineguagliabile
001-016-000	Attacco al Ciclone-B (Esperti)
001-017		Il Gatto matto
001-017-000	Anime oscure (Folle)
001-018		Il panzer matto
001-018-000	Difesa assoluta (Folle)
001-019		L'ascia matta
001-019-000	Berserker (Folle)
001-020		L'alto matto
001-020-000	Alto in festa (Folle)
001-021		La mucca matta
001-021-000	Scuotitesta (Folle)
001-022		L'uccello matto
001-022-000	Gatto in volo (Folle)
001-023		Il pesce matto
001-023-000	Inferno ittico (Folle)
001-024		La lucertola matta
001-024-000	Mammiferi? (Folle)
001-025		Il Titano matto
001-025-000	Gatti pazzi (Folle)
001-026		Professore! È primavera!
001-026-000	Gat School Musical
001-026-001	È amore
001-026-002	Le pagine della nostra micia
001-026-003	P.S. Ti Gatto ancora
001-026-004	100 Gatti insieme
001-026-005	Lamenti
001-026-006	T A
001-026-007	Ricominciamo
001-027		Livello del weekend
001-027-000	Dolci XP (Facile)
001-027-001	Dolci XP (Normale)
001-027-002	Dolci XP (Difficile)
001-027-003	Dolci XP (Veterani)
001-027-004	Dolci XP (Esperti)
001-027-005	Dolci XP (Folle)
001-028		Livello XP
001-028-000	Dolci XP (Facile)
001-028-001	Dolci XP (Normale)
001-028-002	Dolci XP (Difficile)
001-028-003	Dolci XP (Veterani)
001-028-004	Dolci XP (Esperti)
001-028-005	Dolci XP (Folle)
001-029		L'amore è un malore
001-029-000	Amo l'amore
001-029-001	Basta smorfie!
001-029-002	Nessuna risposta
001-029-003	Incontri online!
001-029-004	Bloccato su FB!
001-029-005	O me o il lavoro!
001-029-006	Rimaniamo amici
001-029-007	Non arrenderti!
001-030		La sposa proibita
001-030-000	Fatiche nuziali
001-030-001	Mando un amico
001-030-002	Macarena in sottofondo
001-030-003	Il bouquet in acqua
001-030-004	Drammi familiari
001-030-005	Nome della sposa errato
001-030-006	L'ex: "Mi oppongo"
001-030-007	No, non voglio
001-031		Estate mai!
001-031-000	Il ghiottone della porta accanto
001-031-001	È già estate?
001-031-002	A proposito dei Gatti
001-031-003	Frullato estivo
001-031-004	Affamati in estate
001-031-005	Giovani in carne
001-031-006	Sabbia sul mantello
001-031-007	Proprio qui, proprio miao
001-032		あの世からの帰省ラッシュ！
001-032-000	Papà ci perseguita
001-032-001	Ma siamo in vacanza
001-032-002	Non attraversi i muri?
001-032-003	Punta in alto!
001-032-004	Sperperare eredità
001-032-005	Piagnucoloni a noleggio
001-032-006	La tomba è di plastica...
001-032-007	Non sono più qui.
001-033		Evento All-Star mensile Festeggiamento speciale!
001-033-000	Grazie mille! (Folle)
001-034		Evento All-Star mensile Festeggiamento ultra!
001-034-000	Ultra Stress! (Folle)
001-035		Evento All-Star mensile Festeggiamo il miracolo!
001-035-000	Tattiche miracolose! (Folle)
001-036		Vegliardi in centro
001-036-000	Jogging all'alba
001-036-001	Giorno feriale = Boxer
001-036-002	Fuga da casa
001-036-003	300 anni di libertà vigilata
001-036-004	Attaccabrighe barbuto
001-036-005	Mogli trofeo
001-036-006	Vivere il sogno
001-036-007	Comanda sempre mia moglie
001-038		Autunno = Giorno sportivo
001-038-000	Prima devo riscaldarmi
001-038-001	Ingresso goffo
001-038-002	Papà, niente video!
001-038-003	La corsa coi sacchi
001-038-004	Velocista scalzo
001-038-005	Uovo-Colla-Cucchiaio
001-038-006	Corsa dei polli
001-038-007	Vincono tutti
001-039		Ira del paradiso
001-039-000	Tornado in arrivo (Esperti)
001-040		Buon compleanno! N. 1
001-040-000	Auguri! 2 anni!
001-041		Buon compleanno! N. 2
001-041-000	Auguri! 2 anni!
001-042		Buon compleanno! N. 3
001-042-000	Auguri! 2 anni!
001-043		Dolce ironia
001-043-000	Attacco su Titano (Folle)
001-044		Felice 2015!
001-044-000	Prima alba!
001-045		Arriva Gattrice!
001-045-000	Salire sul palco (Veterani)
001-045-001	Salire sul palco (Folle)
001-046		Arriva Kung Fu!
001-046-000	Via del Kung Fu (Esperti)
001-046-001	Via del Kung Fu (Folle)
001-047		Arriva Mr.!
001-047-000	Evoluzione Mr.iosa (Esperti)
001-047-001	Evoluzione Mr.iosa (Folle)
001-048		Arriva Bondage!
001-048-000	Legami evoluti (Esperti)
001-048-001	Legami evoluti (Folle)
001-049		Arriva Domigattrix!
001-049-000	Colpo di frusta (Esperti)
001-049-001	Colpo di frusta (Folle)
001-050		Arrivano Gatti in scatola!
001-050-000	A scatola chiusa (Esperti)
001-050-001	A scatola chiusa (Folle)
001-051		Arriva Slip!
001-051-000	Niente fronzoli (Esperti)
001-051-001	Niente fronzoli (Folle)
001-052		Arriva Triciclo!
001-052-000	Inferno su 3 ruote (Esperti)
001-052-001	Inferno su 3 ruote (Folle)
001-053		Arriva Ninja!
001-053-000	La via del ninja (Veterani)
001-053-001	La via del ninja (Folle)
001-054		Arriva Zombi!
001-054-000	Passi incerti (Esperti)
001-054-001	Passi incerti (Folle)
001-055		Arriva Samurai!
001-055-000	La via del samurai (Veterani)
001-055-001	La via del samurai (Folle)
001-056		Arriva Sumo!
001-056-000	Peso massimo (Esperti)
001-056-001	Peso massimo (Folle)
001-057		Arriva Febbre!
001-057-000	Boogie-woogie (Esperti)
001-057-001	Boogie-woogie (Folle)
001-058		Arriva Gonnellina!
001-058-000	Pericolo evitato (Veterani)
001-058-001	Pericolo evitato (Folle)
001-059		Megablitz di XP!
001-059-000	Palato raffinato (Folle)
001-060		Dolce Dolore
001-060-000	Marzomellow
001-060-001	Marzipena
001-060-002	Carie in agguato
001-061		Discesa oscura
001-061-000	Antro dell'est
001-062		Discesa oscura II
001-062-000	Passo a ovest
001-063		Discesa oscura III
001-063-000	Forte del sud
001-064		Discesa oscura ∞
001-064-000	Voragine a nord
001-065		The Battle Cats POP!
001-065-000	Poppin' in 3D!
001-065-001	Fight your Friends!
001-065-002	Player VS Player
001-065-003	Pay Only Once!
001-065-004	No I-A-P!
001-065-005	Get Those Ubers
001-065-006	Conquer the Galaxy
001-065-007	At Nintendo eShop!
001-066		Dimensione disperata
001-066-000	Ascesa del buco nero (Folle)
001-068		
001-068-000	Gioia da 20 milioni!
001-069		Fiera letale
001-069-000	Fiera nel ciclone (Letale)
001-069-001	Risveglio della Fiera (Letale)
001-070		Evento All-Star mensile Super festeggiamento
001-070-000	Super conquista (Folle)
001-071		
001-071-000	Più veloce di un panino
001-072		Arriva Halloween
001-072-000	Sereno Samhain
001-072-001	Lanterna di Jack
001-072-002	Fiera di cosplay
001-072-003	Trattamento o scherzetto!
001-072-004	Ehi ehi Halloween
001-072-005	Festival del raccolto
001-073		Livello Blitz lun.
001-073-000	Gatto riccone (Veterani)
001-074		Livello Blitz mar.
001-074-000	Gatto lesto (Veterani)
001-075		Livello Blitz mer.
001-075-000	Gatto secchione (Veterani)
001-076		Livello Blitz giov.
001-076-000	Gatto cecchino (Veterani)
001-077		Livello Blitz ven.
001-077-000	Gatto utile (Veterani)
001-078		Pericolo imminente
001-078-000	Faccia d'acciaio (Letale)
001-079		Evento All-Star Festeggiamento eccellente!
001-079-000	Corpo d'élite (Folle)
001-080		Regalo di compleanno!
001-080-000	Auguri! 3 anni!
001-081		Buon S. Nicola
001-081-000	Arriva in città!
001-081-001	Renne monelle
001-081-002	Frustare a neve
001-081-003	Golpe tra gli elfi
001-081-004	Guerra a Natale
001-082		Auld Lang Syne!
001-082-000	L'alba dell'anno!
001-083		Arriva Gattadulto!
001-083-000	Crescere (Esperti)
001-083-001	Crescere (Folle)
001-084		Arriva Gattivo!
001-084-000	Pura malvagità (Esperti)
001-084-001	Pura malvagità (Folle)
001-085		Arrivano Miambole!
001-085-000	Imbambolati (Esperti)
001-085-001	Imbambolati (Folle)
001-086		Arriva Lady!
001-086-000	Lady di ferro (Esperti)
001-086-001	Lady di ferro (Folle)
001-087		Arriva Koi!
001-087-000	Carpa diem (Esperti)
001-087-001	Carpa diem (Folle)
001-088		Arriva Sposa!
001-088-000	Blues nuziale (Esperti)
001-088-001	Blues nuziale (Folle)
001-089		Vacanze finite
001-089-000	Vacanze finite (Esperti)
001-089-001	Vacanze finite (Folle)
001-090		Arriva Vendetta!
001-090-000	Niente maledizioni! (Esperti)
001-090-001	Niente maledizioni! (Folle)
001-091		Arriva Kung Fu!
001-091-000	Vecchio maestro (Esperti)
001-091-001	Vecchio maestro (Folle)
001-092		Arriva Giorno sportivo!
001-092-000	Lacrime e sudore (Esperti)
001-092-001	Lacrime e sudore (Folle)
001-093		Arriva Dipendente!
001-093-000	La febbre dell'impiegato (Esperti)
001-093-001	La febbre dell'impiegato (Folle)
001-094		Arriva Pescegatto Renna!
001-094-000	Strada della renna (Esperti)
001-094-001	Strada della renna (Folle)
001-095		Clionel Ascendente
001-095-000	Nessun piano A (Letale)
001-096		Rosso di mattina
001-096-000	Tempesta in arrivo (Folle)
001-097		Verde rigoglioso
001-097-000	Verde invidia (Difficile)
001-097-001	Verde invidia (Esperti)
001-097-002	Verde invidia (Folle)
001-098		Viola rigoglioso
001-098-000	Viola fluo (Difficile)
001-098-001	Viola fluo (Esperti)
001-098-002	Viola fluo (Folle)
001-099		Rosso rigoglioso
001-099-000	Rosso passione (Difficile)
001-099-001	Rosso passione (Esperti)
001-099-002	Rosso passione (Folle)
001-100		Blu rigoglioso
001-100-000	Blu illusione (Difficile)
001-100-001	Blu illusione (Esperti)
001-100-002	Blu illusione (Folle)
001-101		Giallo rigoglioso
001-101-000	Raggi d'oro (Difficile)
001-101-001	Raggi d'oro (Esperti)
001-101-002	Raggi d'oro (Folle)
001-102		Pazzi per i Gatti
001-102-000	Morthawk (Letale)
001-103		Pazzi per il panzer
001-103-000	Vulcanizzatore (Letale)
001-104		Pazzi per l'ascia
001-104-000	Guerra ingiusta (Letale)
001-105		Pazzi per gli alti
001-105-000	Bicipite party (Letale)
001-106		Pazzi per la mucca
001-106-000	Leoni a iosa (Letale)
001-107		Uccello pazzo
001-107-000	Bestie boschive (Letale)
001-108		Pazzi per il pesce
001-108-000	Isola dell'orco (Letale)
001-109		Lucertola pazza
001-109-000	Draconiano (Letale)
001-110		Pazzi per il Titano
001-110-000	Felino residente (Letale)
001-111		Di male in peggio
001-111-000	Tragedia in rosso (Folle)
001-112		Giorno del Giudizio
001-112-000	Esplosione nel cielo (Folle)
001-114		Nevrosi-tech
001-114-000	Dadi e bulloni (Esperti)
001-115		Diario estivo
001-115-000	Pantaloncini-ini
001-115-001	Guerra di pistole ad acqua
001-115-002	Caramelle e odontoiatri
001-115-003	Inferno di zanzare
001-115-004	Paradiso di stelline
001-115-005	BBQ nel cortile
001-116		Pack misterioso
001-116-000	Mittente anonimo
001-117		Fiume Stige
001-117-000	Regno del massacro (Letale)
001-118		Buffet di miagrumi
001-118-000	Verde invidia (Difficile)
001-118-001	Verde invidia (Esperti)
001-118-002	Verde invidia (Folle)
001-119		Incoronazione regale
001-119-000	Specchietto per allodole (Letale)
001-120		Fiera letale II
001-120-000	Fiera nel ciclone II (Letale)
001-120-001	Risveglio della Fiera II (Letale)
001-121		Festival gourmet
001-121-000	Salsicce vegane
001-121-001	Aria fritta
001-121-002	Bruciato a puntino
001-121-003	Non proprio bio
001-121-004	Cambia rotta...
001-121-005	Sempre in rosso
001-122		Morti rotolanti
001-122-000	Tempesta empia (Folle)
001-123		Regalo di compleanno!
001-123-000	4 anni di divertimento!
001-124		Colosseo di XP
001-124-000	Temprato dalle fiamme (Letale)
001-125		Gatti sulla neve
001-125-000	Lingua di gatto
001-125-001	Colomba bianca
001-125-002	Neve all'alba
001-125-003	Buddha romantico
001-125-004	Desiderio gelato
001-126		Nanno Uovo!
001-126-000	L'alba dell'anno
001-127		Giorno del Gatto
001-127-000	Istinto selvaggio
001-127-001	Artigli insanguinati
001-127-002	L'incidente 222
001-128		Debutto da morti
001-128-000	Parata di morti (Letale)
001-129		Un gatto fa primavera
001-129-000	Stagione di rinascita
001-129-001	Fratelli conigli
001-129-002	Caccia alle uova sull'isola
001-129-003	Cultura indigena
001-129-004	Antichità
001-129-005	Rongorongo
001-130		Arriva Mini Gatto!
001-130-000	Piccoli miagolii (Letale)
001-131		Arriva Mini Panzer!
001-131-000	Piccolo desiderio (Letale)
001-132		Arriva Mini Ascia!
001-132-000	Piccola mannaia (Letale)
001-133		Arriva Mini Alto!
001-133-000	Piccolo rampicante (Letale)
001-134		Arriva Mini Mucca!
001-134-000	Piccole corna (Letale)
001-135		Arriva Mini Uccello!
001-135-000	Piccole ali (Letale)
001-136		Arriva Mini Pesce!
001-136-000	Piccole pinne (Letale)
001-137		Arriva Mini Lucertola!
001-137-000	Piccola coda (Letale)
001-138		Arriva Mini Titano!
001-138-000	Piccoli pugni (Letale)
001-139		Per i fan
001-139-000	Siamo i numeri uno
001-140		Il tocco di Mida
001-140-000	Oro in una miniera di carbone
001-140-001	Professione: minatore
001-140-002	L'alba dell'età dell'oro
001-140-003	Spalando no-stop
001-140-004	Sogni diventati irrealtà
001-142		Sbavare per vincere
001-142-000	Gare piovose
001-142-001	Trofeo di plastica
001-142-002	Previsioni di pioggia
001-142-003	Derby in paradiso
001-142-004	Viscidi stalloni
001-143		Arriva Gatto Kart!
001-143-000	Kartopia (Esperti)
001-143-001	Kartopia (Folle)
001-145		
001-145-000	Gioia da 30 milioni!
001-146		Evento All-Star Gran Giubileo!
001-146-000	Scoppio del megatone (Folle)
001-147		Guarda & ottieni
001-147-000	Morbidezza unica
001-148		Arriva Gatto Fiore!
001-148-000	Splendida fioritura (Facile)
001-149		Lezione estiva
001-149-000	Tutti a scuola
001-149-001	Sono un Gatto
001-149-002	c2 ＝ a2 ＋ b2
001-149-003	La guerra delle Rose
001-149-004	N2+3H2→2NH3
001-150		Caverna di comete
001-150-000	Sito di impatto (Normale)
001-150-001	Sito di impatto (Veterani)
001-150-002	Sito di impatto (Folle)
001-151		Isola di Cenere
001-151-000	Incendio (Normale)
001-151-001	Incendio (Veterani)
001-151-002	Incendio (Folle)
001-152		Stretto delle ali
001-152-000	Antiche rovine (Normale)
001-152-001	Antiche rovine (Veterani)
001-152-002	Antiche rovine (Folle)
001-153		Arriva Miaoburger!
001-153-000	Avventura di valore (Normale)
001-154		Silver Week
001-154-000	Il 2° posto è ok
001-154-001	Anniversario d'argento
001-154-002	Una strada lontana
001-155		XP spietati!
