000			Stories of Legend
000-024-002	Kugel Schreiber
000-024-003	Muddy Trench
000-024-004	Sniper Jungle
000-024-005	Sunset Soldier
000-024-006	Father’s Back
000-024-007	Winning Back
000-025		Sea Polluter
000-025-000	Oil Platform
000-025-001	Sweat and Aldehyde
000-025-002	Ancient Trial
000-025-003	I'm onto you
000-025-004	Littering Coast
000-025-005	Benzene Field
000-025-006	Government Watchdog
000-025-007	Revolving-door Floats
000-026		Body & Soul
000-026-000	Sunset’s Howl 
000-026-001	Gestalt, Decay
000-026-002	Warrior’s Dawn
000-026-003	Cursed Blizzards
000-026-004	Sign of the Cat
000-026-005	Out of Despair
000-026-006	Metabolic Syndrome
000-026-007	Love and Death
000-027		Weak & Mildly Acidic
000-027-000	At Least I'm a Cat
000-027-001	Knights of the Round
000-027-002	Cat Catharsis
000-027-003	Beautiful Finale
000-027-004	No More Bad Dreams
000-027-005	Learned to Love
000-028		Intrepid Cats  
000-028-000	Renewed Conflict
000-028-001	Mysterious Order
000-028-002	Birdwatching
000-028-003	Thorny Dialogue
000-028-004	Darkweb
000-029		Shadow Cosmopolis
000-029-000	Hungry Forest
000-029-001	Overachiever Central
000-029-002	Morning Rush Hour
000-029-003	Docking Massacre
000-029-004	Subterranean Stalker
000-029-005	Lord of the Abyss
000-030		Galapa-Goth
000-030-000	DNA & DHA
000-030-001	Twilight Poachers
000-030-002	Surviving Herd
000-030-003	Alien Ecology
000-030-004	Heavenly Creatures
000-030-005	Conservation Society
000-031		Kombu Cape
000-031-000	Rinrin Shelterbelt
000-031-001	Iberian Plains
000-031-002	Weeping Dunes
000-031-003	Golden Gai
000-031-004	Leadfoot Drive
000-031-005	Trouble at the Mansion
000-032		Axis of Evil
000-032-000	Pecking Order
000-032-001	Technocracy
000-032-002	Merciless Onslaught
000-032-003	Celestial Seas
000-032-004	Close Encounters
000-032-005	The Spy Who Pet Me
000-033		Suburbs of the Dead
000-033-000	Home Sweet Mausoleum
000-033-001	Swamp of Sacrifice
000-033-002	Dungeon of Dreams
000-033-003	Revenant Road
000-033-004	Ghostlight Gardens
000-033-005	Silenced Meowing
000-034		Quarantine Isles
000-034-000	Virus Smugglers
000-034-001	Bionic Seaweed
000-034-002	Ancestral Ways
000-034-003	High Watchtower
000-034-004	Tunafish Trenches
000-034-005	The Infected King
000-035		Mouseyland
000-035-000	Greeter at the Gates
000-035-001	Rickety Coaster
000-035-002	Virtual Nightmare
000-035-003	50 Degrees Hotter
000-035-004	Irresistable Henhouse
000-035-005	The Haunted 1LDK
000-036		Walk of Fame
000-036-000	Paparazzi Paradise
000-036-001	Gossip Rags
000-036-002	Beverly Hills Scoop
000-036-003	Lovechild Lane
000-036-004	Saucy Scandals
000-036-005	Multiversal Studios
000-037		Cutpurse Coast
000-037-000	Swim Meet
000-037-001	Sea Breeze Salon
000-037-002	Deep Sea Dying
000-037-003	Procrastinator Parade
000-037-004	Grand Exhibition
000-037-005	No Return Flights
000-038		Above & Below
000-038-000	Electric Bath
000-038-001	Boiling Spring
000-038-002	Mineral Treatment
000-038-003	Soap Scum
000-038-004	The Sauna Crew
000-038-005	Steamed to Death
000-039		Windless Island
000-039-000	Narrow Docks
000-039-001	Romantic Highway
000-039-002	Drunken Backrub
000-039-003	Gulag of Love
000-039-004	Perfume Room
000-039-005	Houses of the Holy
000-040		IT Catacombs
000-040-000	Caliban’s Keeper
000-040-001	Dial up Dreams
000-040-002	Throne of Phone
000-040-003	OS Graveyard
000-040-004	The Holy Exploit  
000-040-005	Broadband Omens
000-041		Grotesque Gallery
000-041-000	Cubist Crimes
000-041-001	Surrealist Sins
000-041-002	Gouache Ghouls
000-041-003	Death by Dada
000-041-004	Baroque Beasts
000-041-005	Atrocious Deco
000-042		Area 22
000-042-000	Roswell Incident
000-042-001	Cat Abduction
000-042-002	Adamski Type
000-042-003	Chupacabra Love
000-042-004	Tunguska Event
000-042-005	Offworld Weary
000-043		Beyond the Savannah
000-043-000	Eat the Weak
000-043-001	Nukumanjaro
000-043-002	The Noble Tribe
000-043-003	Dry Season
000-043-004	Electrosafari
000-043-005	Heaven’s Oasis
000-044		Blizzard Boulevard
000-044-000	Shiver Junction
000-044-001	Leaky Tunnel
000-044-002	Frostbite Park
000-044-003	Toasty Turnpike
000-044-004	Sleepy Signals
000-044-005	Scorched Tollbooth
000-045		Singularityville
000-045-000	Ubiquitous Sales
000-045-001	Virtual Harvest
000-045-002	Wearable Homes
000-045-003	8K Fertiliser
000-045-004	Blockchain Twilight
000-045-005	Haunted Genome
000-046		Ends of the Earth
000-046-000	Ultimate Shrine
000-046-001	Valley of the End
000-046-002	Final Tower
000-046-003	Last Labyrinth
000-046-004	Cave Conclusion
000-046-005	Apocalypse Temple
000-047		The Legend Ends
000-047-000	A Day of Reckoning
000-047-001	Thirst for Vengeance
000-047-002	Glory of Glories
000-047-003	A Moment of Serenity
000-047-004	False Resurrection
000-047-005	Goblet of the Oath
000-047-006	Twilight Zephyr
000-047-007	Unkept Promises
000-048		Laboratory of Relics
000-048-000	Eldritch Forces

001			Regular event stages
001-000		Monday Stage
001-000-000	Rich Cat (Easy)
001-000-001	Rich Cat (Normal)
001-000-002	Rich Cat (Hard)
001-001		Tuesday Stage
001-001-000	Speed Cat (Easy)
001-001-001	Speed Cat (Normal)
001-001-002	Speed Cat (Hard)
001-002		Wednesday Stage
001-002-000	Cat Jobs (Easy)
001-002-001	Cat Jobs (Normal)
001-002-002	Cat Jobs (Hard)
001-003		Thursday Stage
001-003-000	Sniper Cat (Easy)
001-003-001	Sniper Cat (Normal)
001-003-002	Sniper Cat (Hard)
001-004		Friday Stage
001-004-000	Helpful Cat (Easy)
001-004-001	Helpful Cat (Normal)
001-004-002	Helpful Cat (Hard)
001-005		Weekend Stage (Old)
001-005-000	Sweet XP (Easy)
001-005-001	Sweet XP (Medium)
001-005-002	Sweet XP (Hard)
001-006		Cat Ticket Chance!
001-006-000	Love, Metal Hippoe (Hard)
001-007		Seige of Hippoe!
001-007-000	Super Metal Hippoe (Expert)
001-008		Autumn = Sports Day
001-008-000	Athletic Meet
001-008-001	Anti Halloween
001-008-002	Winning and Losing
001-009		Loving Labour
001-009-000	Weeklong Meetings
001-009-001	Co-workers don't work
001-009-002	Stress Relief Stress
001-009-003	Jobs in Jobs Security
001-009-004	Pay without Leave
001-009-005	Value of Last Minute
001-010		Jingle Cat Bell
001-010-000	That Night
001-010-001	That Song
001-010-002	Warm Stew
001-010-003	Cat & Snow
001-010-004	Part Time Santa
001-010-005	Santa or Satan!?
001-010-006	Santa is on Salary
001-010-007	Happy Merry X-mas
001-011		Happy New Year?
001-011-000	No Happy Holidays
001-011-001	Holiday Diet Fail
001-011-002	No More Resolutions
001-011-003	Just One More Drink
001-011-004	After After Party
001-011-005	Forgot the Countdown
001-011-006	Blackout
001-011-007	Hangover
001-012		Ritual Happiness
001-012-000	Angelic Devil
001-012-001	Dracula Donates Blood
001-012-002	My Pet Werewolf
001-012-003	Sunbathing Mummies
001-012-004	Soul Leasing
001-012-005	Lucifer Likes to Smile
001-012-006	Zombies being Healthy
001-012-007	Humans are Scarier
001-013		Bears be Bare
001-013-000	Bear Grills
001-013-001	Bearly Dressed
001-013-002	With a Ton of Padding
001-013-003	Bees with Ears
001-013-004	Arming Bears
001-013-005	Going Bipolar
001-013-006	Fighting Bearhanded
001-013-007	Can't Bear Anymore
001-014		Crimson Catastrophe
001-014-000	Attack on R-Cyclone (Expert)
001-015		Heaven of Darkness
001-015-000	Attack on B-Cyclone (Expert)
001-016		Peerless
001-016-000	Attack on W-Cyclone (Expert)
001-017		The Crazed Cat
001-017-000	Dark Souls (Insane)
001-018		The Crazed Tank
001-018-000	Absolute Defense (Insane)
001-019		The Crazed Axe
001-019-000	Berserk (Insane)
001-020		The Crazed Gross
001-020-000	Festival Gross (Insane)
001-021		The Crazed Cow
001-021-000	Head Shaker (Insane)
001-022		The Crazed Bird
001-022-000	Flappy Cat (Insane)
001-023		The Crazed Fish
001-023-000	Fish Hell (Insane)
001-024		The Crazed Lizard
001-024-000	Mammals? (Insane)
001-025		The Crazed Titan
001-025-000	Crazy Cats (Insane)
001-026		Teacher! It’s Spring!
001-026-000	Cat School Musical
001-026-001	I can feel it
001-026-002	The Catbook
001-026-003	P.S Cat Loves You
001-026-004	100 Cat Dates
001-026-005	Lament
001-026-006	I L U
001-026-007	Let’s Start Over
001-027		Weekend Stage
001-027-000	Sweet XP (Easy)
001-027-001	Sweet XP (Medium)
001-027-002	Sweet XP (Hard)
001-027-003	Sweet XP (Veteran)
001-027-004	Sweet XP (Expert)
001-027-005	Sweet XP (Insane)
001-028		XP Stage
001-028-000	Sweet XP (Easy)
001-028-001	Sweet XP (Medium)
001-028-002	Sweet XP (Hard)
001-028-003	Sweet XP (Veteran)
001-028-004	Sweet XP (Expert)
001-028-005	Sweet XP (Insane)
001-029		Love is Sickness
001-029-000	Liking Love
001-029-001	No More Duckface!
001-029-002	Read but No Reply
001-029-003	Online Dating!
001-029-004	Blocked on FB!
001-029-005	Work or Me!
001-029-006	Let’s Just Be Friends
001-029-007	Never Give Up!
001-030		The Forbidden Bride
001-030-000	Wedding Tolls
001-030-001	Sending a Friend
001-030-002	BGM is “Macarena”
001-030-003	Bouquet Finds Water
001-030-004	Family Drama Woes
001-030-005	Mistook Bride’s Name
001-030-006	Ex says I object
001-030-007	...No, I Do Not
001-031		Never Summer!
001-031-000	Glutton Next Door
001-031-001	Summer Already?
001-031-002	Something About Cats
001-031-003	Summertime Smoothie
001-031-004	Starving in Summer
001-031-005	Boy Meats Girl
001-031-006	Sandbags on the Cape
001-031-007	Right here, right meow
001-032		Ghostly Houseguests
001-032-000	Dad’s back to haunt us
001-032-001	But we’re on vacation
001-032-002	Can’t pass thru walls?
001-032-003	Just hit the skies!
001-032-004	Wasting inheritance
001-032-005	Hiring fake mourners
001-032-006	Grave is just plastic…
001-032-007	I’m not here anymore.
001-033		Monthly Event All-Stars Special Anniversary!
001-033-000	Special Thanks! (Insane)		
001-034		Monthly Event All-Stars Ultra Anniversary!
001-034-000	Ultra Stress! (Insane)
001-035		Monthly Event All-Stars Miracle Anniversary!
001-035-000	Miracle Tactics! (Insane)
001-036		Old Guys About Town
001-036-000	Dawn Joggers
001-036-001	Day Job = Boxers
001-036-002	Escaping the Home
001-036-003	300 Years Probation
001-036-004	Bearhanded Brawler
001-036-005	Trophy Wives
001-036-006	Living the Dream
001-036-007	Wife Still the Boss
001-037		Korean Special Stage
001-037-000	Extremity of Kicking Technique
001-038		Autumn = Sports Day!
001-038-000	Gotta Warm Up First
001-038-001	Awkward Entrance
001-038-002	Dad, No Videos!
001-038-003	The Sack Race
001-038-004	Faster Barefoot
001-038-005	Egg-Glue-Spoon
001-038-006	Chicken Run
001-038-007	Everyone Wins
001-039		Wrath of Heaven
001-039-000	Oncoming Maelstorm (Expert)
001-040		Happy Birthday No. 1
001-040-000	Happy Birthday Part 1 Stage
001-041		Happy Birthday No. 2
001-041-000	Happy Birthday Part 2 Stage
001-042		Happy Birthday No. 3
001-042-000	Happy Birthday Part 3 Stage (Source: wikia)
001-043		Sweet Irony
001-043-000	Attack on Titanium (Insane)
001-044		Happy 2015!
001-044-000	New Year’s Dawn
001-045		Actress Awakens!
001-045-000	Taking the Stage (Veteran)
001-045-001	Taking The Stage (Insane)
001-046		Kung-Fu Awakens!
001-046-000	Path of Kung-Fu (Expert)
001-046-001	Path of Kung-Fu (Insane)
001-047		Mr. Awakens!
001-047-000	Mr.-ious Evolution (Expert)
001-047-001	Mr.-ious Evolution (Insane)
001-048		Bondage Awakens!
001-048-000	Bound to Evolve (Expert)
001-048-001	Bound to Evolve (Insane)
001-049		The Dom Awakens!
001-049-000	Whipped into Shape (Expert)
001-049-001	Whipped into Shape (Insane)
001-050		Box Cats Awakens
001-050-000	Boxing Clever (Expert)
001-050-001	Boxing Clever (Insane)
001-051		Panties Awakens!
001-051-000	No Frills Evolution (Expert)
001-051-001	No Frills Evolution (Insane)
001-052		Tricycle Awakens!
001-052-000	Hell on 3 Wheels (Expert)
001-052-001	Hell on 3 Wheels (Insane)
001-053		Ninja Awakens!
001-053-000	Way of the Ninja (Veteran)
001-053-001	Way of the Ninja (Insane)
001-054		Zombie Awakens!
001-054-000	Shambling Along (Expert)
001-054-001	Shambling Along (Insane)
001-055		Samurai Awakens!
001-055-000	Way of the Samurai (Veteran)
001-055-001	Way of the Samurai (Insane)
001-056		Sumo Awakens!
001-056-000	Oh Yokozuna! (Expert)
001-056-001	Oh Yokozuna! (Insane)
001-057		Boogie Awakens!
001-057-000	Boogie Up (Expert)
001-057-001	Boogie Up (Insane)
001-058		Skirt Awakens!
001-058-000	Skirting Danger (Veteran)
001-058-001	Skirting Danger (Insane)
001-059		XP Megablitz!
001-059-000	Refined Palate (Insane)
001-060		Sweetest Sorrow
001-060-000	Mallow March
001-060-001	Marzi Pain
001-060-002	Cavity Creeping
001-061		Dark Descent
001-061-000	Eastern Cave
001-062		Dark Descent II
001-062-000	Western Walk
001-063		Dark Descent III
001-063-000	Southern Fort
001-064		Dark Descent ∞
001-064-000	Northern Crater
001-065		The Battle Cats POP!
001-065-000	Poppin’ in 3D!
001-065-001	Fight your Friends!
001-065-002	Player VS Player
001-065-003	Pay Only Once!
001-065-004	No I-A-P!
001-065-005	Get Those Ubers!
001-065-006	Conquer the Galaxy
001-065-007	At Nintendo eShop!
001-066		Dimension of Despair
001-066-000	Black Hole Rising (Insane)
001-068		20 Million Downloads Special Gift!
001-068-000	Joy of 20 Million!
001-069		Deadly Carnival
001-069-000	Tornado Carnival (Deadly)
001-069-001	Awakened Carnival (Deadly)
001-070		Monthly Event All-Stars Wonderful Celebration!
001-070-000	Wonderful Conquest (Insane)
001-071		Minced Meet-Up
001-071-000	Faster Than Fast Food
001-072		All Hallows Road
001-072-000	Sweet Samhain
001-072-001	Lantern O’Jack
001-072-002	Cosplay Carnival
001-072-003	Trick or Treatment
001-072-004	Hello Hello Halloween
001-072-005	Harvest Festival
001-073		Mon. Blitz Stage
001-073-000	Rich Cat (Veteran)
001-074		Tues. Blitz Stage
001-074-000	Speed Cat (Veteran)
001-075		Weds. Blitz Stage
001-075-000	Cat Jobs (Veteran)
001-076		Thurs. Blitz Stage
001-076-000	Sniper Cat (Veteran)
001-077		Fri. Blitz Stage
001-077-000	Cat CPU (Veteran)
001-078		Facing Danger
001-078-000	Steel Visage (Deadly)
001-079		Event All-Stars Excellent Celebration!
001-079-000	Elite Corps (Insane) 
001-080		BCJP Third Anniversary
001-080-000	3rd Anniversary Birthday Presents (Source: wikia)
001-081		Jolly St. Nick
001-081-000	Coming to Town!
001-081-001	Reindeer Games
001-081-002	Whipped Cream
001-081-003	Coup d’Workshop
001-081-004	War on Xmas
001-082		Auld Lang Syne!
001-082-000	Year's First Dawn!
001-083		Adult Cat Awakes!
001-083-000	Growing Up (Expert)
001-083-001	Growing Up (Insane)
001-084		Evil Cat Awakes!
001-084-000	Something Wicked (Expert)
001-084-001	Something Wicked (Insane)
001-085		Doll Cats Awake!
001-085-000	Dolled Up (Expert)
001-085-001	Dolled Up (Insane)
001-086		Maiden Awakes!
001-086-000	Order Maiden (Expert)
001-086-001	Order Maiden (Insane)
001-087		Koi Awakes!
001-087-000	Carp A Diem (Expert)
001-087-001	Carp A Diem (Insane)
001-088		Bride Awakes!
001-088-000	Bridal Blues (Expert)
001-088-001	Bridal Blues (Insane)
001-089		Vacation Awakes!
001-089-000	End of Holiday (Expert)
001-089-001	End of Holiday (Insane)
001-090		Vengeance Awakes!
001-090-000	No Need to Curse! (Expert)
001-090-001	No Need to Curse! (Insane)
001-091		Kung-Fu X Awakens!
001-091-000	Old Master (Expert)
001-091-001	Old Master (Insane)
001-092		Sports Day Awakens!
001-092-000	Sweat and Tears (Expert)
001-092-001	Sweat and Tears (Insane)
001-093		Salaryman Awakes!
001-093-000	Nine to Five Fever (Expert)
001-093-001	Nine to Five Fever (Insane)
001-094		Reindeer Fish Awakens!
001-094-000	Reindeer Road (Expert)
001-094-001	Reindeer Road (Insane)
001-095		Clionel Ascendant
001-095-000	No Plan A (Deadly)
001-096		Red Sky at Morning
001-096-000	Oncoming Storm (Insane)
001-097		Growing Green
001-097-000	Green Envy (Hard)
001-097-001	Green Envy (Expert)
001-097-002	Green Envy (Insane)
001-098		Growing Purple
001-098-000	Violet Flash (Hard)
001-098-001	Violet Flash (Expert)
001-098-002	Violet Flash (Insane)
001-099		Growing Red
001-099-000	Red Passions (Hard)
001-099-001	Red Passions (Expert)
001-099-002	Red Passions (Insane)
001-100		Growing Blue
001-100-000	Blue Illusion (Hard)
001-100-001	Blue Illusion (Expert)
001-100-002	Blue Illusion (Insane)
001-101		Growing Yellow
001-101-000	Rays of Gold (Hard)
001-101-001	Rays of Gold (Expert)
001-101-002	Rays of Gold (Insane)
001-102		Cat Maniac
001-102-000	Deathhawk (Deadly)
001-103		Tank Maniac
001-103-000	Vulcanizer (Deadly)
001-104		Axe Maniac
001-104-000	Unjust War (Deadly)
001-105		Gross Maniac
001-105-000	Muscle Party (Deadly)
001-106		Cow Maniac
001-106-000	Lots O' Lion (Deadly)
001-107		Bird Maniac
001-107-000	Forest Beasts (Deadly)
001-108		Fish Maniac
001-108-000	Ogre Island (Deadly)
001-109		Lizard Maniac
001-109-000	Draconian (Deadly)
001-110		Titan Maniac
001-110-000	Resident Feline (Deadly)
001-111		Bad To Worse
001-111-000	Tragedy in Red (Insane)
001-112		Day of Judgement
001-112-000	Explosion in the Sky (Insane)
001-112-001	Acts of Cat-God (Insane)
001-113		BitSummit 4th Sponsorship Memorial
001-113-000	Held in Miyako Messe!
001-114		Techneurosis
001-114-000	Nuts ‘n’ Bolts (Expert)
001-114-001	Space is the Place (Insane)
001-115		Summer Diary
001-115-000	Short Shorts
001-115-001	Squirtgun Warfare
001-115-002	Candy Apple Dentistry
001-115-003	Mosquito Hell
001-115-004	Sparkler Heaven
001-115-005	Backyard BBQ
001-116		Mystery Package
001-116-000	Sender Unknown
001-117		River Styx
001-117-000	Realm of Carnage (Deadly)
001-118	   	Catfruit Buffet
001-118-000	Green Envy (Hard)
001-118-001	Green Envy (Expert)
001-118-002	Green Envy (Insane)
001-119		Queen’s Coronation
001-119-000	Honey Trap (Deadly)  
001-120		Deadly Carnival II	  
001-120-000	Tornado Carnival II (Deadly)
001-120-001	Awakened Carnival II (Deadly)
001-121		A Cultured Festival	  
001-121-000	Meatless Wieners
001-121-001	Deep Fried Air
001-121-002	Burnt to Perfection
001-121-003	Not Quite Organic
001-121-004	Outta Change…
001-121-005	Always In the Red  
001-122		The Rolling Dead	  
001-122-000	Unholy Tempest (Insane)  
001-123		Birthday Present!
001-123-000	Four Years of Fun!!
001-124		XP Colosseum
001-124-000	Tempered in Flame (Deadly)
001-125		Cats in the Snow
001-125-000	Langue de Chat
001-125-001	White Dove
001-125-002	Snow at Dawn
001-125-003	Buddha of Romance
001-125-004	Icy Desire
001-126		You Nears!
001-126-000	Year's First Dawn
001-127		Day of the Cat
001-127-000	Savage Instinct
001-127-001	Bloodstained Claws
001-127-002	The 222 Incident
001-128		Dead on Debut
001-128-000	Parade of the Dead (Deadly)
001-129		Spring Sprang Sprung
001-129-000	Season of Rebirth
001-129-001	Bunny Bros.
001-129-002	Island Egg Hunt
001-129-003	Native Cultures
001-129-004	Most Ancient
001-129-005	Rongorongo
001-130		Li’l Cat Awakens!
001-130-000	Tiny Meows (Deadly)
001-131		Li’l Tank Awakens!
001-131-000	Tiny Will (Deadly)
001-132		Li’l Axe Awakens!
001-132-000	Tiny Chopper (Deadly)
001-133		Li’l Gross Awakens!
001-133-000	Tiny Creeper (Deadly)
001-134		Li’l Cow Awakens!
001-134-000	Tiny Horns (Deadly)
001-135		Li’l Bird Awakens!
001-135-000	Tiny Wings (Deadly)
001-136		Li’l Fish Awakens!
001-136-000	Tiny Fins (Deadly)
001-137		Li’l Lizard Awakens!
001-137-000	Tiny Tail (Deadly)
001-138		Li’l Titan Awakens!
001-138-000	Tiny Fists (Deadly)
001-139		For the Fans
000-139-000	We're Number One
001-140		The Midas Touch
001-140-000	Gold in a Coal Mine
001-140-001	I My Me Miner
001-140-002	Golden Age's Dawn
001-140-003	Never Not Shovelin'
001-140-004	Dreams Come False
001-142		Sliming to Victory
001-142-000	Rainy Day Races
001-142-001	Tinpot Trophy
001-142-002	Stormcloud Stakes
001-142-003	Paradise Derby
001-142-004	Slimy Stallions
001-143		Cat Kart Awakens!
001-143-000	Kartopia (Expert)
001-143-001	Kartopia (Insane)
001-145		30M Celebration Gifts Galore!
001-145-000	Joy of 30 Million!
001-146		Event All-Stars Grand Jubilee!
001-146-000	Megaton Blast (Insane)
001-147		Watch & Earn
001-147-000	None More Squishy
001-148		Flower Cat Awakens!
001-148-000	Bloomin' Brightly (Easy)
001-149		Summer Lesson
001-149-000	Kids At School
001-149-001	I Am A Cat
001-149-002	c2 ＝ a2 ＋ b2
001-149-003	War of the Roses
001-149-004	N2+3H2→2NH3
001-150		Cavern of Comets
001-150-000	Impact Site (Normal)
001-150-001	Impact Site (Veteran)
001-150-002	Impact Site (Insane)
001-151		Island of Ash
001-151-000	Brushfire (Normal)
001-151-001	Brushfire (Veteran)
001-151-002	Brushfire (Insane)
001-152		Strait of Wings
001-152-000	Ancient Ruins (Normal)
001-152-001	Ancient Ruins (Veteran)
001-152-002	Ancient Ruins (Insane)
001-153		Catburger Awakens!
001-153-000	Value Ordeal (Normal)
001-154		Silver Week
001-154-000	No Shame in 2nd
001-154-001	Silver Anniversary
001-154-002	A Distant Road
001-155		Merciless XP!
001-155-000	Taste of Success (Merciless)
001-156		Birthday Present!
001-156-000	Five Years of Fun!!
001-157		The 2nd Dimension
001-157-000	The Wormhole Opens (Deadly)
001-158		King Wahwah’s Revenge
001-158-000	N-1 Grand Prix (Deadly)
001-159		You Nears!
001-159-000	Year's First Dawn
001-160		Go Go Graduates
001-160-000	Pencil Launcher
001-160-001	Demon Drill Sgt
001-160-002	One-Use Cannon
001-160-003	Sanitary Corps
