000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
022	Keiner kann die Musik stoppen!<br>Billig in der Herstellung. Bonus-Groove inklusive.<br>Es ist Boogie-Time! Los! Los! Katze!	Die Musik lässt sie völlig durchdrehen!<br>Billig und schnell in der Herstellung. Schwingt das Tanzbein!<br>Legt eine heiße Sohle aufs Parkett! Saaaambaaaa!!11eins	Will die Señoritas dieser Welt erfreuen.<br>Er war noch nie in Mexiko, der ist einfach nur ein Fan der<br>Mariachi. Kann Feinde in die Luft werfen!
023	Hat in einem Geschäft einen bequemen Rock gefunden.<br>Sie trägt ihn wirklich gern ... eigentlich die ganze Zeit.<br>Fortgeschrittene Variante der Hübsche-Beine-Katze.	Auf der Suche nach etwas Abwechslung ist sie in einem<br>1-Euro-Laden über einen Strumpfhalter gestolpert.<br>Fortgeschrittene Variante der Hübsche-Beine-Katze.	Trägt traditionelle Unterwäsche, um ihre wohlgeformten<br>Beine besser in Szene zu setzen. Jetzt ist sie Trendsetter.<br>Flinke Angriffe, die Barrieren durchbrechen können.
024	Ist von den Hallen Walhallas herabgestiegen, um den<br>Kampfkatzen Erlösung zu bringen!<br>Führt den himmlischen Speer „Miaunir“. Flächenangriff.	Hat ihre endgültige Form erreicht.<br>Hat mit ständigen Annährungsversuchen Gottes zu kämpfen.<br>Führt den himmlischen Speer „Miaunir“. Flächenangriff.	Der Fluch ist gebrochen und die Retterin der Katzheit ist<br>zurück! Der neu geschmiedete Miaunir durchstößt<br>Feinde und friert sie ein. Flächenangriff.
025	Man munkelt, dass diese uralte Katze die erste Apokalypse<br>herbeigeführt haben soll.<br>Hat überwältigende Angriffskraft. Flächenangriff.	Wie sich herausstellte, hat diese Katze die erste Apokalypse<br>herbeigeführt. Man versteht, warum ...<br>Hat überwältigende Angriffskraft. Flächenangriff.	Man sagt, dass sie die Macht besitzt, die Welt zu zerstören.<br>Ist den Anzug losgeworden, der ihre Macht unterdrückte.<br>Ihre Kraft und ihr Tempo sind unvergleichlich. Flächenangriff.
026	Joined the war especially in order to seek "sweets".<br>Her ultimate attack is unleashing her ferocious dash!<br>Does joining the war stop her pursuit of hot guys?	Joined the war especially in order to seek "sweets".<br>She turned from a tomboy into a sexy princess.<br>Her ultimate attack is unleashing her ferocious dash!	
027	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and bought an item in a wig shop.	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and spent an entire fortune on plastic surgery.	
028	An experimental weapon: one speedy Cat,<br>protected by state-of-the-art capsule plastic.<br>Packs a punch, definitely can't take one.	Capsule Cat felt lonely and posted an ad for<br>roommates. Overestimated the space in his flat.<br>It's always cuddle time, whether they like it or not!	
029	Wears the mask which he borrowed without permission<br>from the adventurer Gamatoto who found the mask.<br>His only capability is wearing the mask though.	Finally became a wrestler.<br>Due to his class change, his talents<br>have increased considerably. (Area)	
030	Eine Katze, die wahren Frieden gefunden hat und ihren Körper<br>über die Grenzen des physisch Möglichen getrieben hat.<br>Kann fliegende Feinde verlangsamen. Flächenangriff.	Eine Bodhisattva-Katze, die so mancher Kampfkatze<br>Mitgefühl zuteil werden ließ. Kann<br>fliegende Feinde verlangsamen. Flächenangriff.	Erleuchtetes Mitgefühl durchströmt diese Katze. Aber es<br>heißt, selbst der Buddha hat irgendwann genug. Kann<br>fliegende Feinde schwächen/verlangsamen. Flächenangr.
031	Gilt als der Bandenführer innerhalb der Katzenschule.<br>Kann fliegende Feinde einfrieren. Flächenangriff.<br>	Dreht völlig ab, weil ihr Vater die Eiscreme gegessen hat,<br>die im Kühlschrank war.<br>Kann fliegende Feinde einfrieren. Flächenangriff.	Eine ungezogene Katze, die als die „Wütende Faust“ bekannt<br>ist. Liebt Pachinko und investiert alle Gewinne in Eiscreme.<br>Kann fliegende/Relikt-Feinde einfrieren. Flächenangriff.
032	Ehemaliger Schüler einer bestimmten Tanzschule.<br>Kann in Massen produziert werden. Flash Mob!<br>Kann rote Feinde verlangsamen.	Jemand, dem man auf der Straße nicht begegnen will.<br>Tanzt gekonnt, damit das Spiel jugendfrei bleibt.<br>Kann rote Feinde verlangsamen.	Wurde der Schule verwiesen, weil sie Shows improvisiert hat,<br>die für das Familienprogramm zu aufreizend waren.<br>Kann rote Feinde verlangsamen.
033	Sehr effektiv im Winter ... wobei das eigentlich egal ist.<br>Schaden durch fliegende Feinde deutlich verringert.<br>Kann fliegende Feinde schwächen.	Lauerte im Fernseher, um Leute zum Spaß zu erschrecken.<br>Konnte nie entkommen. Spukt jetzt in Fernsehern herum.<br>Resistent gegen fliegende Feinde und kann sie schwächen.	Superbiegsame Katze, die sich in engen, dunklen Plätzen<br>am wohlsten fühlt. Wellenschild.<br>Robust gegen fliegende Feinde. Kann Feinde schwächen.
034	Unsicher, ob das wirklich eine Katze ist ...<br>Vielleicht, wenn du sie weiterentwickelst ...<br>	Ich bin nicht sicher, ob das noch eine Katze ist ...<br>Ehrlich, ich gebe auf.<br>Stößt Feinde zurück (Flächenangriff).	Überdrüssig Kinder zu erschrecken, hat sich Luga selbst<br>zum maskierten Helden ernannt. Friert nicht-eiserne Feinde<br>ein und stößt sie zurück (Flächenangriff).
035	Völlig furchtlos ... bis sie ihren Keller verlässt.<br>Netzgröße, die als Troll bekannt ist.<br>Erfahrener Angreifer auf großer Distanz.	Berühmt dafür, große rote Knöpfe herzustellen.<br>Hat einen Abschluss von einer Elite-Technik-Universität.<br>Erfahrener Angreifer auf großer Distanz.	Nachdem er den virtuellen Raum gemeistert hatte, hat er<br>sein letztes Hemd auf dem Cryptowährungsmarkt verzockt.<br>Verlangsamt nicht-eiserne Feinde. Distanz-Flächenangriff.
036	Sie ist mit dem Schmerz über die Niederlage in jedem Rennen<br>gewachsen und zog ihre Stärke aus den Tränen des Versagens.<br>Fügt fliegenden Feinden heftigen Schaden zu.	Hat mit viel Mühe ihre endlos erscheinende Strähne an<br>Niederlagen durchbrochen. Ist jetzt mit Erfolg gesegnet!<br>Fügt fliegenden Feinden heftigen Schaden zu.	Man kann sie kaum „Katze“ nennen. Hat eine Gentherapie<br>über sich ergehen lassen, um Weltmeister zu werden.<br>Heftiger Schaden gegen fliegende Feinde.
037	Wurde vom neusten (?) Spielzeugtrend erfasst.<br>Sieht aber echt spaßig aus.<br>Billig in der Herstellung. Überlebenswille möglich.	Hat im Ausland als Volontär gearbeitet und hat fremde<br>Kulturen kennengelernt. Hat ein Andenken behalten.<br>Billig in der Herstellung. Überlebenswille möglich.	Horrorfilmfanatiker oder echter G-G-Geist?<br>Das magische Siegel ist nur die Stromrechnung ...<br>Billig in der Herstellung. Überlebenswille garantiert.
038	Hatte keine Lust mehr, Wagenräder zu wechseln, also<br>wurde sie selbst zu einem. Dreht sich so schnell, dass sie<br>brennt. Heftiger Schaden gegen Aliens. Flächenangriff.	Wollte sich nicht mehr im Kreis drehen, also wurde sie<br>stattdessen zu einer Galaxie.<br>Heftiger Schaden gegen Aliens. Flächenangriff.	Eine entwickelte Katze, die im Büro stets<br>ruhig und gefasst auftritt.<br>Heftiger Schaden gegen Aliens. Flächenangriff.
039	Hat einen Riesenapfel gefunden, der im Fluss trieb.<br>Hat sich entschieden, ihn als Kostüm zu tragen.<br>Kann rote Feinde einfrieren.	Hat am Wegesrand einen riesigen Kopf gefunden.<br>Hat sich entschieden, ihn als Kostüm zu tragen.<br>Kann rote Feinde einfrieren.	Wollte sich einen Rollkragenpulli kaufen und fand stattdessen<br>einen bunten Apfel bei Silicon Valley.<br>Friert rote Feinde garantiert ein. Flächenangriff.
040	Ist gern sauber. Ständig. Immer. Die ganze Zeit.<br>Fügt roten Feinden heftigen Schaden zu.<br>	Ist gern sauber. Ständig. Immer. Die ganze Zeit.<br>Liebt ein ruhiges Bad. Bitte nicht stören.<br>Fügt roten Feinden heftigen Schaden zu.	Badeschaum und Blattgold sorgen für eine dekadente<br>Badezeit. Superstarke Spritzer fügen schmutzigen roten<br>Feinden heftigen Schaden zu.
041	Kennt keine Grenzen bei der Schönheitspflege.<br>Arbeitet gut mit der Hübsche-Beine-Katze zusammen.<br>Außergewöhnlicher Angriff. Distanz-Flächenangriff.	Eine sehr stilvolle Katze, die sich den Namen „Jeanne“<br>verdient hat. Ist womöglich französisch, wer weiß.<br>Außergewöhnlicher Angriff. Distanz-Flächenangriff.	Der ultimative bionische Kampfengel.<br>Perfekt sowohl auf ästhetische als auch technische Weise.<br>Ein Experte. Distanz-Flächenangriff.
042	Eine Katze, die von einem Mädchen aus dem Eisigen Land<br>bezaubert wurde. Sie ist gefroren.<br>Kann rote Feinde einfrieren. Flächenangriff.	Nicht zu vergessen, dass die Katze für immer ein Eiszapfen<br>ist. Ich glaube nicht, dass sie sich darüber groß beschwert.<br>Kann rote Feinde einfrieren. Flächenangriff.	Die Herrschaft der Eiskönigin wird immer sicherer, ebenso<br>wie die Kristallhülle ihres Katzenbegleiters.<br>Friert rote Feinde ein. Flächenangriff.
043	1. Auflage eines waffenfähigen Maschinensystems (MS),<br>das von der Regierung entwickelt wurde.<br>Resistent gegen rote und Alien-Feinde. Flächenangriff.	Ein kampferprobtes, überarbeitetes MS, das aus der<br>Forschungsanlage ausbrechen konnte. Resistent<br>gegen rote und Alien-Feinde. Flächenangriff.	Die nächste Generation der Kampftechnologie. MS:RX-Ω<br>ist der Katzenarmee in die Hände gefallen!<br>Resistent gegen rote/Alien-Feinde. Immun gegen Wellen.
044	Eine verrückte Katze, die sich selbst einem Dämonen<br>aus der Unterwelt geopfert hat.<br>Greift mit extremer Stärke an.	Eine verrückte Katze, die es geschafft hat, den Dämonen<br>aus der Unterwelt zu kontrollieren.<br>Greift mit extremer Stärke an.	Ihre Reisen durch den Abgrund haben ihr den Verstand<br>geraubt und nun ist sie höllisch ambitioniert.<br>Heftiger Schaden gegen einen Feind.
045	A sweet rookie entertainer, allergic to<br>green tea, better at keytar than shamisen.<br>	Years of life in the floating world made<br>her a cool cynic. Her distant attitude<br>befits her long-distance attacking power.	
046	Nachfahre einer uralten Katzenrasse, die während der<br>Jurazeit gelebt hat.<br>Kann Haudrauf ausführen.	Nachfahre einer uralten Katzenrasse, die während der<br>Jurazeit auf die Kätzchen aufgepasst hat.<br>Kann Haudrauf ausführen.	Hat einen niedlichen Dino in einem magischen Pilzland<br>entdeckt. Bietet Extraplätze für die Kinder!<br>Kann Haudrauf ausführen.
047	Eine Kampfkatze, die zu viele<br>Fantasyromane gelesen hat.<br>Stark gegen rote Feinde.	Diese Katze hat jetzt eine Internetverbindung und hat sich<br>eine Rüstung und Waffe online handfertigen lassen.<br>Stark gegen rote Feinde.	Offenbar war die „handgefertigte“ Rüstung eine Fälschung.<br>Aber auch die billige Ausrüstung reicht ...<br>Stark gegen rote Feinde. Flächenschaden.
048	Wurde von einem bestimmten Piraten-Comic beeinflusst und<br>träumt davon, Piratenkönig zu sein. Kann nicht schwimmen.<br>Kann rote Feinde zurückstoßen.	Glaubt immer noch, dass Piraten cool sind. Immer noch Nicht-<br>schwimmer. Kommt nicht mehr mit Ninja-Katze aus.<br>Kann rote Feinde zurückstoßen.	Hat kürzlich erfahren, dass es auch Filme über Piraten gibt.<br>Das gab ihr die Idee, ihr Schiff aufzumotzen.<br>Kann rote Feinde zurückstoßen.
049	Flink im Bewegen. Flinker im Stehlen.<br>Bonuszahlung für besiegte Feinde.<br>	Bewegt sich zu schnell. Stiehlt trotzdem noch.<br>Hat jetzt viele Schätze angehäuft.<br>Bonuszahlung für besiegte Feinde.	Ein legendärer Dieb, der zuletzt im Alten Japan gegen das<br>Joch des Shoguns gekämpft hat.<br>Entwendet Feinden zusätzliches Geld. Flächenangriff.
050	Eine barmherzige Katze, die ihren Anhängern<br>Frieden und Liebe bringt. Verlangt für Beichten Geld.<br>Kann fliegende Feinde verlangsamen.	Umhüllt Feinde mit gütiger Gelassenheit, damit sie<br>ins Jenseits einkehren können.<br>Kann fliegende Feinde verlangsamen.	Versucht, Seelen durch Erleuchtung zu retten.<br>Verprügelt aber hauptsächlich Tiere in der Gegend.<br>Kann fliegende Feinde verlangsamen. Flächenangriff.
051	Eine Katze, die die Idee des Wahrsagens liebt.<br>Hat zu viele Bücher über Astrologie gelesen.<br>Kann fliegende Feinde zurückstoßen.	Ältester Sohn eines bekannten Thunfischanglers.<br>Hat einen kleinen Helfer dabei.<br>Kann fliegende Feinde zurückstoßen.	Eine gute Anlaufstelle, wenn man vor die Hunde geht.<br>Was einen nicht umbringt, macht einen stärker, stimmt’s?<br>Kann fliegende Feinde zurückstoßen.
052	Kann mit dem Übernatürlichen kommunizieren ...<br>So steht es zumindest im Wiki.<br>Kann fliegende Feinde einfrieren.	Wie sich herausstellte, wurde die Katze tatsächlich vom<br>Übernatürlichen kontrolliert.<br>Kann fliegende Feinde einfrieren.	Ihr Tanz wird von dunklen Mächten angetrieben.<br>Kannst du ihrem teuflischem Groove widerstehen?<br>Kann fliegende Feinde länger einfrieren.
053	Wird freigeschaltet, indem man alle Legenden trifft.<br>Friert Feinde fest.<br>Rufe sie herbei, wenn du an Boden verlierst.	Nutzt Superkräfte, um die Zeit anzuhalten.<br>Stoppt Feinde in der Bewegung.<br>Rufe sie herbei, wenn du an Boden verlierst.	
054			
055	Eine magische Katze, die lieber ein magisches Mädchen<br>als eine Hexe wäre.<br>Kann rote Feinde lähmen.	Hat in Onlinekursen das Zaubern gelernt.<br>Ist auf Partys sehr beliebt, wird aber nicht dafür bezahlt.<br>Kann rote Feinde lähmen.	Nutzte ihre hellseherischen Fähigkeiten, um auf schnellstem<br>Wege TV-Star zu werden. Ihr Einfluss ist stark.<br>Kann rote Feinde lähmen.
056	Elitefernkämpfer-Katze, die nützliches Unterstützungsfeuer<br>bieten kann. Ist empfindlich wie eine Tomate.<br>Fügt fliegenden Feinden heftigen Schaden zu.	Lässt Liebespfeile auf ahnungslose Feinde herabregenen.<br>Wird nicht gern verletzt.<br>Fügt fliegenden Feinden heftigen Schaden zu.	Dieser Halbgott war einst eine strahlende Konstellation und<br>versteckt sich nun vor den Himmeln. Schießt mit mächtigen<br>Pfeilen auf fliegende Feinde. Verursacht heftigen Schaden.
057	Ihr verfluchtes Schwert reduziert die Angriffskraft,<br>aber macht Haudrauf möglich.<br>Auch bekannt als „Eisenschlächter“.	Das verfluchte Schwert hat die Kontrolle übernommen und die<br>Katze in einen verfluchten Ritter verwandelt.<br>Auch bekannt als „Dunkler Eisenritter“. Flächenangriff.	Das redliche Herz dieser Katze hat das verfluchte Schwert<br>bezwungen und es in eine heilige Axt verwandelt.<br>Haudrauf möglich. Flächenangriff.
058	Hat mit einem bestimmten Spiel gelernt, ein magischer<br>Schwertkämpfer zu sein. Äußerst effektive Kampfkatze.<br>Das Feuerschwert fügt roten Feinden heftigen Schaden zu.	Kann meisterhaft mit zwei Waffen kämpfen.<br>Kann zudem Zaubern. Welch gefährliche Kombination.<br>Die Feuerschwerter fügen roten Feinden heftigen Schaden zu.	Ist so im Einklang mit ihren Klingen, dass sie nun die Kräfte<br>der Natur selbst beherrschen kann.<br>Flammen fügen roten Feinden heftigen Schaden zu.
059	Eine Babykatze kann noch nichts allein erledigen. Zum Glück<br>ist der Papa da, um zu helfen.<br>Kann fliegende/Alien-Feinde zurückstoßen. Flächenangriff.	Hat ihre kleine Schwester mitgebracht.<br>Papa hat alle Hände voll zu tun.<br>Kann fliegende/Alien-Feinde zurückstoßen. Flächenangriff.	Selbst 7 Kätzchen können gemeinsam nicht viel erreichen ...<br>Zum Glück hält Papa noch immer alle Grobiane fern.<br>Stößt fliegende/Alien-Feinde zurück. Wellen-Flächenangriff.
060	Eine gute defensive Katze mit jeder Menge Gesundheit<br>und anständigen offensiven Talenten.<br>Kann eiserne Feinde zurückstoßen. Flächenangriff.	Ist in die Welt der Kunst abgetaucht und hat die<br>Bildhauerei in allen Zügen gemeistert.<br>Kann eiserne Feinde zurückstoßen. Flächenangriff.	Ist der längste Sieger in Folge in einer beliebten Quizshow,<br>obwohl die Fragen eigentlich recht einfach sind.<br>Kann eiserne Feinde zurückstoßen. Flächenangriff.
061	Eine Katze, die sich schnell drehend vorwärtsbewegt.<br>Das Frischfleisch kann etwas einstecken. Resistent<br>gegen rote Feinde. Kann Feinde schwächen. Flächenangriff.	Eine Katze, die sich schnell drehend vorwärtsbewegt.<br>Hat zudem Rock ’n’ Roll entdeckt. Resistent gegen<br>rote Feinde. Kann Feinde schwächen. Flächenangriff.	Stell dich nicht so an, nur weil du verlieren wirst!<br>Ei-nfach großartige Verteidigung. Resistent gegen<br>rote Feinde. Kann Feinde schwächen. Flächenangriff.
062	Plastic capsule toy machine.<br>A Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	Plastic capsule toy machine.<br>Longer Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	
063	Die Kraft dreier Katzen und einer Panzer-Katze.<br>Diese Katzen lieben den Sporttag und wollen immer<br>dem besten Team angehören. Flächenangriff.	Die Kraft dreier Katzen und einer Panzer-Katze.<br>Obwohl das Team effektiv arbeitet, ist die Panzer-Katze hier<br>wohl das Opfer. Flächenangriff.	Keiner wollte das Lösegeld bezahlen, also haben sie die<br>Panzer-Katze zum Siegesbanner umfunktioniert.<br>Moralisch fragwürdige Effizienz! Flächenangriff.
064			
065			
066			
067			
068			
069			
070	Wir dürfen jene nicht vergessen, die täglich hart arbeiten.<br>Diese Leute bezahlen das Gehalt der Arbeiterkatze. Ihre<br>letzte Rettung ist ein Dogeza. Stark gegen rote Feinde.	Eine Angestellten-Katze, die die Schikane ihres Bosses nicht<br>mehr ertragen konnte und sich böser Zauberei gegen rote<br>Feinde verschrieb. Ein Fluch auf sie alle! Flächenangriff.	Diese Welt ist zu brutal und unfair, um sie zu ertragen!<br>Primitive Wut hat sie erfasst. Warum online flamen,<br>wenn man im echten Leben flamen kann. Flächenangr.
071	Ein berühmter Krieger, der durch die legendäre Katzenrüstung<br>in einen vogelhaften General verwandelt wurde.<br>Heftiger Schaden gegen schwarze Feinde.	Hat den geheimen Raketenantrieb der Rüstung aktiviert.<br>Jetzt kann ihn niemand mehr aufhalten!<br>Heftiger Schaden gegen schwarze Feinde.	Blutrote Flügel tragen diesen Kriegsgott über die Front, um<br>alle Feinde gnadenlos zu zerfetzen!<br>Heftiger Schaden gegen schwarze Feinde.
072	Ein Krieger, der durch die legendäre Katzenrüstung in einen<br>tigerartigen General verwandelt wurde. Resistent gegen<br>schwarze Feinde. Willensstärke. Flächenangriff.	Die legendäre Katzenrüstung hat sich entwickelt und auf seinem<br>Kopf ist ein Kirschbaum gewachsen. Resistent gegen schwarze<br>Feinde. Nach erlittenem Schaden stärker. Flächenangriff.	Wenn die Kirschblüten blühen, erblüht auch Keijis Zorn.<br>Resistent gg. schwarze Feinde. Immun gegen Wellen.<br>Nach erlittenem Schaden stärker. Flächenangriff.
