0|S0|I0	Accélération
1143	Akio Yabe
1144	Karin Nekozuka
1145	Misaki Konno
1146	Sairi Nijitani
1147	Ren Katagiri
1148	Mentori
1149	Shinji & Cat
1150	Giraffe Unit-01
1151	Pokota
1152	Ovis
1153	Coco
1157	Méca-Bun
1158	Betakkuma
1160	Meowla Meowla
1162	Prince Yamato
1164	Kano ＆ Souma
1167	Ryu Cat
1168	Akuma Giraffe
1170	Miku Cat
1172	Idi:N
1173	Ranma Cat (M)
1174	Godzilla Cat
1177	Osamu Mikumo & Cat
1178	Yuma Kuga & Cat
10010	Chat malabar
10011	Chat danseur
10012	Hyper Mr.
10013	Chat bondage ultime
10014	Dark Lasor
10015	Chartillerie lourde
10016	Chat sucette
10018	Chat monocycle
10019	Chat ninja volant
10020	Chat squelette
10021	Chat pâtissier
10022	Chat bol de riz
10023	Chamigo
10024	Chat pagne
10061	Chanimateur
10064	Chats déchaînés
10071	Chat ritualiste
10075	Chat bûche de Noël
10079	Chastronaute de la Marine
10080	Chat prisonnier
10081	Frères gentlemen
10082	Chaladdin
10089	Chats nouilles à sauter
10092	Chat punk dément
10093	Chat gomme dément
10094	Chat de l’ombre dément
10095	Chat jambes d’acier dément
10096	Chat lion dément
10097	Chat volant dément
10098	Chat île dément
10099	Roi dragon dément
10100	Chat Jamilar dément
10101	Chatcheuse
10104	Méga Chat EX
10105	Bécot et koï
10110	Madame savane
10120	Healer Cat CC
10122	Merc & Cat CC
10123	Chatte réceptionniste
10127	Marionnettiste et Charly
10128	Chat bombe à retardement
10129	Chat cerf-volant
10133	Griffe de fer X
10155	Roi du cerceau
10180	Takuya＆ Lovely Yuki
10184	Cat Kart P
10192	Titi Cat CC
10202	Chat mochi
10210	P’tit Chat punk
10211	P’tit Chat gomme
10212	P’tit Chat de l’ombre
10214	Chappy meal
10246	P’tit Chat jambes d’acier
10247	P’tit Chat lion
10248	P’tit Chat volant
10261	Chat voyageur temporel
10268	Chat typhon
10274	Soba féline
10285	Chat TGV
10288	Chat golfeur
10300	Li'l Ultimate Madoka
10301	Li'l Devil Homura
10312	P’tit Chat île
10313	P’tit Chat roi dragon
10314	P’tit Chat Jamilar
10325	Charapace verte
10330	Chat œuf de Pâques
10353	Grand maître Chat masqué
10370	Saber Alter Cat
10380	Chat curry
10383	Chat en cristal macho
10384	Yulala spirituel
10386	Akio & Gunder CC
10403	Plug Suit Shinji Black
10406	Moon Kaworu
10443	Chats touristes
10453	Chat du futur
10474	Rampaging Yamato
10475	Strike Angel
10522	Chat Naga
10532	Ours-Chat cadavre
10540	Chaterback
10622	Chercheur félin
15017	Moneko Superstar
15031	Chat Tathagata
15032	Chat ultra délinquant
15033	Chatte cancan
15034	Chat poulpe
15035	Ultralan Pasalan
15036	Chat cyberpunk
15037	Chat à écailles
15038	Chat jiangshi
15039	Chat flocon
15040	iChat
15041	Chat au bain de luxe
15042	Cyborg féline
15043	Chat cristal de glace
15044	Chat mecha 3.0
15045	Chat Balrog supérieur
15047	Chatosaure
15048	Combattant Chaximum
15049	Pirate de l’effroi
15050	Chat Ishikawa Goemon
15051	Chat sanzo
15052	Chat médecin
15053	Chat nécrodanseur
15056	Enchanteresse féline
15057	Chagittaire
15058	Chat paladin
15059	Chat épéiste élémentaire
15060	Chats au berceau
15062	Chats œufs de poisson
15072	Yukimura immortel
15073	Keiji immortel
15074	Nobunaga immortel
15076	Venteuse divine
15077	Tonnia divine
15084	Dieu empereur Sodom
15085	Dieu empereur Megidora
15086	Dieu empereur Vars
15087	Dieu empereur Kamukura
15088	Dieu empereur Raiden
15106	Kuu divine
15107	Kai divine
15108	Mine divine
15124	Chats Val Val
15125	Masamune immortel
15126	Shingen immortel
15130	Chat macho scintillant
15135	Roi Gamereon
15136	Ultima Galaxie Cosmo
15137	Les diablotins adorables
15138	Méga-château de Jizo
15139	La lune du chaos
15144	Félinfirmière joyeuse
15145	Ultra base féline
15146	Chat rodéo
15147	Chacrobates
15148	Robochat
15149	Chat ramen
15150	Chatographe
15151	Juliette maiko
15152	Chat pizza
15153	Chats burlesques
15154	Chamophone
15159	Kenshin immortelle
15160	Kalisa divine
15169	Assassinlan Pasalan
15170	E. Kubilan Pasalan
15172	Piccolan Pasalan
15174	Citizen Mola
15175	Master of the Pacific
15178	Dieu empereur Dioramos
15181	Mystery Catgirl Yuki
15186	Revolutionary Hearscht CC
15188	Holiday Juvens CC
15189	Savior Mystica CC
15195	Akira inferno
15196	Mekako centre de contrôle
15197	Homme-Chat ultime
15198	Psychochat corrompu
15199	Thauchaturge
15200	Chat navigateur
15204	Brigade d’assaut Kachiyama
15213	Le renard gris
15227	Klay le savant fou
15228	Chat funeste
15229	Neneko sorcière costumée
15238	Chat diplômé proviseur
15239	Chat richissime
15240	Tireur d’élite
15241	Shishilan Pasalan
15249	Chat vie bonus
15258	Zeus Tout-puissant
15259	Anubis Tout-puissant
15260	Aphrodite Toute-puissante
15262	Akuma Hayabusa
15271	Crazed Catgirl Yuki
15272	Amaterasu Toute-puissante
15273	Ganesh Tout-puissant
15277	Neneko début d'été
15283	Chat tchatcha
15284	Pai-Pai DX
15287	Unité volante R.E.I.
15303	Reine succube
15305	Béhémoth CHAT-8
15306	Navire Griffe de tigre
15307	Citadelle aérienne NEK-02
15308	Chatte au foyer
15309	Charticulteur
15311	Félinfirmière de Noël
15315	Neneko nouvel an festif
15317	Poséidon Tout-puissant
15320	Chat radical
15323	Les machines à tubes
15326	Chat poids lourd
15331	Kenshin brise printanière
15332	Canard fou et malfaisant
15333	Neneko du rituel de passage
15335	Himeyuri reine renard
15336	Ruri reine des mers
15337	Reika éternelle
15339	Yoshimoto immortel
15342	Lost World Catgirl Yuki
15345	Artist Orthos CC
15346	Naptime Michelia CC
15352	Jumelles divines
15356	Destructeur orbital Ragnarök
15358	Louve comique
15359	Verveine opulente
15360	Bazibastra
15361	Mizuririn
15362	Aervanta
15363	Saber Alter CC
15371	Dreaming Sakura Cat
15377	Chatellite
15378	Le chaton de la liberté
15391	Baseball Mask α
15392	Baseball Mask β
15393	Baseball Mask γ
15394	Samba Saki CC
15395	Dark Subaru CC
15396	Baseball Mask δ
15397	Ganglion en liberté
15398	Sakura lame sacrée
15402	Gigavolta
15410	Reunion Li'l Rei
15411	Eyepatch Li'l Asuka
15414	Determined Unit-00 & Cat
15415	Unit-02, Code 777
15418	Sentinelles souterraines
15428	Héros de la quête des Chats
15432	Commissaire Gravicci
15437	Mystican Pasalan
15438	Le doré Dieu des Chats
15440	Chronos Toute-puissante
15444	Néo Chat perceuse
15445	Néo Chat foreuse
15446	Néo Chat découpeuse
15447	Néo Chat tractopelle
15448	Néo Chat scie
15451	Dieu empereur Babel
15457	Dark Sakura CC
15468	Super S-Zeus
15469	Head Rococo
15470	Super D-Devil
15483	Cat-Eared Souma
15489	Vanished NNN Wunder
15496	Chatte danseuse du ventre
15497	Kaihime immortelle
15503	Myrcia divine
15506	Dieu empereur Gladios
15507	Nameless Eyewaltz CC
15512	Kage
15520	Lasvoss ressuscité
15523	Chat démoniaque
15524	Chat Shigong
15526	Kinrangers GigaForce
15534	Vil bourreau Saki
15535	Hadès Tout-puissant
15547	Sukelan Kakulan
15557	Ghost Alibaba
15564	Méga pistol’eau Saki
15565	Fabuleuse Pasalan
15566	Chat bronzé à la permanente
15567	Chats frangins gelato
15570	Gravolodon
15571	Chavalier d’Halloween Vars
15585	Maeda Noël de luxe
15590	Neneko grand amour
15595	Ultra Atlantis Logistix
15596	Mr Kamukura fleur éternelle
15608	Kanna le mythe vivant
15611	Roi Nekokhamen
15615	L'éclat du soleil méridional
15618	Satoru démoniste
15619	Amakusa immortel
15620	Lilin π divine
15621	Dieu empereur Hevijak
15632	Yaminora
15633	Diabolosa oblitératrice
15634	Grands chasseurs d’esprits
15643	Lucifer Tout-puissant
15645	Mekako amour mentholé
15657	Chat haniwa
15659	Chat coursier
15660	Charzan
15664	Chat masque à gaz
15665	Chat chirurgien
15666	Chat exorciste
15670	Chat cactus
15671	Chat luciole blindé
15676	Chat raquette
15677	Chapignon
15686	Chat supercar
15692	Seigneur gorille Luza
15698	Chef Chat
15701	Chat tueur à gages
15707	Chat savonneur
15708	Chat baril
15714	Chat clown
16131	Ururun et Tama éveillés
16173	Bus scolaire Nyandam
16269	Mina éveillée
16324	Musashi éveillé
16427	Méca-Bun ultime
16463	Métaflibustier
16465	Guer. Toutoumon ressuscité
16533	Urs éveillé
16614	Doron éveillé
16654	Naala éveillée
18025	Chalkyrie sacrée
18026	Chat Bahamut éveillé
19001	Chat punk
19002	Chat gomme
19003	Chat de l’ombre
19004	Chat jambes d’acier
19005	Chat lion
19006	Chat volant
19007	Chat île
19008	Chat roi dragon
19009	Chat Jamilar
19010	Super félin ultime
30000	Attaque aug. D: Rouge
30001	Attaque aug. C: Rouge
30002	Attaque aug. B: Rouge
30003	Attaque aug. A: Rouge
30004	Attaque aug. S: Rouge
30005	Défense aug. D: Rouge
30006	Défense aug. C: Rouge
30007	Défense aug. B: Rouge
30008	Défense aug. A: Rouge
30009	Défense aug. S: Rouge
30010	Attaque aug. D: Flottant
30011	Attaque aug. C: Flottant
30012	Attaque aug. B: Flottant
30013	Attaque aug. A: Flottant
30014	Attaque aug. S: Flottant
30015	Défense aug. D: Flottant
30016	Défense aug. C: Flottant
30017	Défense aug. B: Flottant
30018	Défense aug. A: Flottant
30019	Défense aug. S: Flottant
30020	Attaque aug. D: Noir
30021	Attaque aug. C: Noir
30022	Attaque aug. B: Noir
30023	Attaque aug. A: Noir
30024	Attaque aug. S: Noir
30025	Défense aug. D: Noir
30026	Défense aug. C: Noir
30027	Défense aug. B: Noir
30028	Défense aug. A: Noir
30029	Défense aug. S: Noir
30030	Défense aug. D: Métall
30031	Défense aug. C: Métall
30032	Défense aug. B: Métall
30033	Défense aug. A: Métall
30034	Défense aug. S: Métall
30035	Attaque aug. D: Ange
30036	Attaque aug. C: Ange
30037	Attaque aug. B: Ange
30038	Attaque aug. A: Ange
30039	Attaque aug. S: Ange
30040	Défense aug. D: Ange
30041	Défense aug. C: Ange
30042	Défense aug. B: Ange
30043	Défense aug. A: Ange
30044	Défense aug. S: Ange
30045	Attaque aug. D: Alien
30046	Attaque aug. C: Alien
30047	Attaque aug. B: Alien
30048	Attaque aug. A: Alien
30049	Attaque aug. S: Alien
30050	Défense aug. D: Alien
30051	Défense aug. C: Alien
30052	Défense aug. B: Alien
30053	Défense aug. A: Alien
30054	Défense aug. S: Alien
30055	Attaque aug. D: Zombie
30056	Attaque aug. C: Zombie
30057	Attaque aug. B: Zombie
30058	Attaque aug. A: Zombie
30059	Attaque aug. S: Zombie
30060	Défense aug. D: Zombie
30061	Défense aug. C: Zombie
30062	Défense aug. B: Zombie
30063	Défense aug. A: Zombie
30064	Défense aug. S: Zombie
30065	Effet Assure ↑ D: Rouge
30066	Effet Assure ↑ C: Rouge
30067	Effet Assure ↑ B: Rouge
30068	Effet Assure ↑ A: Rouge
30069	Effet Assure ↑ S: Rouge
30070	Dégâts massifs ↑ D: Rouge
30071	Dégâts massifs ↑ C: Rouge
30072	Dégâts massifs ↑ B: Rouge
30073	Dégâts massifs ↑ A: Rouge
30074	Dégâts massifs ↑ S: Rouge
30075	Effet Résistance ↑ D: Rouge
30076	Effet Résistance ↑ C: Rouge
30077	Effet Résistance ↑ B: Rouge
30078	Effet Résistance ↑ A: Rouge
30079	Effet Résistance ↑ S: Rouge
30080	Effet Assure ↑ D: Flottant
30081	Effet Assure ↑ C: Flottant
30082	Effet Assure ↑ B: Flottant
30083	Effet Assure ↑ A: Flottant
30084	Effet Assure ↑ S: Flottant
30085	Dégâts massifs ↑ D: Flottant
30086	Dégâts massifs ↑ C: Flottant
30087	Dégâts massifs ↑ B: Flottant
30088	Dégâts massifs ↑ A: Flottant
30089	Dégâts massifs ↑ S: Flottant
30090	Effet Résistance ↑ D: Flottant
30091	Effet Résistance ↑ C: Flottant
30092	Effet Résistance ↑ B: Flottant
30093	Effet Résistance ↑ A: Flottant
30094	Effet Résistance ↑ S: Flottant
30095	Effet Assure ↑ D: Noir
30096	Effet Assure ↑ C: Noir
30097	Effet Assure ↑ B: Noir
30098	Effet Assure ↑ A: Noir
30099	Effet Assure ↑ S: Noir
30100	Dégâts massifs ↑ D: Noir
30101	Dégâts massifs ↑ C: Noir
30102	Dégâts massifs ↑ B: Noir
30103	Dégâts massifs ↑ A: Noir
30104	Dégâts massifs ↑ S: Noir
30105	Effet Résistance ↑ D: Noir
30106	Effet Résistance ↑ C: Noir
30107	Effet Résistance ↑ B: Noir
30108	Effet Résistance ↑ A: Noir
30109	Effet Résistance ↑ S: Noir
30110	Effet Assure ↑ D: Ange
30111	Effet Assure ↑ C: Ange
30112	Effet Assure ↑ B: Ange
30113	Effet Assure ↑ A: Ange
30114	Effet Assure ↑ S: Ange
30115	Dégâts massifs ↑ D: Ange
30116	Dégâts massifs ↑ C: Ange
30117	Dégâts massifs ↑ B: Ange
30118	Dégâts massifs ↑ A: Ange
30119	Dégâts massifs ↑ S: Ange
30120	Effet Résistance ↑ D: Ange
30121	Effet Résistance ↑ C: Ange
30122	Effet Résistance ↑ B: Ange
30123	Effet Résistance ↑ A: Ange
30124	Effet Résistance ↑ S: Ange
30125	Effet Assure ↑ D: Alien
30126	Effet Assure ↑ C: Alien
30127	Effet Assure ↑ B: Alien
30128	Effet Assure ↑ A: Alien
30129	Effet Assure ↑ S: Alien
30130	Dégâts massifs ↑ D: Alien
30131	Dégâts massifs ↑ C: Alien
30132	Dégâts massifs ↑ B: Alien
30133	Dégâts massifs ↑ A: Alien
30134	Dégâts massifs ↑ S: Alien
30135	Effet Résistance ↑ D: Alien
30136	Effet Résistance ↑ C: Alien
30137	Effet Résistance ↑ B: Alien
30138	Effet Résistance ↑ A: Alien
30139	Effet Résistance ↑ S: Alien
30140	Effet Assure ↑ D: Zombie
30141	Effet Assure ↑ C: Zombie
30142	Effet Assure ↑ B: Zombie
30143	Effet Assure ↑ A: Zombie
30144	Effet Assure ↑ S: Zombie
30145	Dégâts massifs ↑ D: Zombie
30146	Dégâts massifs ↑ C: Zombie
30147	Dégâts massifs ↑ B: Zombie
30148	Dégâts massifs ↑ A: Zombie
30149	Dégâts massifs ↑ S: Zombie
30150	Effet Résistance ↑ D: Zombie
30151	Effet Résistance ↑ C: Zombie
30152	Effet Résistance ↑ B: Zombie
30153	Effet Résistance ↑ A: Zombie
30154	Effet Résistance ↑ S: Zombie
30155	Attaque aug. D: Aku
30156	Attaque aug. C: Aku
30157	Attaque aug. B: Aku
30158	Attaque aug. A: Aku
30159	Attaque aug. S: Aku
30160	Défense aug. D: Aku
30161	Défense aug. C: Aku
30162	Défense aug. B: Aku
30163	Défense aug. A: Aku
30164	Défense aug. S: Aku
30165	Effet Assure ↑ D: Aku
30166	Effet Assure ↑ C: Aku
30167	Effet Assure ↑ B: Aku
30168	Effet Assure ↑ A: Aku
30169	Effet Assure ↑ S: Aku
30170	Dégâts massifs ↑ D: Aku
30171	Dégâts massifs ↑ C: Aku
30172	Dégâts massifs ↑ B: Aku
30173	Dégâts massifs ↑ A: Aku
30174	Dégâts massifs ↑ S: Aku
30175	Effet Résistance ↑ D: Aku
30176	Effet Résistance ↑ C: Aku
30177	Effet Résistance ↑ B: Aku
30178	Effet Résistance ↑ A: Aku
30179	Effet Résistance ↑ S: Aku
