000	แมวพื้นฐาน<br><br>	กล้ามที่ฝึกมาอย่างดี<br>คือเสน่ห์ของแมวตัวนี้<br>	กล้ามที่ฝึกมาอย่างดีและทรงผม<br>คือเสน่ห์ของแมวตัวนี้<br>		
018	หนึ่งในนักสู้ที่เข้มแข็งที่สุด<br>เทียบชั้นได้กับแมวขวาน ชนะ 10 แพ้ 1<br>เก่งกับศัตรูสีแดง	ผู้เรียนรู้วิชาอัญเชิญสัตว์ป่า<br>ขี่กบเพื่อความคล่องตัว<br>เก่งกับศัตรูสีแดง	เต้นระบำทั่วฟ้า ไล่ฝ่าศัตรู<br>ด้วยวิชานินจาขั้นสูง ราคาถูกผลิตง่าย<br>เก่งกับศัตรูสีแดงมาก!		
019	ศึกษาที่สถาบันวิจัยภาพยนตร์<br>ลงเรียนเอฟเฟกต์พิเศษและการแต่งหน้าเป็นวิชาเอก<br>เก่งกับศัตรูสีแดง	ได้ A วิชาการแต่งหน้า<br>และกล่าวอ้างว่าทำเกรดได้ดีกว่าแมวปลา<br>เก่งกับศัตรูสีแดง	ต่อให้ตะปูขึ้นสนิมก็ไม่สามารถหยุดยั้งหัวใจ<br>เต้นต่อไปด้วยความรัก อเนกประสงค์กว่าแมวปลา:<br>เก่งกับสีแดง/ซอมบี้ พร้อมมีโจมตีพื้นที่		
020	ความจริงใจคือวิถีแห่งนักรบ<br>มีพลังชีวิตและการโจมตีดีพิเศษ<br>เป็นแมวที่เหมาะรอบด้าน	เพิ่มความกล้าหาญให้แก่จิตใจ<br>มีพลังชีวิตและการโจมตีดีพิเศษ<br>เป็นแมวที่เหมาะรอบด้าน	ตัวละครที่เน้นการต่อสู้ที่ทำขนมด้วย<br>วิปครีมกระจายจากการโจมตี<br>ทำให้ชะลอศัตรูได้		
021	ตัวละครโล่ที่มีความแข็งแกร่งทางกายภาพมาก<br>ความทนทานมีมากกว่าแมวแทงก์<br>มีการโจมตีที่ค่อนข้างแข็งแกร่งขึ้น (โจมตีพื้นที่)	พบว่าตนเองชอบทำอาหารให้แมวซูโม่ตัวอื่นกิน<br>เพราะฉะนั้นต้องกินข้าวให้หมด... ไม่งั้นโดนดีแน่<br>มีการโจมตีที่ค่อนข้างแข็งแกร่งขึ้น (โจมตีพื้นที่)	การป้องกันและโภชนาการคือสิ่งสำคัญที่ต้องมีไว้ในมือ<br>มีความทนทานมากกว่าแมวแทงก์ พร้อมมีความว่องไว<br>จากการฝึกฝนอย่างหนักหน่วง (โจมตีพื้นที่)		
022	ใครก็หยุดจังหวะไม่ได้!<br>มีราคาถูก มาพร้อมกับท่วงท่าโบนัส<br>ได้เวลาบูกี้แล้ว! แมว! แมว! เมี้ยว!	จังหวะมันสุดโต่ง!<br>ผลิตเร็วราคาถูก ทุกคนเต้น!<br>เต้นจนกว่าจะหมดแรง! แซมมมมมมมบ้า!	ออกเดินทางสร้างความสุขให้แก่ซีญอริต้ารอบโลก<br>แต่ไม่เคยไปเม็กซิโกนะ เป็นแค่พวกชอบวงมารีอาชีเฉยๆ<br>สามารถทำให้ศัตรูบินได้!		
023	เจอกระโปรงสวยงามในร้านขายเสื้อผ้า<br>เลยชอบใส่มาก... ใส่มันตลอดเวลาเลย<br>เป็นรุ่นขั้นสูงของแมวขาสวย	อยากลองเปลี่ยนลุคดู<br>เลยไปเจอถุงน่องที่ร้าน 20 บาท<br>เป็นรุ่นขั้นสูงของแมวขาสวย	เลือกชุดชั้นในแบบโบราณเพื่อแสดง<br>ให้เห็นถึงขาสวยงามและแฟชั่นที่กำลังติดเทรนด์<br>การโจมตีรัวมีโอกาสทะลุบาเรีย!		
024	ทายาทแห่งวาลฮาลา<br>มาไถ่บาปให้แก่แมวศึก!<br>ใช้หอกเหมียวเนียร์สวรรค์ (โจมตีพื้นที่)	แปลงร่างเป็นร่างสุดท้าย<br>หงุดหงิดเพราะพระเจ้าชอบตามเซ้าซี้<br>ใช้หอกเหมียวเนียร์สวรรค์ (โจมตีพื้นที่)	คำสาปหมดฤทธิ์แล้ว และผู้ไถ่บาปแห่งชาวแมว<br>ได้กลับมาแล้ว! เหมียวเนียร์ที่ได้รับการซ่อมแซม<br>จะทะลวงศัตรูและหยุดการเคลื่อนไหวให้อยู่กับที่ (โจมตีพื้นที่)		
025	อาวุธแมวโบราณที่ลือกันว่า<br>ได้สร้างวันโลกาวินาศครั้งแรก<br>มีพลังโจมตีสูงมาก (โจมตีพื้นที่)	กลายเป็นว่าข่าวลือเป็นเรื่องจริง เพราะนี่คือผู้ที่<br>ทำให้เกิดวันโลกาวินาศ ซึ่งก็ไม่แปลกใจว่าทำไม...<br>มีพลังโจมตีสูงมาก (โจมตีพื้นที่)	กล่าวกันว่าเขามีพลังในการทำลายล้างโลก<br>และตอนนี้ปราศจากโซ่ตรวนที่ผนึกพลัง<br>พลังและความเร็วของเขานั้นไม่มีใครเทียบได้ (โจมตีพื้นที่)		
026	Joined the war especially in order to seek "sweets".<br>Her ultimate attack is unleashing her ferocious dash!<br>Does joining the war stop her pursuit of hot guys?	Joined the war especially in order to seek "sweets".<br>She turned from a tomboy into a sexy princess.<br>Her ultimate attack is unleashing her ferocious dash!	Joined the war in order to seek "sweets".<br>Sprints down the wedding aisle in a white dress,<br>awaiting the one who can accept her love.		
027	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and bought an item in a wig shop.	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and spent an entire fortune on plastic surgery.			
028	An experimental weapon: one speedy Cat,<br>protected by state-of-the-art capsule plastic.<br>Packs a punch, definitely can't take one.	Capsule Cat felt lonely and posted an ad for<br>roommates. Overestimated the space in his flat.<br>It's always cuddle time, whether they like it or not!			
029	Wears the mask which he borrowed without permission<br>from the adventurer Gamatoto who found the mask.<br>His only capability is wearing the mask though.	Finally became a wrestler.<br>Due to his class change, his talents<br>have increased considerably. (Area)			
030	นี่คือแมวผู้บรรลุมรรคผล<br>และค้นพบความสุขที่แท้จริง<br>อาจจะชะลอศัตรูลอยได้ (โจมตีพื้นที่)	แมวโพธิสัตว์ผู้มีเมตตามากล้น<br>พร้อมมอบให้แมวศึกทุกตัว<br>อาจจะชะลอศัตรูลอยได้ (โจมตีพื้นที่)	แมวผู้ตรัสรู้รู้แจ้งเห็นจริง<br>แต่กระนั้นก็ยังไม่ถึงขั้นพระพุทธเจ้า<br>การโจมตีพื้นที่อาจจะลดทอน/ชะลอลอยได้		
031	มีฉายาที่โรงเรียนแมวว่าบันโจ้<br>อาจจะหยุดการเคลื่อนไหวศัตรูลอยได้ (โจมตีพื้นที่)<br>	อาละวาดฟาดหัวฟาดหาง<br>เพราะว่าพ่อแอบกินไอติมของตัวเอง<br>อาจจะหยุดการเคลื่อนไหวศัตรูลอยได้ (โจมตีพื้นที่)	แมวอันธพาลที่รู้จักกันดีว่าเป็นเจ้าแห่งหมัดพิโรธ<br>ชอบไปเล่นปาจิงโกะ และแลกของรางวัลเป็นไอติม<br>อาจจะหยุดการเคลื่อนไหวศัตรูลอย/ซากวัตถุได้ (โจมตีพื้นที่)		
032	เด็กนักเรียนที่สอบตกการเรียนเต้น<br>สามารถผลิตได้จำนวนมาก!<br>อาจจะชะลอศัตรูสีแดงได้	ไม่ว่าใครก็ไม่อยากเห็นเขาบนท้องถนน และเต้น<br>อย่างมีทักษะเพื่อทำให้เกมนี้เหมาะสำหรับเด็ก<br>อาจจะชะลอศัตรูสีแดงได้	โดนโรงเรียนสอนเต้นไล่ออก เพราะว่า<br>ไปเต้นล่อแหลมในงานแสดงสำหรับครอบครัว<br>ชะลอการเคลื่อนไหวของศัตรูสีแดงได้ในบางครั้ง		
033	ใช้งานได้ดีในฤดูหนาว... แต่นั่นไม่ใช่ประเด็น<br>ลดดาเมจที่รับจากศัตรูลอยอย่างสูงมาก<br>มีโอกาสลดทอนศัตรูลอย	ซ่อนอยู่ในทีวีเพื่อหลอกหลอนคนเล่น<br>แล้วก็เลยติดอยู่ในนั้นถาวร<br>อึดต่อ + มีโอกาสลดทอนศัตรูลอย	แมวที่มีความยืดหยุ่นสูงมาก ชอบอยู่ใน<br>ที่แคบและมืด ปัดคลื่นโจมตีได้<br>อึดต่อ + มีโอกาสลดทอนศัตรูลอย		
034	ไม่แน่ใจว่านี่เป็นแมวหรือเปล่า...<br>ทำไมไม่ลองวิวัฒน์ดูล่ะ...<br>	พระเจ้าช่วย ไม่แน่ใจว่านี่เป็นแมวหรือเปล่า...<br>ไม่ไหวแล้ว ขอยอมแพ้<br>สามารถกระแทกกลับศัตรู (โจมตีพื้นที่)	เบื่อที่จะหลอกเด็กแล้ว ลูกาเลยปรับเปลี่ยนตัวเอง<br>ให้เป็นฮีโร่สวมหน้ากากผู้โด่งดัง หยุดการเคลื่อนไหวและ<br>กระแทกกลับศัตรูที่ไม่ใช่โลหะ (โจมตีพื้นที่)		
035	กล้าหาญชาญชัยจน... กระทั่งต้องออกจากห้อง<br>ของตัวเองเป็นชาวเน็ตที่ขึ้นชื่อว่าเป็นเกรียน<br>ชำนาญการโจมตีระยะไกลได้ดี	มีชื่อเสียงว่าเป็นผู้สร้างปุ่มสีแดง<br>จบจากมหาวิทยาลัยเทคโนโลยีชั้นนำ<br>ชำนาญการโจมตีระยะไกลได้ดี	หลังจากที่ครองโลกเสมือนได้<br>ก็ไปล้มละลายกับตลาดคริปโต<br>การโจมตีพื้นที่ระยะไกลชะลอที่ไม่ใช่โลหะ		
036	ใช้พลังจากความเจ็บปวดที่ไม่เคยชนะ<br>สร้างให้เกิดความเข้มแข็งจากน้ำตาแห่งความปราชัย<br>สร้างดาเมจมหาศาลต่อศัตรูลอย	ในที่สุดก็ยุติความพ่ายแพ้<br>เก็บชัยชนะได้ จากความทุ่มเท!<br>สร้างดาเมจมหาศาลต่อศัตรูลอย	แทบจะเรียกไม่ได้ว่าเป็นแมวแล้ว<br>เพราะใช้การตัดต่อยีนเพื่อเป็นแชมป์โลก<br>สร้างดาเมจมหาศาลต่อศัตรูลอย		
037	กำลังเห่อของเล่นใหม่ (?)<br>แต่ก็ดูน่าสนุกดีนะ<br>ต้นทุนผลิตถูก อาจรอดชีวิตจากการโจมตีถึงตายได้ 1 ครั้ง	ไปเป็นเด็กนักเรียนแลกเปลี่ยน<br>เลยเอาชุดของคนอื่นกลับบ้านมาด้วย<br>ต้นทุนผลิตถูก อาจรอดชีวิตจากการโจมตีถึงตายได้ 1 ครั้ง	คนรักหนังผีหรือเป็นผะผะผีตัวจริงเนี่ย?<br>แต่ว่ายันต์บนหน้าผาก นั่นมันบิลค่าไฟเดือนนี้นี่...<br>ต้นทุนผลิตถูก รอดชีวิตจากการโจมตีถึงตายได้ 1 ครั้ง 100%		
038	เบื่อที่จะต้องเปลี่ยนล้อรถเหลือเกิน<br>เลยเป็นล้อซะเอง และหมุนเร็วมากจนลุกไหม้<br>ดาเมจมหาศาลต่อศัตรูเอเลี่ยน (โจมตีพื้นที่)	เบื่อที่จะต้องเคลื่อนที่แล้ว<br>ก็เลยตัดสินใจมาเป็นระบบสุริยะ<br>ดาเมจมหาศาลต่อศัตรูเอเลี่ยน (โจมตีพื้นที่)	แมววิวัฒน์ที่มีความสงบสุขุมเยือกเย็น<br>เสมอเมื่ออยู่ในสำนักงาน<br>ดาเมจพื้นที่มหาศาลต่อศัตรูเอเลี่ยน		
039	เจอแอปเปิลลูกใหญ่ลอยน้ำ<br>เลยนำมาเป็นเครื่องแต่งกาย<br>อาจจะหยุดศัตรูสีแดงได้	เจอศีรษะขนาดยักษ์วางอยู่ข้างถนน<br>เลยนำมาเป็นเครื่องแต่งกาย<br>อาจจะหยุดศัตรูสีแดงได้	เจอแอปเปิลสีสันสดใสที่อยู่ใกล้กับซิลิคอนวัลเลย์<br>ในขณะที่ไปช้อปปิ้งพร้อมใส่เสื้อคอเต่า<br>โจมตีพื้นที่ หยุดศัตรูแดง 100%		
040	รักความสะอาด ตลอด เวลา จริงๆ<br>สร้างดาเมจมหาศาลต่อศัตรูสีแดง<br>	รักความสะอาด ตลอด เวลา จริงๆ<br>ชอบอาบเงียบๆ โปรดอย่ารบกวน<br>สร้างดาเมจมหาศาลต่อศัตรูสีแดง	ฟองสบู่และทองเปลว ทำให้สามารถ<br>อาบน้ำได้อย่างสบายใจยิ่ง แรงฉีดน้ำทรงพลัง<br>จะสร้างดาเมจมหาศาลใส่ศัตรูสีแดงสกปรก		
041	เพื่อความสวยมันช่วยไม่ได้<br>ร่วมงานได้ดีกับแมวขาสวย<br>โจมตีระยะไกลได้ดีเยี่ยม (โจมตีพื้นที่)	แมวผู้มากสไตล์ที่ได้รับชื่อว่าฌอง<br>อาจจะเป็นชื่อฝรั่งเศสมั้ง ไม่แน่ใจเหมือนกัน<br>โจมตีระยะไกลได้ดีเยี่ยม (โจมตีพื้นที่)	ที่สุดของเทพีสงครามไบโอนิก<br>สมบูรณ์แบบทั้งความงามและเทคนิค<br>เป็นผู้ชำนาญการโจมตีพื้นที่ระยะไกล		
042	แมวที่หลงสาวน้อย<br>มาจากดินแดนน้ำแข็ง<br>อาจจะหยุดการเคลื่อนไหวศัตรูสีแดงได้ (โจมตีพื้นที่)	ลืมบอกไปว่าแมวตัวนั้นถูกแช่แข็งถาวร<br>แต่เจ้าตัวก็ไม่ได้ว่าอะไรนะ<br>อาจจะหยุดการเคลื่อนไหวศัตรูสีแดงได้ (โจมตีพื้นที่)	ราชินีน้ำแข็งมีอำนาจเพิ่มขึ้น<br>ก็ได้ทำให้แมวคู่ใจมีคริสตัลที่ดีขึ้นด้วย<br>หยุดการเคลื่อนไหวศัตรูสีแดงให้อยู่กับที่ (โจมตีพื้นที่)		
043	ระบบเครื่องจักรติดอาวุธรุ่นที่ 1<br>ในซีรีส์ MS พัฒนาโดยรัฐบาล (โจมตีพื้นที่)<br>อึดต่อศัตรูแดงและเอเลี่ยน	หุ่นซีรีส์ MS ที่ผ่านการทดสอบต่อสู้<br>และหลบหนีออกมาจากห้องวิจัย (โจมตีพื้นที่)<br>อึดต่อศัตรูแดงและเอเลี่ยน	MS:RX-Ω หุ่นยนต์สู้รบแห่งอนาคต<br>ได้มาถึงมือของกองทัพแมวแล้ว!<br>ทนการโจมตีแดง/เอเลี่ยน โล่ต้านคลื่น		
044	แมวบ้าคลั่งที่บูชายัญตัวเอง<br>ให้แก่ปีศาจจากปรโลก<br>โจมตีด้วยพลังมหาศาล	แมวบ้าคลั่งสามารถควบคุม<br>ปีศาจจากปรโลกได้สำเร็จ<br>โจมตีด้วยพลังมหาศาล	การท่องอเวจีได้ทำให้บ้าคลั่ง<br>ด้วยความทะเยอทะยานระดับไฟนรก<br>ดาเมจมโหฬารต่อศัตรูเดี่ยว		
045	A sweet rookie entertainer, allergic to<br>green tea, better at keytar than shamisen.<br>	Years of life in the floating world made<br>her a cool cynic. Her distant attitude<br>befits her long-distance attacking power.			
046	ทายาทของเผ่าพันธุ์แมวโบราณ<br>ที่เคยมีชีวิตอยู่ในยุคจูราสสิก<br>อาจจะโจมตีคริติคอลได้	ทายาทของเผ่าพันธุ์แมวโบราณ<br>ผู้ดูแลเด็กๆ ในยุคจูราสสิก<br>อาจจะโจมตีคริติคอลได้	พบไดโนเสาร์น่ารักจากดินแดนเห็ดเวทมนตร์<br>มีที่นั่งสำหรับเด็กโดยเฉพาะ!<br>อาจจะโจมตีคริติคอลได้		
047	แมวนักรบที่<br>อ่านนิยายแฟนตาซีมากไป<br>เก่งกับศัตรูสีแดง	หลังจากที่เล่นอินเทอร์เน็ตไปพักนึง<br>ก็ได้สั่งทำเกราะกับอาวุธผ่านเน็ต<br>เก่งกับศัตรูสีแดง	กลายเป็นว่าเกราะที่ "สั่งทำ"<br>เป็นของโหลซะงั้น แต่ว่าของราคาถูก<br>ก็ยังโจมตีสีแดงสร้างดาเมจพื้นที่มหาศาลได้		
048	ได้รับอิทธิพลมาจากการ์ตูนโจรสลัดบางเรื่อง<br>และฝันว่าอยากจะเป็นราชาโจรสลัด แต่ว่ายน้ำไม่เป็น<br>อาจจะกระแทกกลับศัตรูสีแดงได้	ยังเชื่อว่าโจรสลัดเป็นเรื่องเท่ และยังคงว่ายน้ำไม่เป็น<br>รวมทั้งตอนนี้ได้แตกหักกับแมวนินจาแล้ว<br>อาจจะกระแทกกลับศัตรูสีแดงได้	เพิ่งรู้ว่ามีภาพยนตร์เกี่ยวกับโจรสลัดด้วย!<br>เลยทำให้อัปเกรดเรือของตัวเอง<br>อาจจะกระแทกกลับศัตรูสีแดงได้		
049	เคลื่อนที่เร็ว และปล้นเร็วยิ่งกว่า<br>ได้รับเงินเพิ่มเมื่อปราบศัตรูได้<br>	เคลื่อนที่เร็วเกินไป แต่ปล้นได้เท่าเดิม<br>ตอนนี้มีสมบัติเยอะแล้ว<br>ได้รับเงินเพิ่มเมื่อปราบศัตรูได้	ยอดหัวขโมยในหมู่ขโมย พบเห็นครั้งสุดท้าย<br>ในยุคญี่ปุ่นโบราณ ตอนสู้กับโชกุนชั่วช้า เก็บเงินเพิ่มขึ้น<br>จากกระเป๋าของศัตรูด้วยการโจมตีพื้นที่		
050	แมวเปี่ยมเมตตาที่มอบสันติและความรัก<br>ให้แก่ทุกคน และคิดเงินสำหรับการสารภาพบาป<br>อาจจะชะลอศัตรูลอยได้	มอบความสงบสุขให้แก่ศัตรู<br>เพื่อให้ไปเกิดใหม่ได้อย่างสันติ<br>อาจจะชะลอศัตรูลอยได้	ออกเดินทางสู่ชมพูทวีปเพื่อมอบความรู้แจ้ง<br>ซึ่งส่วนมากก็คือการไล่อัดสัตว์ที่เจอ<br>อาจจะชะลอศัตรูลอยได้ (โจมตีพื้นที่)		
051	เป็นแมวที่ชื่นชอบในการพยากรณ์<br>และอ่านหนังสือโหรพยากรณ์มากไป<br>อาจจะกระแทกกลับศัตรูลอยได้	ลูกชายคนโตของชาวเรือชื่อดัง<br>และเมาเรือมาก<br>อาจจะกระแทกกลับศัตรูลอยได้	คุณหมอผู้ใช้หลัก "ขนหมา" ในการรักษา<br>ถ้ากินแล้วไม่ตายก็แปลว่ารักษาหายสินะ?!<br>อาจจะกระแทกกลับศัตรูลอยได้		
052	สามารถสื่อสารกับพลังเหนือธรรมชาติได้<br>...คือสิ่งที่เขียนไว้ในวิกิ<br>อาจจะหยุดการเคลื่อนไหวศัตรูลอยได้	กลายเป็นว่าพลังเหนือธรรมชาติ<br>คือผู้ควบคุมแมวตัวนี้ต่างหาก<br>อาจจะหยุดการเคลื่อนไหวศัตรูลอยได้	หลังจากโดนพลังมืดเข้าครอบงำ เลยทำให้เต้นไม่หยุดไม่หย่อน<br>คิดว่าจะสามารถต้านทานท่วงท่าระดับมารร้ายของเขาได้หรือไม่?<br>อาจจะหยุดการเคลื่อนไหวศัตรูลอยได้นานขึ้น		
053	ปลดล็อกจากการบรรลุตำนานทั้งหมด<br>หยุดการเคลื่อนไหวศัตรูให้อยู่กับที่<br>ให้อัญเชิญออกมาในยามคับขัน	ใช้พลังพิเศษเพื่อเข้าไปขัดขวางกาลเวลา<br>หยุดการเคลื่อนที่ของศัตรู<br>ให้อัญเชิญออกมาในยามคับขัน			
054					
