0|S0|I0	Acelerador
10529	Guardia Real Gatuna
10532	Gato Cadaveroso
10540	Quartercat
10546	Gato Burbuja
10554	Gato Pollo Frito
10555	Uril Esotérico
10622	Investigator
10624	Gato de banda de bronce
10630	Gato Crestado adoctrinado
10637	Gato Borrador adoctrinado
10646	Gato Oscuro adoctrinado
10655	Gato Muslamen adoctrinado
10663	Gato León adoctrinado
10668	Gato Volador adoctrinado
10685	Gato Isleño adoctrinado
10689	Gato Dragón Rey adoctrinado
10695	Miautante adoctrinado
15017	Moneko Superestrella
15031	Gato Tathagata
15032	Gato Vándalo Ultra
15033	Gato Cancán
15034	Gato Pulpo
15035	Ultralan Pasalan
15036	Gato Ciberpunk
15037	Gato Pez
15038	Gato Jiangshi
15039	Gato Relajado
15040	iGato
15041	Gato Bañera Lujoso
15042	Gata Cíborg
15043	Gata de Cristal Gélida
15044	Máquina Felina MK III
15045	Gato Balrog Superior
15047	Gatosaurio
15048	Maximum Luchador
15049	Gato Corsario
15050	Gatoladrón Folclórico
15051	Gato Divino
15052	Gato Médico
15053	Gato Nigrodanzante
15056	Gata Maga
15057	Gatauro
15058	Gato Paladín
15059	Gato Duelista
15060	Cuna de Gatos
15062	Gato Huevas
15067	PPT46
15068	Crystal Li'l Gau Gau
15069	Judgment
15072	Yukimura Inmortal
15073	Keiji Inmortal
15074	Nobunaga Inmortal
15076	Brisabel Divina
15077	Trónica Divina
15084	Sodoma, Dios Emperador
15085	Megidora, Dios Emperador
15086	Vars, Dios Emperador
15087	Kamukura, Dios Emperador
15088	Raiden, Dios Emperador
15106	Kuu Divina
15107	Kai Divina
15108	Cobrina Divina
15112	Frolicking Nono CC
15120	Wyvern and Alec
15124	Gatos Val Val
15125	Masamune Inmortal
15126	Shingen Inmortal
15130	Gato Mazado Brillante
15135	Rey Gamereon
15136	Cosmo Extragaláctico
15137	Los Demonios del Melocotón
15138	Megacastillo de Jizo
15139	La Luna del Caos
15144	Gata Enfermera Divertida
15145	Ultrabase Gatuna
15146	Gato Rodeo
15147	Gatos Acróbatas
15148	Robogato
15149	Gato Ramen
15150	Gato Camarógrafo
15151	Julieta Maiko
15152	Gato Pizza
15153	Gatos Bufones
15154	Gatófono
15159	Kenshin Inmortal
15160	Kalisa Divina
15161	Gekirinchi
15162	Manic Princess Punt
15169	Asesino Pasalan
15170	E. Kubilan Pasalan
15172	Piccolan Pasalan
15174	Citizen Mola
15175	Master of the Pacific
15178	Dioramos, Dios Emperador
15181	Mystery Catgirl Yuki
15186	Revolutionary Hearscht CC
15188	Holiday Juvens CC
15189	Savior Mystica CC
15195	Akira Infierno
15196	Mekako Control de Misión
15197	Catman Definitivo
15198	Psicogato Corrupto
15199	Gato Taumaturgo
15200	Gato Marinero
15204	Brigada de Asalto Kachiyama
15213	Zorro Gris
15214	Gato Comida para Llevar
15223	GOLDEN HUGE HERMIT CC
15224	GOLDEN JUPITER CC
15225	GOLDEN MORDEN CC
15226	HI-DO MK III
15227	Doctor Klay Loco
15228	Gato Presagio
15229	Disfraz de Neneko Bruja
15238	Sabelotodo Director
15239	Gato Forrado
15240	Gatotirador infalible
15241	Shishilan Pasalan
15242	Kai Espíritu Helado (μ)
15249	Gato Vida Extra
15258	Zeus Todopoderoso
15259	Anubis Todopoderoso
15260	Afrodita Todopoderosa
15262	Akuma Hayabusa
15271	Crazed Catgirl Yuki
15272	Amaterasu Todopoderosa
15273	Ganesha Todopoderoso
15276	Miss Miau Estival
15277	Neneko Veraniega
15283	Gato Bailongo Precioso
15284	Pai-Pai DX
15287	Unidad Voladora R. E. I.
15289	Ultimate Madoka
15290	Devil Homura
15303	Gata Reina Súcubo
15305	Mastodonte de Asalto
15306	BCS Garra de Tigre
15307	MIAU-02 Ciudadela Aérea
15308	Gata Ama de Casa
15309	Gato Desbrozador
15311	Enfermera Navideña
15317	Poseidón Todopoderoso
15320	Gato Radical
15323	Estrellas de Un Día
15326	Gato Peso Superpesado
15331	Kenshin Brisa Primaveral
15332	Pato Loco Malévolo
15333	Neneko Floreciente
15335	Himeyuri Reina
15336	Sirerreina Ruri
15337	Reika Eterna
15338	HMS Princess II CC
15339	Yoshimoto Inmortal
15342	Lost World Catgirl Yuki
15345	Artist Orthos CC
15346	Naptime Michelia CC
15352	Astrogemelas Divinas
15356	Plataforma Orbital Asoladora
15358	Deale Reina Bufona
15359	Verbena Opulenta
15360	Bazibastra
15361	Mizuririn
15362	Aervanta
15363	Saber Alter CC
15371	Dreaming Sakura Cat
15377	Gatélite
15378	El Gato de la Libertad
15391	Baseball Mask α
15392	Baseball Mask β
15393	Baseball Mask γ
15394	Samba Saki CC
15395	Dark Subaru CC
15396	Baseball Mask δ
15397	Ganglión Liberado
15398	Sakura Hoja Sagrada
15402	Gigavolta
15410	Reunion Li'l Rei
15411	Eyepatch Li'l Asuka
15414	Determined Unit-01 & Cat
15415	Unit-02, Code 777
15418	Centinelas Subterráneos
15428	Equipo Heroico Gatuno
15432	Gravicci Jefe de Sección
15437	Pasalan Místico
15438	Misidiós el Dorado
15440	Chronos Todopoderosa
15441	Law of Cycles Nagisa
15444	Neogato Taladrador
15445	Neogato Martinete
15446	Neogato Cortador
15447	Neogato Retroexcavadora
15448	Neogato Aserrador
15449	Miyamoto Inmortal
15451	Babel, Dios Emperador
15457	Dark Sakura CC
15468	Super S-Zeus
15469	Head Rococo
15470	Super D-Devil
15483	Cat-Eared Souma
15489	Vanished NNN Wunder
15496	Gata Danza del Vientre
15497	Kaihime Inmortal
15503	Myrcia Divina
15506	Gladios, Dios Emperador
15507	Nameless Eyewaltz CC
15512	Kage
15518	Crimson King of Battle Ken
15520	Lasvoss Renacido
15523	Gata Endemoniada
15524	Gato Shigong
15526	Supertropa de Kinrangers
15534	Saki Dinamitera
15535	Hades Todopoderoso
15547	Sukelan Kakulan
15557	Ghost Alibaba
15560	Emma Inspectora del Infierno
15564	Saki con Cañón de Agua
15565	Fabulosa Pasalan
15566	Gato Bronceado con Permanente
15567	Gatos Gelatos
15570	Petrolodón
15571	Caballero de Halloween Vars
15585	Maeda Navideño DX
15590	Neneko de Amor Verdadero
15595	Ultratlantis Logistix
15596	Lord Kamukura Perenne
15608	Kanna Aventurera de Fábula
15611	Rey Nekokhamen
15615	Sol Sureño Destellante
15618	Cazador de demonios Satoru
15619	Amakusa Inmortal
15620	Lilin Divina
15621	Hevijak, Dios Emperador
15626	Ragelan Pasalan
15632	Yaminora
15633	Diabolosa Destructora
15634	Grandes Cazadores Chunchun
15635	Cíclope Caballero Demoníaco
15643	Lucifer Todopoderoso
15645	Mekako Amante Menta
15648	Terun Cazadora Divina ζ
15650	Hanzo Inmortal
15656	Ventirena
15657	Gato Haniwa
15659	Gato Mensajero
15660	Gatarzán
15661	Daliasan, Dios Emperador
15664	Gato con Máscara de Gas
15665	Gato Cirujano
15666	Gato Exorcista
15669	Maestro Inmortal Tengu
15670	Gactus
15671	Gato Luciérnaga Blindado
15675	Gataque extradimensional
15676	Gata Raqueta
15677	Gato Hongo
15683	Alquimista del engaño Vega
15684	Yukimura Vampírico
15686	Gato Supercoche
15692	Lord Luza Simio
15693	Acorazado Oni Kozuchimaru
15698	Gato Jefe
15699	Jack, el rayo
15701	Gato Sicario
15707	Jabogato
15708	Gato Barril
15714	Gato Payaso
15716	Convoyes Batallón de Ataque Letal
15717	Gato Policía
15718	Gato Granjero
15721	Oso Caído Gatuno
15724	Aset Todopoderosa
15725	Vaina de huevo gatuno
15731	Gato León Bailarín
15758	Gata Prometida
15766	Gato Almeja
16131	Ururun Alzado
16173	Nyandam Bus Escolar
16269	Mina Alzada
16324	Musashi Alzado
16427	Bun Bun Mecánico Definitivo
16463	Metafiliembustero
16465	Perromón Guerrero Renacido
16533	Urs Alzado
16569	Idi:NX
16614	Doron Alzado
16654	Naala Alzada
18025	Gata Valquiria Sagrada
18026	Gato Bégimo Alzado
19001	Gato Crestado
19002	Gato Borrador
19003	Gato Oscuro
19004	Gato Piernacas
19005	Gato León
19006	Gato Volador
19007	Gato Isleño
19008	Gato Dragón Rey
19009	Miautante
19010	Superfelino Final
30000	Aumento de ataque D: Rojos
30001	Aumento de ataque C: Rojos
30002	Aumento de ataque B: Rojos
30003	Aumento de ataque A: Rojos
30004	Aumento de ataque S: Rojos
30005	Mejora de defensa D: Rojos
30006	Mejora de defensa C: Rojos
30007	Mejora de defensa B: Rojos
30008	Mejora de defensa A: Rojos
30009	Mejora de defensa S: Rojos
30010	Aumento de ataque D: Voladores
30011	Aumento de ataque C: Voladores
30012	Aumento de ataque B: Voladores
30013	Aumento de ataque A: Voladores
30014	Aumento de ataque S: Voladores
30015	Mejora de defensa D: Voladores
30016	Mejora de defensa C: Voladores
30017	Mejora de defensa B: Voladores
30018	Mejora de defensa A: Voladores
30019	Mejora de defensa S: Voladores
30020	Aumento de ataque D: Negros
30021	Aumento de ataque C: Negros
30022	Aumento de ataque B: Negros
30023	Aumento de ataque A: Negros
30024	Aumento de ataque S: Negros
30025	Mejora de defensa D: Negros
30026	Mejora de defensa C: Negros
30027	Mejora de defensa B: Negros
30028	Mejora de defensa A: Negros
30029	Mejora de defensa S: Negros
30030	Mejora de defensa D: Metálicos
30031	Mejora de defensa C: Metálicos
30032	Mejora de defensa B: Metálicos
30033	Mejora de defensa A: Metálicos
30034	Mejora de defensa S: Metálicos
30035	Aumento de ataque D: Ángeles
30036	Aumento de ataque C: Ángeles
30037	Aumento de ataque B: Ángeles
30038	Aumento de ataque A: Ángeles
30039	Aumento de ataque S: Ángeles
30040	Mejora de defensa D: Ángeles
30041	Mejora de defensa C: Ángeles
30042	Mejora de defensa B: Ángeles
30043	Mejora de defensa A: Ángeles
30044	Mejora de defensa S: Ángeles
30045	Aumento de ataque D: Álienes
30046	Aumento de ataque C: Álienes
30047	Aumento de ataque B: Álienes
30048	Aumento de ataque A: Álienes
30049	Aumento de ataque S: Álienes
30050	Mejora de defensa D: Álienes
30051	Mejora de defensa C: Álienes
30052	Mejora de defensa B: Álienes
30053	Mejora de defensa A: Álienes
30054	Mejora de defensa S: Álienes
30055	Aumento de ataque D: Zombis
30056	Aumento de ataque C: Zombis
30057	Aumento de ataque B: Zombis
30058	Aumento de ataque A: Zombis
30059	Aumento de ataque S: Zombis
30060	Mejora de defensa D: Zombis
30061	Mejora de defensa C: Zombis
30062	Mejora de defensa B: Zombis
30063	Mejora de defensa A: Zombis
30064	Mejora de defensa S: Zombis
30065	Mayor efecto «Eficacia» D: Rojos
30066	Mayor efecto «Eficacia» C: Rojos
30067	Mayor efecto «Eficacia» B: Rojos
30068	Mayor efecto «Eficacia» A: Rojos
30069	Mayor efecto «Eficacia» S: Rojos
30070	Mayor efecto «Superfuerza» D: Rojos
30071	Mayor efecto «Superfuerza» C: Rojos
30072	Mayor efecto «Superfuerza» B: Rojos
30073	Mayor efecto «Superfuerza» A: Rojos
30074	Mayor efecto «Superfuerza» S: Rojos
30075	Mayor efecto «Dureza» D: Rojos
30076	Mayor efecto «Dureza» C: Rojos
30077	Mayor efecto «Dureza» B: Rojos
30078	Mayor efecto «Dureza» A: Rojos
30079	Mayor efecto «Dureza» S: Rojos
30080	Mayor efecto «Eficacia» D: Voladores
30081	Mayor efecto «Eficacia» C: Voladores
30082	Mayor efecto «Eficacia» B: Voladores
30083	Mayor efecto «Eficacia» A: Voladores
30084	Mayor efecto «Eficacia» S: Voladores
30085	Mayor efecto «Superfuerza» D: Voladores
30086	Mayor efecto «Superfuerza» C: Voladores
30087	Mayor efecto «Superfuerza» B: Voladores
30088	Mayor efecto «Superfuerza» A: Voladores
30089	Mayor efecto «Superfuerza» S: Voladores
30090	Mayor efecto «Dureza» D: Voladores
30091	Mayor efecto «Dureza» C: Voladores
30092	Mayor efecto «Dureza» B: Voladores
30093	Mayor efecto «Dureza» A: Voladores
30094	Mayor efecto «Dureza» S: Voladores
30095	Mayor efecto «Eficacia» D: Negros
30096	Mayor efecto «Eficacia» C: Negros
30097	Mayor efecto «Eficacia» B: Negros
30098	Mayor efecto «Eficacia» A: Negros
30099	Mayor efecto «Eficacia» S: Negros
30100	Mayor efecto «Superfuerza» D: Negros
30101	Mayor efecto «Superfuerza» C: Negros
30102	Mayor efecto «Superfuerza» B: Negros
30103	Mayor efecto «Superfuerza» A: Negros
30104	Mayor efecto «Superfuerza» S: Negros
30105	Mayor efecto «Dureza» D: Negros
30106	Mayor efecto «Dureza» C: Negros
30107	Mayor efecto «Dureza» B: Negros
30108	Mayor efecto «Dureza» A: Negros
30109	Mayor efecto «Dureza» S: Negros
30110	Mayor efecto «Eficacia» D: Ángeles
30111	Mayor efecto «Eficacia» C: Ángeles
30112	Mayor efecto «Eficacia» B: Ángeles
30113	Mayor efecto «Eficacia» A: Ángeles
30114	Mayor efecto «Eficacia» S: Ángeles
30115	Mayor efecto «Superfuerza» D: Ángeles
30116	Mayor efecto «Superfuerza» C: Ángeles
30117	Mayor efecto «Superfuerza» B: Ángeles
30118	Mayor efecto «Superfuerza» A: Ángeles
30119	Mayor efecto «Superfuerza» S: Ángeles
30120	Mayor efecto «Dureza» D: Ángeles
30121	Mayor efecto «Dureza» C: Ángeles
30122	Mayor efecto «Dureza» B: Ángeles
30123	Mayor efecto «Dureza» A: Ángeles
30124	Mayor efecto «Dureza» S: Ángeles
30125	Mayor efecto «Eficacia» D: Álienes
30126	Mayor efecto «Eficacia» C: Álienes
30127	Mayor efecto «Eficacia» B: Álienes
30128	Mayor efecto «Eficacia» A: Álienes
30129	Mayor efecto «Eficacia» S: Álienes
30130	Mayor efecto «Superfuerza» D: Álienes
30131	Mayor efecto «Superfuerza» C: Álienes
30132	Mayor efecto «Superfuerza» B: Álienes
30133	Mayor efecto «Superfuerza» A: Álienes
30134	Mayor efecto «Superfuerza» S: Álienes
30135	Mayor efecto «Dureza» D: Álienes
30136	Mayor efecto «Dureza» C: Álienes
30137	Mayor efecto «Dureza» B: Álienes
30138	Mayor efecto «Dureza» A: Álienes
30139	Mayor efecto «Dureza» S: Álienes
30140	Mayor efecto «Eficacia» D: Zombis
30141	Mayor efecto «Eficacia» C: Zombis
30142	Mayor efecto «Eficacia» B: Zombis
30143	Mayor efecto «Eficacia» A: Zombis
30144	Mayor efecto «Eficacia» S: Zombis
30145	Mayor efecto «Superfuerza» D: Zombis
30146	Mayor efecto «Superfuerza» C: Zombis
30147	Mayor efecto «Superfuerza» B: Zombis
30148	Mayor efecto «Superfuerza» A: Zombis
30149	Mayor efecto «Superfuerza» S: Zombis
30150	Mayor efecto «Dureza» D: Zombis
30151	Mayor efecto «Dureza» C: Zombis
30152	Mayor efecto «Dureza» B: Zombis
30153	Mayor efecto «Dureza» A: Zombis
30154	Mayor efecto «Dureza» S: Zombis
30155	Aumento de ataque D: Aku
30156	Aumento de ataque C: Aku
30157	Aumento de ataque B: Aku
30158	Aumento de ataque A: Aku
30159	Aumento de ataque S: Aku
30160	Mejora de defensa D: Aku
30161	Mejora de defensa C: Aku
30162	Mejora de defensa B: Aku
30163	Mejora de defensa A: Aku
30164	Mejora de defensa S: Aku
30165	Mayor efecto «Eficacia» D: Aku
30166	Mayor efecto «Eficacia» C: Aku
30167	Mayor efecto «Eficacia» B: Aku
30168	Mayor efecto «Eficacia» A: Aku
30169	Mayor efecto «Eficacia» S: Aku
30170	Mayor efecto «Superfuerza» D: Aku
30171	Mayor efecto «Superfuerza» C: Aku
30172	Mayor efecto «Superfuerza» B: Aku
30173	Mayor efecto «Superfuerza» A: Aku
