000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
020	La sincérité est la voie du guerrier.<br>Santé et attaques exceptionnelles.<br>Un Chat plein de ressources.	A ajouté la chevalerie à ses aptitudes.<br>Santé et attaques exceptionnelles.<br>Un Chat plein de ressources.	Qui a dit qu’on ne pouvait pas conjuguer fourneaux<br>et carnage ? Un cordon bleu qui lance de la crème fouettée<br>aux ennemis pour les ralentir.
021	Le Chat tank n’a pas écouté quand on lui a dit<br>que ce n’est pas la taille qui compte.<br>Son attaque est un peu plus renforcée. (Att. de zone)	A trouvé sa vocation : nourrir les Chats sumos.<br>Finis ton assiette, ou ça va barder !<br>Son attaque est un peu plus renforcée. (Att. de zone)	Défense et nutrition dans un seul petit récipient pratique.<br>Plus résistant que le Chat tank, avec une certaine vivacité<br>due à un entraînement intensif. (Att. de zone)
022	Le rythme dans la peau !<br>Production abordable. Le groove en plus.<br>C’est l’heure du boogie ! En piste !	Les percussions sont entraînantes !<br>Production abordable et rapide. Allez !<br>Danse jusqu’au bout de la nuit ! Sambaaaa !!!	Veut apporter de la joie à toutes les señoritas.<br>N’est jamais allé au Mexique, mais aime se prendre pour<br>un mariachi. Peut envoyer valdinguer les ennemis !
023	A déniché une jupe qui lui va comme un gant.<br>Aime la porter... tout le temps.<br>Variante améliorée de Chat gambettes.	En chinant, il est tombé sur un porte-jarretelles<br>au bazar à un euro.<br>Variante améliorée de Chat gambettes.	A lancé une mode devenue virale en choisissant le<br>sous-vêtement traditionnel pour montrer ses jambes galbées !<br>Attaques rapides avec chance de brise-barrière !
024	Venue tout droit des plaines du Valhalla<br>pour apporter le salut aux Battle Cats !<br>Utilise sa lance divine Miaounir. (Att. de zone)	A atteint sa forme ultime.<br>En a marre que Dieu la drague sans cesse.<br>Utilise sa lance divine Miaounir. (Att. de zone)	La malédiction est levée et la sauveuse des félins<br>est de retour ! Sa Miaounir améliorée transperce les ennemis,<br>les coupant dans leur élan. (Att. de zone)
025	Une arme féline ancestrale supposément à l’origine de<br>la première apocalypse.<br>Puissance offensive surnaturelle. (Att. de zone)	La première apocalypse, c’était bien lui !<br>Pas étonnant...<br>Puissance offensive surnaturelle. (Att. de zone)	On raconte qu’il a le pouvoir d’anéantir la Terre.<br>Libéré de ses chaînes, sa puissance<br>et sa vitesse sont inégalées. (Att. de zone)
026	Joined the war especially in order to seek "sweets".<br>Her ultimate attack is unleashing her ferocious dash!<br>Does joining the war stop her pursuit of hot guys?	Joined the war especially in order to seek "sweets".<br>She turned from a tomboy into a sexy princess.<br>Her ultimate attack is unleashing her ferocious dash!	
027	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and bought an item in a wig shop.	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and spent an entire fortune on plastic surgery.	
028	An experimental weapon: one speedy Cat,<br>protected by state-of-the-art capsule plastic.<br>Packs a punch, definitely can't take one.	Capsule Cat felt lonely and posted an ad for<br>roommates. Overestimated the space in his flat.<br>It's always cuddle time, whether they like it or not!	
029	Wears the mask which he borrowed without permission<br>from the adventurer Gamatoto who found the mask.<br>His only capability is wearing the mask though.	Finally became a wrestler.<br>Due to his class change, his talents<br>have increased considerably. (Area)	
030	Un Chat qui a atteint l’état de paix<br>et repoussé ses limites physiques.<br>Peut ralentir les ennemis flottants. (Att. de zone)	Un Chat Bodhisattva qui a fait preuve de compassion<br>à l’égard de tous les Battle Cats.<br>Peut ralentir les ennemis flottants. (Att. de zone)	La compassion éveillée émane de ce Chat.<br>Mais même Bouddha a son point faible, paraît-il.<br>Ses att. de zone peuvent affaiblir/ralentir les flottants.
031	Le bancho de l’école des Chats.<br>Peut immobiliser les ennemis flottants. (Att. de zone)<br>	En colère contre son père qui a mangé<br>sa crème glacée dans le frigo.<br>Peut immobiliser les ennemis flottants. (Att. de zone)	Un vilain Chat surnommé « le roi du poing rageur ».<br>Fan de pachinko. Échange ses gains contre des glaces.<br>Peut immobiliser les flottants/reliques. (Att. de zone)
032	Un étudiant décrocheur issu d’une école de danse réputée.<br>Peut être produit en masse pour un flash mob !<br>Peut ralentir les ennemis rouges.	Mieux vaut le regarder dans les yeux ! Cela dit, reste dans<br>le spectacle tout public grâce à ses mouvements maîtrisés.<br>Peut ralentir les ennemis rouges.	Renvoyée de son école de danse pour avoir improvisé<br>des chorégraphies très osées au spectacle de fin d’année.<br>Ralentit parfois les ennemis rouges.
033	Très efficace en hiver, pour information.<br>Dégâts des ennemis flottants fortement réduits.<br>Peut affaiblir les ennemis flottants.	S’est caché dans une télé pour faire peur aux gens<br>mais n’a jamais pu en sortir. Du coup, il hante la télé.<br>Résiste aux/affaiblit les ennemis flottants.	Chat hyper souple à l’aise dans les endroits étroits<br>et sombres. Annule les vagues offensives.<br>Balèze contre les flottants, peut affaiblir les ennemis.
034	Est-ce un Chat ?<br>Peut-être qu’en le faisant évoluer...<br>	Pfiou, je ne sais pas si c’est un Chat.<br>Sérieusement, je laisse tomber.<br>Repousse les ennemis. (Att. de zone)	Lassé de faire peur aux enfants, Luga a décidé<br>de devenir un héros masqué. Immobilise<br>et repousse les ennemis non-métal. (Att. de zone)
035	N’a peur de rien... tant qu’il ne quitte pas son sous-sol.<br>Un expert informatique connu pour ses messages incendiaires.<br>Spécialiste des attaques de très longue portée.	Connu pour ses gros boutons rouges.<br>Diplômé d’une grande école d’ingénieurs.<br>Spécialiste des attaques de très longue portée.	Maître de l’espace virtuel, il s’est lancé à corps perdu<br>dans la cryptomonnaie.<br>Ses att. de zone longue portée ralentissent les non-métal.
036	S’est construit dans la douleur d’avoir perdu chaque course.<br>A trouvé de la force dans les larmes de sa défaite.<br>Inflige des dégâts massifs aux ennemis flottants.	A fait de gros efforts pour passer outre ses défaites<br>incessantes. Depuis, il est béni par la victoire !<br>Inflige des dégâts massifs aux ennemis flottants.	On ne peut plus vraiment appeler ce Chat un Chat.<br>A subi une thérapie génique pour devenir champion<br>du monde. Dégâts extrêmes contre les ennemis flottants.
037	Suit la mode récente (?) des joujoux.<br>Ça a l’air drôle, quand même !<br>Production abordable, peut survivre aux dégâts.	A voulu partir à l’étranger pour découvrir une autre<br>culture. Est revenu en tenue traditionnelle.<br>Production abordable, peut survivre aux frappes fatales.	Fou de films d’horreur ou vrai f-f-fantôme ?<br>Le sceau mystique est sa facture d’électricité du mois...<br>Production abordable, survit 1 fois !
038	En a eu marre de changer les roues de voitures, alors en<br>est devenu une. Il tourne tellement vite qu’il s’enflamme.<br>Dégâts massifs contre les aliens. (Att. de zone)	En a eu marre de tourner en rond, alors a décidé<br>de devenir une galaxie.<br>Dégâts massifs contre les aliens. (Att. de zone)	Un Chat évolué toujours frais<br>et dispos au bureau.<br>Dégâts de zone massifs contre les aliens.
039	A trouvé une pomme géante qui flottait sur l’eau.<br>A décidé de s’en faire un costume.<br>Peut immobiliser les ennemis rouges.	A trouvé une tête géante assise sur une route.<br>A décidé de s’en faire un costume.<br>Peut immobiliser les ennemis rouges.	A trouvé une pomme colorée près de la Silicon<br>Valley alors qu’il faisait du shopping.<br>Ses att. de zone immobilisent les rouges à 100 %.
040	Il aime se laver... tout le temps !<br>Inflige des dégâts massifs aux ennemis rouges.<br>	Il aime se laver... tout le temps !<br>Apprécie les bons bains chauds au calme. Ne pas déranger !<br>Inflige des dégâts massifs aux ennemis rouges.	Un bain moussant exubérant orné de feuilles d’or !<br>Ses jets hyper puissants infligent des dégâts massifs<br>aux ennemis rouges un peu trop sales.
041	Rien n’est plus important que de prendre soin de soi.<br>S’allie parfaitement au Chat gambettes.<br>Portée d’attaque exceptionnelle. (Att. de zone)	Une minette très élégante qui se fait appeler Jeanne.<br>Il se pourrait qu’elle soit française.<br>Portée d’attaque exceptionnelle. (Att. de zone)	L’ange bionique des combats dans toute sa splendeur.<br>Parfaite sur le plan esthétique comme sur le plan technique.<br>Spécialiste des attaques de zone longue portée.
042	Un Chat fasciné par une fille venue du royaume<br>de glace. Il est complètement givré.<br>Peut immobiliser les ennemis rouges. (Att. de zone)	Au fait, ce Chat est et restera un glaçon.<br>Ça n’a pas l’air de le déranger.<br>Peut immobiliser les ennemis rouges. (Att. de zone)	La domination de la reine de glace se renforce, tout comme<br>le bloc de cristal de son compagnon félin.<br>Immobilise les ennemis rouges. (Att. de zone)
043	Prototype d’un système d’arme mécanique (SAM)<br>conçu par le gouvernement. (Att. de zone)<br>Résiste aux attaques des rouges/aliens.	Un SAM testé au combat qui est parvenu à s’échapper<br>du centre de recherche. (Att. de zone)<br>Résiste aux attaques des rouges/aliens.	Machine de guerre dernière génération, le SAM RX-Ω<br>a intégré l’armée des Chats !<br>Résiste aux att. des rouges/aliens, immun. vagues offensives.
044	Un Chat fou qui s’est sacrifié<br>pour un démon des enfers.<br>Attaque avec une force extrême.	Le Chat fou est parvenu à contrôler<br>le démon des enfers.<br>Attaque avec une force extrême.	Ses pérégrinations dans l’abîme lui ont provoqué<br>des pulsions diaboliques qui l’ont rendu fou.<br>Dégâts considérables à un seul ennemi.
045	A sweet rookie entertainer, allergic to<br>green tea, better at keytar than shamisen.<br>	Years of life in the floating world made<br>her a cool cynic. Her distant attitude<br>befits her long-distance attacking power.	
046	Descendant d’une ancienne race de Chats<br>de l’ère jurassique.<br>Ses attaques peuvent être critiques.	Descendant d’une ancienne race de Chats<br>qui s’occupe des petits de l’ère jurassique.<br>Ses attaques peuvent être critiques.	A découvert un dinosaure dans un endroit magique<br>rempli de champignons. Les petits ont de la place !<br>Ses attaques peuvent être critiques.
047	Un Chat de combat qui a lu<br>beaucoup trop de romans fantastiques.<br>Assure contre les ennemis rouges.	Ayant découvert Internet, ce Chat s’est commandé<br>une armure et une arme sur-mesure.<br>Assure contre les ennemis rouges.	Son armure « sur-mesure » est de très mauvaise qualité...<br>Mais même les accessoires de pacotille lui suffisent<br>à infliger des dégâts de zone massifs aux ennemis rouges.
048	Il se prend pour un célèbre pirate de dessin animé<br>et rêve d’être le roi des pirates. Il ne sait pas nager...<br>Peut repousser les ennemis rouges.	Pense toujours que les pirates sont cools. Ne sait toujours<br>pas nager. Et ne s’entend plus avec le Chat ninja.<br>Peut repousser les ennemis rouges.	Vient d’apprendre qu’il existe des films de pirates,<br>ce qui l’a motivé à améliorer son navire.<br>Peut repousser les ennemis rouges.
049	Bouge vite. Vole encore plus vite.<br>Rentabilité accrue lorsque des ennemis sont vaincus.<br>	Bouge trop vite. Vole toujours.<br>A amassé bien des trésors...<br>Rentabilité accrue lorsque des ennemis sont vaincus.	Un bandit légendaire vu pour la dernière fois au Japon,<br>luttant contre la tyrannie d’un shogun. Détrousse ses<br>ennemis avec ses attaques de zone.
050	Un Chat miséricordieux qui apporte paix et amour à tous<br>ses fidèles. Facture les confessions.<br>Peut ralentir les ennemis flottants.	Enveloppe les ennemis d’une sérénité gracieuse<br>qui les accompagne dans l’au-delà.<br>Peut ralentir les ennemis flottants.	Cherche à sauver les âmes par le biais de l’éveil spirituel<br>mais pour le moment, se contente d’attaquer la faune locale.<br>Peut ralentir les ennemis flottants. (Att. de zone)
051	Un Chat qui adore l’idée de prédire l’avenir.<br>Il a lu beaucoup trop de livres sur l’astrologie.<br>Peut repousser les ennemis flottants.	Fils aîné d’un éminent pêcheur de thons.<br>Il a le mal de mer...<br>Peut repousser les ennemis flottants.	Adepte des remèdes les plus extrêmes.<br>Ce qui ne nous tue pas fonctionne forcément, non ?<br>Peut repousser les ennemis flottants.
052	Capable de communiquer avec les forces surnaturelles...<br>D’après le Wiki.<br>Peut immobiliser les ennemis flottants.	Il s’avère que c’était les forces surnaturelles qui<br>contrôlaient ce Chat, en fin de compte.<br>Peut immobiliser les ennemis flottants.	Des pouvoirs occultes se dégagent de sa danse ensorcelante.<br>Résisteras-tu à son groove démoniaque ?<br>Peut immobiliser les ennemis flottants plus longtemps.
053	Débloqué après avoir vu toutes les légendes.<br>Immobilise les ennemis.<br>À invoquer si tu perds du terrain.	Utilise des pouvoirs spéciaux pour arrêter le temps.<br>Immobilise les ennemis.<br>À invoquer si tu perds du terrain.	
054			
055	Une magicienne qui aurait préféré<br>ne pas être une sorcière.<br>Peut ralentir les ennemis rouges.	A acquis des pouvoirs magiques via des cours en ligne.<br>Elle fait sensation en soirée, mais elle n’est jamais payée.<br>Peut ralentir les ennemis rouges.	Se sert de son don de voyance pour prédire comment<br>devenir une vedette de télé. Son pouvoir stellaire<br>ne ralentit que les ennemis rouges.
056	Un Chat d’élite qui attaque efficacement à distance.<br>Ça picote !<br>Inflige des dégâts massifs aux ennemis flottants.	Tire des flèches d’amour sur ses adversaires insouciants.<br>N’aime pas souffrir.<br>Inflige des dégâts massifs aux ennemis flottants.	Autrefois constellation scintillante, ce demi-dieu<br>s’est enfui des cieux et décoche ses flèches sur<br>les ennemis flottants pour infliger des dégâts massifs.
057	Son épée maudite réduit la puissance d’attaque,<br>mais peut infliger des coups critiques.<br>Surnommé le « tueur de métal ».	L’épée maudite s’est emparée de ce Chat<br>qui est désormais un Chavalier maudit.<br>On le surnomme le « sombre Chavalier métal ». (Att. de zone)	Sa vertu a fini par l’emporter sur l’épée<br>maudite, la transformant en hache sacrée.<br>Ses attaques peuvent être critiques. (Att. de zone)
058	A suivi un entraînement spécifique pour devenir<br>un épéiste magicien. Un Battle Cat hautement efficace.<br>Son épée de feu inflige des dégâts massifs aux rouges.	Manie deux épées à la perfection.<br>Sait aussi utiliser la magie. Une association effrayante...<br>Ses épées de feu infligent des dégâts massifs aux rouges.	Maîtrise tellement bien ses épées qu’il peut maintenant<br>commander les forces mêmes de la nature.<br>Ses flammes infligent des dégâts massifs aux ennemis rouges.
059	Un chaton qui ne sait encore rien faire tout seul.<br>Heureusement que papa est là !<br>Peut repousser les ennemis flottants/aliens. (Att. de zone)	Accompagné de sa petite sœur.<br>Papa fait tout pour leur simplifier la vie.<br>Peuvent repousser les flottants/aliens. (Att. de zone)	Même à 7, ils ne savent pas faire grand-chose...<br>Heureusement, papa veille au grain et traque les vilains !<br>Leurs vagues off. de zone repoussent les flottants/aliens.
060	Un bon défenseur à la santé ridiculement élevée<br>et à l’attaque plus que décente.<br>Peut repousser les ennemis métal. (Att. de zone)	S’est plongé dans l’art puis est devenu<br>un sculpteur hors pair.<br>Peut repousser les ennemis métal. (Att. de zone)	Roi d’un quiz télévisé populaire<br>dont les questions sont relativement faciles.<br>Peut repousser les ennemis métal. (Att. de zone)
061	Des Chats qui se déplacent rapidement en tournant.<br>Cette viande fraîche est insensible aux coups. Résiste aux<br>ennemis rouges, peut affaiblir les ennemis. (Att. de zone)	Des Chats qui se déplacent rapidement en tournant.<br>Fan de rock. Résiste aux ennemis<br>rouges, peut affaiblir les ennemis. (Att. de zone)	Tu vas perdre, mais n’en fais pas tout un plat !<br>Fabulœufs en défense et attaque de zone.<br>Résiste aux ennemis rouges, peut affaiblir les ennemis.
062	Plastic capsule toy machine.<br>A Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	Plastic capsule toy machine.<br>Longer Cat that got into a tank (Area attack).<br>Shielded, so a bit more sturdy than Tank Cat.	
063	L’alliance de 3 Chats et d’1 Chat tank.<br>Ces Chats adorent le sport et veulent toujours<br>terminer en haut du podium. (Att. de zone)	L’alliance de 3 Chats et d’1 Chat tank.<br>Une équipe efficace, mais la victime est le Chat tank,<br>visiblement. (Att. de zone)	Personne ne voulait payer la rançon, alors ils brandissent<br>fièrement le Chat tank comme une bannière.<br>Efficacité moralement ambiguë ! (Att. de zone)
064			
065			
066			
067			
068			
069			
070	N’oublions pas ceux qui travaillent dur chaque jour.<br>Ce sont eux qui paient le Chadjoint. Il se prosterne<br>en dernier recours. Assure contre les ennemis rouges.	Un Chat salarié qui ne supportait plus les abus de son<br>chef et qui s’est tourné vers l’occultisme anti-rouges.<br>Qu’ils soient tous maudits ! (Att. de zone)	Ce monde est trop cruel et trop injuste ! Une rage primitive<br>s’est emparée de lui. Pourquoi déferler sa haine sur Internet<br>quand on peut le faire dans la vraie vie ? (Att. de zone)
071	Un célèbre guerrier transformé en général aux allures<br>d’oiseau par l’armure féline légendaire.<br>Inflige des dégâts massifs aux ennemis noirs.	A activé les propulseurs à réaction cachés de l’armure.<br>Rien ne peut l’arrêter, maintenant !<br>Inflige des dégâts massifs aux ennemis noirs.	Ses ailes écarlates mènent ce dieu de la guerre<br>en première ligne, qu’il rompt sans merci !<br>Inflige des dégâts massifs aux ennemis noirs.
072	Un guerrier transformé en général aux allures de tigre<br>par l’armure féline légendaire. (Att. de zone)<br>Résiste aux ennemis noirs, renforcé par les dégâts.	L’armure féline légendaire a évolué, et un cerisier<br>a poussé sur sa tête. (Att. de zone)<br>Résiste aux ennemis noirs, renforcé par les dégâts.	Plus le cerisier pousse, plus il veut se battre.<br>Résiste aux ennemis noirs, immunité aux vagues offensives.<br>Ses att. de zone sont renforcées quand il subit des dégâts.
073	Manifestation de la rancune de Nobunaga<br>représentée par un Chat. (Att. de zone)<br>100 % de chances d’immobiliser les ennemis noirs.	L’esprit de ce Chat ne trouve pas le repos.<br>Au contraire, sa rancune s’est intensifiée. (Att. de zone)<br>100 % de chances d’immobiliser les ennemis noirs.	Mène une armée d’esprits vengeurs dans le but de voir son<br>rêve d’alliance entre les cieux et les enfers se réaliser.<br>100 % de chances d’immobiliser les ennemis noirs. (Zone)
074	Les Chats ont tenté de rendre le Chat poisson plus mignon.<br>Il t’apporte le cadeau de tes rêves.<br>Rentabilité accrue lorsque des ennemis sont vaincus.	Les Chats ont tenté de rendre le Chat poisson plus goûteux.<br>Son sacrifice force le respect.<br>Rentabilité accrue lorsque des ennemis sont vaincus.	Cette unité conçue pour combattre a été repensée<br>pour ravir les gourmands. Ses attaques de zone rapportent<br>de l’argent bonus lorsque des ennemis sont vaincus.
075	Une fille de l’espace qui manipule le vent.<br>Son canon balayeur frappe les ennemis à distance.<br>Dégâts massifs contre les ennemis flottants. (Att. de zone)	Cette fille énigmatique entend le vent lui murmurer<br>à l’oreille. Il lui dit qu’il souffre...<br>Dégâts massifs contre les ennemis flottants. (Att. de zone)	Acheteuse compulsive de mechas dernier cri.<br>Son néo-canon balayeur frappe à longue distance.<br>Dégâts massifs contre les ennemis flottants. (Att. de zone)
076	Une fille de l’espace qui manipule l’électricité.<br>Elle abat ses éclairs à distance.<br>Dégâts massifs contre les ennemis rouges. (Att. de zone)	Ses douleurs cervicales chroniques la tracassent.<br>Aime regarder des dessins animés sur son temps libre.<br>Dégâts massifs contre les ennemis rouges. (Att. de zone)	Lorsqu’on a un corps de déesse, difficile de trouver<br>des vêtements à sa taille ! Att. de zone longue portée<br>qui infligent des dégâts massifs aux ennemis rouges.
077	Un très bon défenseur conçu d’après un téléphone.<br>Oui, un téléphone. Il danse mieux que le Chat tank.<br>Résiste aux attaques des ennemis métal. (Att. de zone)	Les Chats lui ont trouvé une coque magique.<br>Il est donc imperméable, maintenant.<br>Résiste aux attaques des ennemis métal. (Att. de zone)	Un bouclier durable et esthétique aux couleurs du printemps.<br>Un matériau tout nouveau, plus résistant<br>aux ennemis métal. (Att. de zone)
078	Sort de sa navette spatiale pour attaquer.<br>Santé faible, mais peut briser les barrières !<br>Ses attaques peuvent être critiques.	Était lieutenant avant de gravir les échelons.<br>Santé faible, mais peut briser les barrières !<br>Ses attaques peuvent être critiques.	Une machine de combat ultime en apesanteur<br>déployée pour préserver la gloire de l’Empire des Chats.<br>Brise-barrière et ses attaques peuvent être critiques.
079	Ce Chat a atteint l’âge légal et s’est mis à boire.<br>Ne fais pas attention aux cordes.<br>Assure contre les ennemis rouges.	Ce Chat a un peu trop bu.<br>L’alcool est à consommer avec modération !<br>Assure contre les ennemis rouges.	Au bout du 20e seau à champagne écumé, il s’est fait<br>enfermer pour son bien. Il effectue quand même des att.<br>longue portée et est fort contre les ennemis rouges.
080	Dissimule sa faiblesse derrière<br>le masque du démon.<br>Peut immobiliser les ennemis rouges.	Un Chat très bien habillé. Jusqu’à ce qu’il...<br>Appelle la police !<br>Peut immobiliser les ennemis rouges.	Un accord entre gentlemen. Enfin, celui du bas<br>n’était pas vraiment d’accord...<br>Peuvent immobiliser les ennemis rouges + brise-barrière !
081	Des Chats déguisés en poupées.<br>Leur santé est faible, mais ils lancent de puissants rayons<br>lasers pour abattre leurs ennemis. (Att. de zone)	Ce jeune Chat commande le robot-chat, Chat-o-tron,<br>et lance des rayons lasers. (Att. de zone)<br>Malheureusement, il n’est pas encore en WiFi.	Il a toujours le tout dernier modèle de tapis.<br>Il invoque son ami au turban pour lancer<br>de puissantes vagues offensives. (Att. de zone)
082	A appris le ninjutsu dans les mangas.<br>Plus fort que le Chat borgne. Et toc !<br>Hé les rouges, vous voulez vous battre ?	A approfondi ses connaissances grâce aux anime.<br>Plus fort que le Chat borgne. Et toc !<br>Hé les rouges, vous voulez vous battre ?	
