0|S0|I0	加速
125|S125|I238	招福轉蛋G券
126|S126|I239	招福轉蛋券
127|S127|I240	招福轉蛋券
128|S128|I241	招福轉蛋G券
129|S129|I242	招福轉蛋G券
130|S130|I243	招福轉蛋G券
131|S131|I244	招福轉蛋G券
132|S132|I245	招福轉蛋券
133|S133|I246	招福轉蛋G券
134|S134|I247	招福轉蛋券
135|S135|I248	招福轉蛋G券
136|S136|I249	招福轉蛋券
137|S137|I413	聖魔大戰巧克力
138|S138|I250	招福轉蛋G券
139|S139|I251	招福轉蛋券
140|S140|I617	菊石
141|S141|I252	招福轉蛋G券
142|S142|I253	招福轉蛋G券
143|S143|I254	招福轉蛋券
144|S144|I255	招福轉蛋G券
145|S145|I256	傳說券
146|S146|I257	招福轉蛋G券
147|S147|I258	招福轉蛋券
148|S148|I259	招福轉蛋券
149|S149|I260	招福轉蛋G券
150|S150|I261	招福轉蛋G券
151|S151	土豪貓3小時無限使用
152|S152	貓型電腦3小時無限使用
153|S153	狙擊手3小時無限使用
154|S154|I262	招福轉蛋G券
155|S155|I263	招福轉蛋券
156|S156|I264	招福轉蛋G券
157|S157|I270	白金券碎片
158|S158|I414	傳說的捕蟲網
159	XP 5000
160|S160|I515	惡貓薄荷種子
161|S161|I516	惡貓薄荷
164|S164|I517	黃金貓薄荷種子
166|S166|I418	傳說的情書
167|S167|I518	紫獸石
168|S168|I519	紅獸石
169|S169|I520	蒼獸石
170|S170|I521	翠獸石
171|S171|I522	黃獸石
172|S172|I419	傳說的聖水
173|S173|I420	傳說的捕蟲網
174|S174|I710	青銅勳章
175|S175|I711	白銀勳章
176|S176|I712	黃金勳章
177|S177|I713	白金勳章
179|S179|I523	紫獸結晶
180|S180|I524	紅獸結晶
181|S181|I525	蒼獸結晶
182|S182|I526	翠獸結晶
183|S183|I527	黃獸結晶
184|S184|I528	彩虹獸石
185|S185|I422	傳說金元寶
186|S186|I423	傳說的情書
187|S187|I618	紅磚Z
188|S188|I619	羽毛Z
189|S189|I620	備長炭Z
190|S190|I621	鋼製齒輪Z
191|S191|I622	黃金Z
192|S192|I623	宇宙石Z
193|S193|I624	神秘骨頭Z
194|S194|I625	菊石Z
195|S195|I424	傳說的聖水
196|S196|I425	傳說的捕蟲網
197	XP 1000000
30000	提升傷害 D: 紅
30001	提升傷害 C: 紅
30002	提升傷害 B: 紅
30003	提升傷害 A: 紅
30004	提升傷害 S: 紅
30005	減輕傷害 D: 紅
30006	減輕傷害 C: 紅
30007	減輕傷害 B: 紅
30008	減輕傷害 A: 紅
30009	減輕傷害 S: 紅
30010	提升傷害 D: 浮
30011	提升傷害 C: 浮
30012	提升傷害 B: 浮
30013	提升傷害 A: 浮
30014	提升傷害 S: 浮
30015	減輕傷害 D: 浮
30016	減輕傷害 C: 浮
30017	減輕傷害 B: 浮
30018	減輕傷害 A: 浮
30019	減輕傷害 S: 浮
30020	提升傷害 D: 黑
30021	提升傷害 C: 黑
30022	提升傷害 B: 黑
30023	提升傷害 A: 黑
30024	提升傷害 S: 黑
30025	減輕傷害 D: 黑
30026	減輕傷害 C: 黑
30027	減輕傷害 B: 黑
30028	減輕傷害 A: 黑
30029	減輕傷害 S: 黑
30030	減輕傷害 D: 鋼
30031	減輕傷害 C: 鋼
30032	減輕傷害 B: 鋼
30033	減輕傷害 A: 鋼
30034	減輕傷害 S: 鋼
30035	提升傷害 D: 天
30036	提升傷害 C: 天
30037	提升傷害 B: 天
30038	提升傷害 A: 天
30039	提升傷害 S: 天
30040	減輕傷害 D: 天
30041	減輕傷害 C: 天
30042	減輕傷害 B: 天
30043	減輕傷害 A: 天
30044	減輕傷害 S: 天
30045	提升傷害 D: 異
30046	提升傷害 C: 異
30047	提升傷害 B: 異
30048	提升傷害 A: 異
30049	提升傷害 S: 異
30050	減輕傷害 D: 異
30051	減輕傷害 C: 異
30052	減輕傷害 B: 異
30053	減輕傷害 A: 異
30054	減輕傷害 S: 異
30055	提升傷害 D: 死
30056	提升傷害 C: 死
30057	提升傷害 B: 死
30058	提升傷害 A: 死
30059	提升傷害 S: 死
30060	減輕傷害 D: 死
30061	減輕傷害 C: 死
30062	減輕傷害 B: 死
30063	減輕傷害 A: 死
30064	減輕傷害 S: 死
30065	強化善於攻擊 D: 紅
30066	強化善於攻擊 C: 紅
30067	強化善於攻擊 B: 紅
30068	強化善於攻擊 A: 紅
30069	強化善於攻擊 S: 紅
30070	強化超大傷害 D: 紅
30071	強化超大傷害 C: 紅
30072	強化超大傷害 B: 紅
30073	強化超大傷害 A: 紅
30074	強化超大傷害 S: 紅
30075	強化很耐打 D: 紅
30076	強化很耐打 C: 紅
30077	強化很耐打 B: 紅
30078	強化很耐打 A: 紅
30079	強化很耐打 S: 紅
30080	強化善於攻擊 D: 浮
30081	強化善於攻擊 C: 浮
30082	強化善於攻擊 B: 浮
30083	強化善於攻擊 A: 浮
30084	強化善於攻擊 S: 浮
30085	強化超大傷害 D: 浮
30086	強化超大傷害 C: 浮
30087	強化超大傷害 B: 浮
30088	強化超大傷害 A: 浮
30089	強化超大傷害 S: 浮
30090	強化很耐打 D: 浮
30091	強化很耐打 C: 浮
30092	強化很耐打 B: 浮
30093	強化很耐打 A: 浮
30094	強化很耐打 S: 浮
30095	強化善於攻擊 D: 黑
30096	強化善於攻擊 C: 黑
30097	強化善於攻擊 B: 黑
30098	強化善於攻擊 A: 黑
30099	強化善於攻擊 S: 黑
30100	強化超大傷害 D: 黑
30101	強化超大傷害 C: 黑
30102	強化超大傷害 B: 黑
30103	強化超大傷害 A: 黑
30104	強化超大傷害 S: 黑
30105	強化很耐打 D: 黑
30106	強化很耐打 C: 黑
30107	強化很耐打 B: 黑
30108	強化很耐打 A: 黑
30109	強化很耐打 S: 黑
30110	強化善於攻擊 D: 天
30111	強化善於攻擊 C: 天
30112	強化善於攻擊 B: 天
30113	強化善於攻擊 A: 天
30114	強化善於攻擊 S: 天
30115	強化超大傷害 D: 天
30116	強化超大傷害 C: 天
30117	強化超大傷害 B: 天
30118	強化超大傷害 A: 天
30119	強化超大傷害 S: 天
30120	強化很耐打 D: 天
30121	強化很耐打 C: 天
30122	強化很耐打 B: 天
30123	強化很耐打 A: 天
30124	強化很耐打 S: 天
30125	強化善於攻擊 D: 異
30126	強化善於攻擊 C: 異
30127	強化善於攻擊 B: 異
30128	強化善於攻擊 A: 異
30129	強化善於攻擊 S: 異
30130	強化超大傷害 D: 異
30131	強化超大傷害 C: 異
30132	強化超大傷害 B: 異
30133	強化超大傷害 A: 異
30134	強化超大傷害 S: 異
30135	強化很耐打 D: 異
30136	強化很耐打 C: 異
30137	強化很耐打 B: 異
30138	強化很耐打 A: 異
30139	強化很耐打 S: 異
30140	強化善於攻擊 D: 死
30141	強化善於攻擊 C: 死
30142	強化善於攻擊 B: 死
30143	強化善於攻擊 A: 死
30144	強化善於攻擊 S: 死
30145	強化超大傷害 D: 死
30146	強化超大傷害 C: 死
30147	強化超大傷害 B: 死
30148	強化超大傷害 A: 死
30149	強化超大傷害 S: 死
30150	強化很耐打 D: 死
30151	強化很耐打 C: 死
30152	強化很耐打 B: 死
30153	強化很耐打 A: 死
30154	強化很耐打 S: 死
30155	提升傷害 D: 惡
30156	提升傷害 C: 惡
30157	提升傷害 B: 惡
30158	提升傷害 A: 惡
30159	提升傷害 S: 惡
30160	減輕傷害 D: 惡
30161	減輕傷害 C: 惡
30162	減輕傷害 B: 惡
30163	減輕傷害 A: 惡
30164	減輕傷害 S: 惡
30165	強化善於攻擊 D: 惡
30166	強化善於攻擊 C: 惡
30167	強化善於攻擊 B: 惡
30168	強化善於攻擊 A: 惡
30169	強化善於攻擊 S: 惡
30170	強化超大傷害 D: 惡
30171	強化超大傷害 C: 惡
30172	強化超大傷害 B: 惡
30173	強化超大傷害 A: 惡
30174	強化超大傷害 S: 惡
30175	強化很耐打 D: 惡
30176	強化很耐打 C: 惡
30177	強化很耐打 B: 惡
30178	強化很耐打 A: 惡
30179	強化很耐打 S: 惡
