0|S0|I0	스피드 업
10622	냥코 연구가
15017	슈퍼 스타 귀여미
15031	고양이 여래
15032	격노의 고양이 일진
15033	고양이 캉캉
15034	고양이 문어단지
15035	울트라 케사란
15036	고양이 슈퍼 해커
15037	고양이 반인어
15038	고양이 강시
15039	고양이 쿨
15040	iCat
15041	고양이 욕조 골드
15042	고양이 퍼펙트
15043	고양이 아이스 크리스탈
15044	고양이 머신・멸
15045	헬파이어 도깨비 야옹마
15047	고양이 쥬라 사우루스
15048	맥시멈 파이터
15049	냥・스페로
15050	고양이 에몽
15051	고양이 법사
15052	고양이 의사
15053	고양이 라만사 댄스
15056	고양이 소서리스
15057	고양이 궁수자리
15058	고양이 파라딘
15059	쌍염무 고양이 마검사
15060	고양이 베이비카트
15062	고양이 연어알
15072	비약의 무신・그리폰
15073	진노의 백호
15074	천마의 하데스
15076	질풍의 신・윈디α
15077	천둥의 신・산디아β
15084	지룡황제 소돔
15085	성룡황제 메기도라
15086	용기사황제 바르스
15087	신룡황제 카무쿠라
15088	용병기황제 라이덴
15106	골드 쿠우γ
15107	슈퍼 카이μ
15108	샤이니 갓파κ
15124	발키리 냥코
15125	사안의 오딘
15126	분노의 투우 아수라
15130	순금 고양이 빌더
15135	용궁초수 킹거북레온
15136	궁극전사 코즈믹 코스모
15137	폭주형제 피치저스티스
15138	이동요새 골드카무이
15139	파괴위성 카오스문
15144	조이풀 고양이 간호사
15145	냥코 성 Max
15146	로데오 고양이
15147	고양이 잡기단
15148	로봇 고양이
15149	고양이 라면의 길
15150	카메라맨 고양이
15151	창가의 무희 고양이
15152	고양이 딜리버리
15153	고양이 콤비
15154	고양이 클래식
15159	격노의 사라만다
15160	명계의XX칼리파
15169	아타타타아시란
15170	E・쿠비란파사란
15172	피카란바라란
15174	사회의 일원
15175	태평양의 주인
15178	패룡황제 디오라무스
15181	수수께끼의 고양이귀 소녀 유키
15186	혁명의 하루슈토CC
15188	휴일의 기사님 유벤스CC
15189	영안의 미스티카CC
15195	인펠・아키라
15196	스페이스 메카소녀 진
15197	캣맨라이징
15198	데빌 사이킥 냥코
15199	대마왕 고양이
15200	고양이 표류기
15204	화염저격대 너굴냥즈
15213	그레이 폭스
15227	과학자 클레이G
15228	사신 냥프킨
15229	코스프레 할로윈 귀요미
15238	고양이 명예교수
15239	고양이 도령의 파파의 파파
15240	고양고르고31
15241	가시란시시가미
15249	부활한 냥코
15258	G기간트 제우스
15259	G퍼펙트 아누비스
15260	G메가로디테
15262	섬멸 송골매
15271	광란의 고양이귀 유키
15272	G테라 아마테라스
15273	G가네샤 엑사
15277	초여름 해변의 귀요미
15283	냥코 고저스 삼바
15284	묘권왕 파이파이DX
15287	광전휘병 윙 레이
15303	고양이 서큐버스
15305	초격멸전차 기가파르도
15306	초무적함대 시갈레온
15307	초비행전함 보르본바
15308	고양이 빨래봉
15309	고양이 풀베기
15311	고양이 간호사 산타마리아
15315	신춘 신정의 귀요미
15317	G포세이도라군
15320	개심의 고양이
15323	질주 락밴드 몽키헤븐
15326	고양이 리벤지
15331	봄나들이 사라만다
15332	극악 클라운 매드 덕
15333	개화・이스타바니 귀요미
15335	풍요의 여우공주 하늘나리
15336	용궁의 인어공주 루리
15337	황금의 미라공주 레이카
15339	화염의 누아다
15342	잃어버린 세계의 고양이귀 유키
15345	채색의 오르토스CC
15346	낮잠의 미세리아CC
15352	쌍둥이별 시시루와 코마리Φ
15356	초시공기지 아마겟돈
15358	도화의 늑대공주 딜
15359	행복한 신부 버베나
15360	불꽃의 정령왕 메라버닝
15361	유수의 정령왕 마리리린
15362	폭풍의 정령왕 에어리린
15363	세이버 오르타CC
15371	꿈꾸는 고양이 사쿠라
15377	고양이 위성
15378	자유의 고양이
15391	야구맨 1호CC
15392	야구맨 2호CC
15393	야구맨 3호CC
15394	삼바 니지마 사키CC
15395	암흑 스바루CC
15396	야구맨 5호CC
15397	고룡황제 강글리온
15398	천주 사쿠라
15402	벼락의 정령왕 기가볼트
15410	재회의 꼬맹이 레이
15411	안대 꼬맹이 아스카
15414	결의의 에바 초호기&고양이
15415	에바 개 2호기 코드777
15418	초지하전대 그란돈
15428	고양이 퀘스트XI-2
15432	마신탐정 그라티비
15437	노비란 터번
15438	초・신 골든
15440	G크로노스 트리거
15444	신 파워 드릴러
15445	신 파워 드라이버
15446	신 파워 커터 고양이
15447	신 파워 포클레인 고양이
15448	신  파워 직쏘고양이
15451	천마성용 바벨
15457	흑화 사쿠라CC
15468	슈퍼S 제우스
15469	헤드 로코코
15470	슈퍼D 데빌
15483	행복을 바란 고양이귀 소우마
15489	살신의 선함 NNN 고양이 분더
15496	고양이 벨리댄스
15497	호염의 미네르바
15503	럭셔리 멜슈ξ
15506	각룡황제 그라디오스
15507	무명의 아이월츠CC
15512	카게나루모노
15520	신 라스트 보스
15523	고양이 마신
15524	고양이 마스터
15526	초총전대 긴레인저
15534	배드 블래스터 사키
15535	G데스 하데스
15547	스케란카쿠란
15557	고스트 알리바바
15564	아쿠아 블래스터 사키
15565	엘레강스 파사란
15566	선탠 고양이 파마
15567	고양이 젤라또
15570	암석의 정령왕 스톤헨지
15571	할로윈 나이트 바르스
15585	크리스마스 백호 DX
15590	진심・발렌타인 귀요미
15595	초수송병단 아틀란티스
15596	신춘룡왕 카무쿠라
15608	전설의 모험 소녀 칸나
15611	가면 킹 고양이
15615	남국위성 슈퍼 샤인
15618	데빌 헌터 사토루
15619	원망의 마신 아레스
15620	와이즈 리린π
15621	사룡황제 헤비저크
15632	암흑의 정령왕 야미슈발츠
15633	초전자전기 디아 볼로스
15634	대요괴 결사 짹짹
15643	G그랜드 루시퍼
15645	민초단 메카소녀 진
15657	고양이 토용
15659	배달 고양이
15660	고양이 타장
15664	고양이 방독면
15665	수술 고양이
15666	냥소시스트
15670	고양이 선인장
15671	아머드 반딧불이 고양이
15676	고양이 스매시
15677	고양이 버섯
15686	고양이 슈퍼카
15692	에이프 고양이 루자
15698	고양이 촌장
15701	고양이 히트맨
15707	고양이 비누
15708	고양이 나무통
15714	고양이 삐에로
16131	각성의 나비와 우루룬
16173	각성의 꼬양이 야옹마
16269	각성의 러블리 냥미
16324	각성의 주연 무사시
16427	고양이 라이더 맴매-L
16463	메타 필리버스터
16465	각성전사 도그에몽
16533	각성한 미케와 우르스
16614	각성한 고양이 가면신 드론
16654	각성 고대수 나라
18025	고양이 발키리・성
18026	각성의 고양이 무트
19001	고양이 모히칸
19002	고무 고양이
19003	암흑 고양이
19004	불끈다리 고양이
19005	고양이 라이온
19006	천공의 고양이
19007	고양이 섬
19008	고양이 킹드래곤
19009	고양이 쟈라미
19010	레전드 고양이 초인
30000	데미지 업 D: 빨
30001	데미지 업 C: 빨
30002	데미지 업 B: 빨
30003	데미지 업 A: 빨
30004	데미지 업 S: 빨
30005	데미지 경감 D: 빨
30006	데미지 경감 C: 빨
30007	데미지 경감 B: 빨
30008	데미지 경감 A: 빨
30009	데미지 경감 S: 빨
30010	데미지 업 D: 떠
30011	데미지 업 C: 떠
30012	데미지 업 B: 떠
30013	데미지 업 A: 떠
30014	데미지 업 S: 떠
30015	데미지 경감 D: 떠
30016	데미지 경감 C: 떠
30017	데미지 경감 B: 떠
30018	데미지 경감 A: 떠
30019	데미지 경감 S: 떠
30020	데미지 업 D: 검
30021	데미지 업 C: 검
30022	데미지 업 B: 검
30023	데미지 업 A: 검
30024	데미지 업 S: 검
30025	데미지 경감 D: 검
30026	데미지 경감 C: 검
30027	데미지 경감 B: 검
30028	데미지 경감 A: 검
30029	데미지 경감 S: 검
30030	데미지 경감 D: 메
30031	데미지 경감 C: 메
30032	데미지 경감 B: 메
30033	데미지 경감 A: 메
30034	데미지 경감 S: 메
30035	데미지 업 D: 천
30036	데미지 업 C: 천
30037	데미지 업 B: 천
30038	데미지 업 A: 천
30039	데미지 업 S: 천
30040	데미지 경감 D: 천
30041	데미지 경감 C: 천
30042	데미지 경감 B: 천
30043	데미지 경감 A: 천
30044	데미지 경감 S: 천
30045	데미지 업 D: 에
30046	데미지 업 C: 에
30047	데미지 업 B: 에
30048	데미지 업 A: 에
30049	데미지 업 S: 에
30050	데미지 경감 D: 에
30051	데미지 경감 C: 에
30052	데미지 경감 B: 에
30053	데미지 경감 A: 에
30054	데미지 경감 S: 에
30055	데미지 업 D: 좀
30056	데미지 업 C: 좀
30057	데미지 업 B: 좀
30058	데미지 업 A: 좀
30059	데미지 업 S: 좀
30060	데미지 경감 D: 좀
30061	데미지 경감 C: 좀
30062	데미지 경감 B: 좀
30063	데미지 경감 A: 좀
30064	데미지 경감 S: 좀
30065	엄청 강하다 강화 D: 빨
30066	엄청 강하다 강화 C: 빨
30067	엄청 강하다 강화 B: 빨
30068	엄청 강하다 강화 A: 빨
30069	엄청 강하다 강화 S: 빨
30070	초 데미지 강화 D: 빨
30071	초 데미지 강화 C: 빨
30072	초 데미지 강화 B: 빨
30073	초 데미지 강화 A: 빨
30074	초 데미지 강화 S: 빨
30075	맷집이 좋다 강화 D: 빨
30076	맷집이 좋다 강화 C: 빨
30077	맷집이 좋다 강화 B: 빨
30078	맷집이 좋다 강화 A: 빨
30079	맷집이 좋다 강화 S: 빨
30080	엄청 강하다 강화 D: 떠
30081	엄청 강하다 강화 C: 떠
30082	엄청 강하다 강화 B: 떠
30083	엄청 강하다 강화 A: 떠
30084	엄청 강하다 강화 S: 떠
30085	초 데미지 강화 D: 떠
30086	초 데미지 강화 C: 떠
30087	초 데미지 강화 B: 떠
30088	초 데미지 강화 A: 떠
30089	초 데미지 강화 S: 떠
30090	맷집이 좋다 강화 D: 떠
30091	맷집이 좋다 강화 C: 떠
30092	맷집이 좋다 강화 B: 떠
30093	맷집이 좋다 강화 A: 떠
30094	맷집이 좋다 강화 S: 떠
30095	엄청 강하다 강화 D: 검
30096	엄청 강하다 강화 C: 검
30097	엄청 강하다 강화 B: 검
30098	엄청 강하다 강화 A: 검
30099	엄청 강하다 강화 S: 검
30100	초 데미지 강화 D: 검
30101	초 데미지 강화 C: 검
30102	초 데미지 강화 B: 검
30103	초 데미지 강화 A: 검
30104	초 데미지 강화 S: 검
30105	맷집이 좋다 강화 D: 검
30106	맷집이 좋다 강화 C: 검
30107	맷집이 좋다 강화 B: 검
30108	맷집이 좋다 강화 A: 검
30109	맷집이 좋다 강화 S: 검
30110	엄청 강하다 강화 D: 천
30111	엄청 강하다 강화 C: 천
30112	엄청 강하다 강화 B: 천
30113	엄청 강하다 강화 A: 천
30114	엄청 강하다 강화 S: 천
30115	초 데미지 강화 D: 천
30116	초 데미지 강화 C: 천
30117	초 데미지 강화 B: 천
30118	초 데미지 강화 A: 천
30119	초 데미지 강화 S: 천
30120	맷집이 좋다 강화 D: 천
30121	맷집이 좋다 강화 C: 천
30122	맷집이 좋다 강화 B: 천
30123	맷집이 좋다 강화 A: 천
30124	맷집이 좋다 강화 S: 천
30125	엄청 강하다 강화 D: 에
30126	엄청 강하다 강화 C: 에
30127	엄청 강하다 강화 B: 에
30128	엄청 강하다 강화 A: 에
30129	엄청 강하다 강화 S: 에
30130	초 데미지 강화 D: 에
30131	초 데미지 강화 C: 에
30132	초 데미지 강화 B: 에
30133	초 데미지 강화 A: 에
30134	초 데미지 강화 S: 에
30135	맷집이 좋다 강화 D: 에
30136	맷집이 좋다 강화 C: 에
30137	맷집이 좋다 강화 B: 에
30138	맷집이 좋다 강화 A: 에
30139	맷집이 좋다 강화 S: 에
30140	엄청 강하다 강화 D: 좀
30141	엄청 강하다 강화 C: 좀
30142	엄청 강하다 강화 B: 좀
30143	엄청 강하다 강화 A: 좀
30144	엄청 강하다 강화 S: 좀
30145	초 데미지 강화 D: 좀
30146	초 데미지 강화 C: 좀
30147	초 데미지 강화 B: 좀
30148	초 데미지 강화 A: 좀
30149	초 데미지 강화 S: 좀
30150	맷집이 좋다 강화 D: 좀
30151	맷집이 좋다 강화 C: 좀
30152	맷집이 좋다 강화 B: 좀
30153	맷집이 좋다 강화 A: 좀
30154	맷집이 좋다 강화 S: 좀
30155	데미지 업 D: 악
30156	데미지 업 C: 악
30157	데미지 업 B: 악
30158	데미지 업 A: 악
30159	데미지 업 S: 악
30160	데미지 경감 D: 악
30161	데미지 경감 C: 악
30162	데미지 경감 B: 악
30163	데미지 경감 A: 악
30164	데미지 경감 S: 악
30165	엄청 강하다 강화 D: 악
30166	엄청 강하다 강화 C: 악
30167	엄청 강하다 강화 B: 악
30168	엄청 강하다 강화 A: 악
30169	엄청 강하다 강화 S: 악
30170	초 데미지 강화 D: 악
30171	초 데미지 강화 C: 악
30172	초 데미지 강화 B: 악
30173	초 데미지 강화 A: 악
30174	초 데미지 강화 S: 악
30175	맷집이 좋다 강화 D: 악
30176	맷집이 좋다 강화 C: 악
30177	맷집이 좋다 강화 B: 악
30178	맷집이 좋다 강화 A: 악
30179	맷집이 좋다 강화 S: 악
