0|S0|I0	เร่งความเร็ว
189|S189|I620	ถ่านหิน Z
190|S190|I621	ฟันเฟือง Z
191|S191|I622	ทอง Z
192|S192|I623	อุกกาบาต Z
193|S193|I624	กระดูกอสูรกาย Z
194|S194|I625	แอมโมไนต์ Z
195|S195|I424	น้ำมนต์
196|S196|I425	ตาข่ายตำนาน
197	1000000 XP
199|S199|I427	เครื่องรางระดับตำนาน
200|S200|I428	จดหมายรัก
201|S201|I11	XP
202|S202|I429	น้ำมนต์
203|S203|I430	ตาข่ายตำนาน
204|S204|I431	กับดักตำนาน
206|S206|I433	วิญญาณตำนาน
209	ダミー
210	ダミー
211	ダミー
212|I265	ตั๋วฉลอง 100ล.ดล.
213|S213|I438	จดหมายรัก
1001	แมววันแข่งกีฬา
1003	แมวนุษย์เงินเดือน
1004	แมวปลาเรนเดียร์
1005	แมวสำริด
1006	แมวดรอยด์
1007	แมวผู้ใหญ่
1008	แมวมาร
1009	แมวตุ๊กตา
1010	แมวพรหมจารี
1011	แมวคาบาเรต์
1012	แมวปลาคาร์ป
1013	มาดามเจ้าสาว
1014	ราชินีพักร้อน
1015	แมวพยาบาท
1016	แมวกังฟู X
1018	แมวมาร์ชเมลโล
1019	Cat Kart R
1020	Baozi Cat
1021	แมวเบอร์เกอร์
1022	ฟักแมว
1023	ของขวัญแมว
1024	แมวเซกเวย์
1025	แมวอาวะโอโดริ
1026	แมวด่วนพิเศษ
1027	แมวลีกไมเนอร์
1028	แมวหาบเร่
1029	แมวเชียร์ลีดเดอร์
1030	แมวสังหาร
1031	แมวเคอร์ลิง
1032	แมวไข่สี
1033	แมว 3 พี่น้อง
1035	Squish Ball Cat
1036	แมววอลเลย์
1037	แมวแก้ว
1038	โมเนโกะคลั่ง
1039	แมวขี่ทาก
1040	แมวพเนจรกับลูกแมว
1041	แมวบุพกาล
1042	โดกุมารุ
1043	Cat Bros
1044	แมวจอมพลัง
1045	แมวเมดูซา
1046	แมวสไลม์
1047	แมวคอสแซก
1048	แมวคุณครูหมี
1049	เออร์สและเฟนเรอร์
1050	แมวรักบี้
1051	แมวแฟนท่อม
1052	แมวเบเกอรี่
1053	แมวหิน
1054	โดรอนหน้ากากอาวุโส
1055	นักวิจัยอากุ
1056	แมวเป่าปี่
1057	แมวคัดพู่กัน
1058	อสูรอาวุโสนาลา
1059	ไข่โบราณ: N001
1060	ไข่โบราณ: N003
1061	ไข่โบราณ: N004
1062	ไข่โบราณ: N000
1063	แมวแทงก์สังหาร
1064	ไข่โบราณ: N005
1065	แมวเจ็ตแพ็ก
1066	แมวข้าวโพด
1067	ไข่โบราณ: N006
1068	โซเครติสผู้ปราดเปรื่อง
1069	แมวนักโยนโบว์ลิ่ง
1100	แมวสำริด
1101	แมวอวกาศ
1102	แมวกระโดดเชือก
1103	แมวคลั่ง
1104	แมวแทงก์คลั่ง
1105	แมวขวานคลั่ง
1106	แมวอี๋คลั่ง
1107	แมววัวคลั่ง
1108	แมวนกคลั่ง
1109	แมวปลาคลั่ง
1110	แมวกิ้งก่าคลั่ง
1111	แมวไททันคลั่ง
1112	Healer
1113	หมาป่าอุรูรุน
1114	แมวหุ่นกลไก
1116	แมวฮูลาฮูป
1118	เนียนดัมเล็ก
1119	Takuya ＆ Yuki
1120	แมวนำขบวน
1121	HYAKUTARO
1122	Sleeping Beauty Punt
1130	แมวทอร์นาโด
1131	มีนาหนูน้อยหมวกแดง
1132	Funghi
1134	Li'l Madoka
1135	Kyubey Cat
1137	PIKOTARO
1139	มิยาโมกุ มูซาชิ
1140	Redhead Yuki Cat
1142	Li'l Shirou
1143	Akio Yabe
1144	Karin Nekozuka
1145	Misaki Konno
1146	Sairi Nijitani
1147	Ren Katagiri
1148	Mentori
1149	Shinji & Cat
1150	Giraffe Unit-01
1151	Pokota
1152	Ovis
1153	Coco
1157	เมคา-บัน
1158	Betakkuma
1160	Meowla Meowla
1162	Prince Yamato
1164	Kano ＆ Souma
1167	Ryu Cat
1168	Akuma Giraffe
1170	Miku Cat
1172	อิดี:N
1173	Ranma Cat (M)
1174	Godzilla Cat
1177	Osamu Mikumo & Cat
1178	Yuma Kuga & Cat
1183	Madhead
1184	Kenshin Cat
1185	ดอกเตอร์โนว่า ผู้รอบรู้เรื่องชีวิต
10010	แมวล่ำ
10011	แมวนักเต้น
10012	ไฮเปอร์มิสเตอร์
10013	แมวมัดเชือกอัลทิเมต
10014	ดาร์ก เลเซอร์
10015	แมวจักรจู่โจม
10016	แมวอมยิ้ม
10018	แมวล้อเดียว
10019	แมวนินจาบิน
10020	แมวโครงกระดูก
10021	แมวนักทำขนม
10022	แมวข้าวปั้น
10023	แมวอามีโก้
10024	แมวผ้าเตี่ยว
10027	Bridal Princess Punt
10061	แมวนักเล่นเกมตอบคำถาม
10064	แมวอาละวาด
10070	Oversleeping Beauty Punt
10071	แมวพิธีกรรม
10075	แมวปลาเค้กขอนไม้
10079	แมวนาวิกโยธินอวกาศ
10080	แมวนักโทษ
10081	พี่น้องแมวสุภาพบุรุษ
10082	เมี้ยวลาดิน
10089	แมวทำบะหมี่
10092	แมวโมฮอว์กคลุ้มคลั่ง
10093	แมวยางลบคลุ้มคลั่ง
10094	แมวมืดคลุ้มคลั่ง
10095	แมวนักกล้ามขาคลุ้มคลั่ง
10096	แมวสิงโตคลุ้มคลั่ง
10097	แมวบินคลุ้มคลั่ง
10098	แมวเกาะคลุ้มคลั่ง
10099	แมวเจ้ามังกรคลุ้มคลั่ง
10100	แมวจามีเอร่าคลุ้มคลั่ง
10101	แมวนักมวยปล้ำ
10104	แมวเมกะพิเศษ
10105	คิสและคาร์ป
10110	มาดามแห่งทุ่งสะวันนา
10120	Healer Cat CC
10122	Merc & Cat CC
10123	แมวคอลเซ็นเตอร์
10127	แมวเชิดหุ่นกับชาร์ลีย์
10128	แมวบอมบ์เบอร์
10129	แมวว่าว
10133	แมวกรงเล็บเหล็ก X
10155	แมวฮูลาฮูปมาสเตอร์
10180	Takuya＆ Lovely Yuki
10184	Cat Kart P
10192	Titi Cat CC
10202	แมวโมจิ
10210	แมวเล็กโมฮอว์ก
10211	แมวเล็กยางลบ
10212	แมวเล็กมืด
10214	แมวมื้อประหยัด
10246	แมวเล็กขาสวยนักกล้าม
10247	แมวเล็กสิงโต
10248	แมวเล็กบิน
10261	แมวย้อนเวลา
10268	แมวไต้ฝุ่น
10274	แมวโซบะ
10285	แมวความเร็วสูง
10288	แมวนักกอล์ฟ
10300	Li'l Ultimate Madoka
10301	Li'l Devil Homura
10304	แมวโรงอาหาร
10312	แมวเล็กเกาะ
10313	แมวเล็กเจ้ามังกร
10314	แมวเล็กจามีเอร่า
10325	แมวเต่าเขียว
10330	แมวไข่อีสเตอร์
10341	Redhead Muscled Yuki Cat
10353	แมวหน้ากากฤาษี
10370	Saber Alter Cat
10380	แมวแกงกะหรี่
10383	แมวคริสตัลนักกล้าม
10384	ยูลาล่าจิตวิญญาณ
10386	Akio & Gunder CC
10403	Plug Suit Shinji Black
10406	Moon Kaworu
10443	แมวท่องเที่ยว
10453	แมวอนาคต
10474	Rampaging Yamato
10475	Strike Angel
10522	แมวนากา
10528	แมวขนมจีบเจลลี่
10529	แมวองครักษ์หลวง
10532	แมวซากหมี
10540	แมวตะแกรงเหล็ก
10546	แมวฟองสบู่
10554	แมวไก่ทอด
10555	ยูริลสุดพิลึก
10622	แมวนักวิจัย
10630	แมวโมฮอว์กถูกล้างสมอง
10637	แมวยางลบถูกล้างสมอง
10646	แมวมืดถูกล้างสมอง
10655	แมวขามาโชที่ถูกล้างสมอง
10663	แมวสิงโตที่ถูกล้างสมอง
10668	แมวบินที่ถูกล้างสมอง
10685	แมวเกาะถูกล้างสมอง
10689	แมวราชามังกรถูกล้างสมอง
10695	แมวจามีเอร่าถูกล้างสมอง
15017	ซูเปอร์สตาร์โมเนโกะ
15031	แมวตถาคต
15032	แมวเกเรหัวหน้าแก๊ง
15033	แมวแคนแคน
15034	แมวปลาหมึกยักษ์
15035	อัลตราลัน พาซาลัน
15036	แมวไซเบอร์พังก์
15037	แมวนุษย์ปลา
15038	แมวเจียงซือ
15039	แมวเย็น
15040	ไอแคท
15041	แมวอ่างอาบน้ำหรู
15042	แมวไซบอร์ก
15043	แมวคริสตัลน้ำแข็ง
15044	เครื่องจักรแมว มาร์ก 3
15045	แมวอสูรไฟโลกันตร์
15047	แมวจูราซอรัส
15048	แมกซิมุสยอดนักสู้
15049	แมวสแปโร่
15050	แมวโกเอมอน
15051	แมวซัมจั๋ง
15052	แมวคุณหมอ
15053	แมวเนโครแดนเซอร์
15056	แมวจอมเวททรงเสน่ห์
15057	แมวครึ่งม้า
15058	แมวพาลาดิน
15059	แมวนักดาบพลังธาตุ
15060	แมวในเปล
15062	แมวไข่ปลา
15067	PPT46
15068	Crystal Li'l Gau Gau
15069	Judgment
15072	อสูรสงคราม ยูกิมุระ
15073	อสูรสงคราม เคย์จิ
15074	อสูรสงคราม โนบุนากะ
15076	เทพวินดี
15077	เทพธันเดีย
15084	โซดอมเทพจักรพรรดิ
15085	เมกิโดราเทพจักรพรรดิ
15086	วารส์เทพจักรพรรดิ
15087	คามุคุระเทพจักรพรรดิ
15088	ไรเด็นเทพจักรพรรดิ
15106	เทพคู
15107	เทพไค
15108	เทพคอปเปอร์ไมน์
15112	Frolicking Nono CC
15120	Wyvern and Alec
15124	แมววาลวาล
15125	อสูรสงคราม มาซามุเนะ
15126	อสูรสงคราม ชินเง็น
15130	แมวนักกล้ามเปล่งปลั่ง
15135	กาเมเรองจอมราชัน
15136	อัลทิมากาแล็กซีคอสโม่
15137	พี่น้องลูกท้อมาร
15138	มหาปราสาทเวทมนตร์ของจิโซะ
15139	จันทราวินาศ
15144	แมวพยาบาลเปี่ยมเมตตา
15145	ฐานทัพแมวอัลตร้า
15146	แมวโรดีโอ
15147	แมวกายกรรม
15148	โรโบแค็ต
15149	แมวราเมน
15150	แมวช่างภาพ
15151	จูเลียตไมโกะ
15152	แมวพิซซ่า
15153	แมวคู่หูคู่ฮา
15154	แมวแผ่นครั่ง
15159	อสูรสงคราม เคนชิน
15160	เทพคาลิซ่า
15161	Gekirinchi
15162	Manic Princess Punt
15169	อาสสาสสิลัน พาซาลัน
15170	อี. คุบิลัน พาซาลัน
15172	พิกโกลัน พาซาลัน
15174	Citizen Mola
15175	Master of the Pacific
15178	ดิโอรามอสเทพจักรพรรดิ
15181	Mystery Catgirl Yuki
15186	Revolutionary Hearscht CC
15188	Holiday Juvens CC
15189	Savior Mystica CC
15195	อากิระอเวจี
15196	ผู้บัญชาการเมกาโกะ
15197	อัลทิเมต แค็ตแมน
15198	แมวพลังจิตมาร
15199	แมวจอมเวทปีศาจ
15200	แมวท่องทะเล
15204	หน่วยจู่โจมกาจิยามะ
15213	จิ้งจอกเทา
15223	GOLDEN HUGE HERMIT CC
15224	GOLDEN JUPITER CC
15225	GOLDEN MORDEN CC
15226	HI-DO MK III
15227	นายแพทย์เคลย์ผู้บ้าคลั่ง
15228	แมวลางบอกเหตุ
15229	เนเนโกะใส่คอสตูมแม่มด
15238	อธิการบดีแมวอาชีวะ
15239	แมวมหาเศรษฐี
15240	แมวซุ่มยิง มือฉมัง
15241	ชิชิลัน พาซาลัน
15242	ภูติน้ำแข็งไค ไทป์มิว
15249	แมวชีวิตพิเศษ
15258	ซุสผู้ทรงพลัง
15259	อานูบิสผู้ทรงพลัง
15260	อะโฟรไดต์ผู้ทรงพลัง
15262	อสูรฮายาบูสะ
15271	Crazed Catgirl Yuki
15272	อามาเทราสุผู้ทรงพลัง
15273	พระคเณศผู้ทรงพลัง
15277	เนเนโกะรุ่งฤดูร้อน
15283	แมวสะโพกพริ้วรูปงาม
15284	พายพาย DX
15287	ยูนิตบิน R.E.I
15289	Ultimate Madoka
15290	Devil Homura
15303	แมวซักคิวบัสราชินี
15305	CAT-8 เบอฮีมอธ
15306	เรือรบแมวกรงเล็บพยัคฆ์
15307	ป้อมปราการนภา น.ก. รุ่น 02
15308	แมวแม่บ้าน
15309	แมวคนตัดหญ้า
15311	นางพยาบาลจิตวิญญาณคริสต์มาส
15315	เนเนโกะเทศกาลปีใหม่
15317	โพไซดอนผู้ทรงพลัง
15320	แมวอุดมการณ์
15323	วงปูลิงมหัศจรรย์
15326	แมวเซียนสังเวียน
15331	เคนชินลมฤดูใบไม้ผลิ
15332	เป็ดคลั่งประสงค์ร้าย
15333	เนเนโกะผู้เบิกบาน
15335	ฮิเมะยูริราชินีจิ้งจอก
15336	รูริราชินีเงือก
15337	เรย์กะอนันตกาล
15338	HMS Princess II CC
15339	อสูรสงคราม โยชิโมโตะ
15342	Lost World Catgirl Yuki
15345	Artist Orthos CC
15346	Naptime Michelia CC
15352	เทพทวินสตาร์
15356	ปืนใหญ่อวกาศแห่งวันโลกาวินาศ
15358	เดเอลราชินีตลก
15359	เวอร์บีนาผู้มั่งคั่ง
15360	บาซิบาสตรา
15361	มิซุริริน
15362	แอร์วานตา
15363	Saber Alter CC
15371	Dreaming Sakura Cat
15377	แมวดาวเทียม
15378	เทพีแมวแห่งเสรีภาพ
15391	Baseball Mask α
15392	Baseball Mask β
15393	Baseball Mask γ
15394	Samba Saki CC
15395	Dark Subaru CC
15396	Baseball Mask δ
15397	แกงเกลียน ผู้ถูกปลดปล่อย
15398	ใบดาบซากุระศักดิ์สิทธิ์
15402	กิกะโวลต้า
15410	Reunion Li'l Rei
15411	Eyepatch Li'l Asuka
15414	Determined Unit-01 & Cat
15415	Unit-02, Code 777
15418	กองพลใต้ปฐพี
15428	ผู้กล้าเควสต์แมว
15432	หัวหน้ากองกราวิคชี
15437	มิสติกัน พาซาลัน
15438	พระเจ้าแมวทองคำ
15440	โครโนสผู้ทรงพลัง
15441	Law of Cycles Nagisa
15444	แมวขุดเจาะนีโอ
15445	แมวตอกเสาเข็มนีโอ
15446	แมวเครื่องตัดนีโอ
15447	แมวแบ็คโฮนีโอ
15448	แมวเลื่อยไฟฟ้านีโอ
15449	อสูรสงคราม มิยาโมโตะ
15451	บาเบลเทพจักรพรรดิ
15457	Dark Sakura CC
15468	Super S-Zeus
15469	Head Rococo
15470	Super D-Devil
15483	Cat-Eared Souma
15489	Vanished NNN Wunder
15496	แมวเต้นหน้าท้อง
15497	อสูรสงคราม ไคฮิเมะ
15503	เทพไมร์เซีย
15506	กลาดิโอสเทพจักรพรรดิ
15507	Nameless Eyewaltz CC
15512	Kage
15520	ลาสวอสกำเนิดใหม่
15523	แมวยักษ์นรก
15524	แมวจี้กง
15526	สุดยอดกองกำลังคินเรนเจอร์
15534	ซากิแบดบลาสเตอร์
15535	เฮดีสผู้ทรงพลัง
15547	สุเคลัน คาคุลัน
15557	Ghost Alibaba
15560	เอ็มม่าผู้ว่าการนรก
15564	ซากิอควาบลาสเตอร์
15565	พาซาลันสุดเลิศ
15566	แมวผิวแทนผมดัดลอน
15567	แมวพี่น้องเจลาโต้
15570	กราโวโลดอน
15571	อัศวินวารส์ฮาโลวีน
15585	มาเอดะคริสต์มาส DX
15590	เนเนโกะรักจริง
15595	อัลตร้าแอตแลนติสโลจิสติก
15596	เจ้าคามุคุระบานสะพรั่ง
15608	คันนะสาวนักผจญภัยในตำนาน
15611	ฟาโรห์เนโกคาเมน
15615	แสงสุริยะแดนใต้
15618	นักล่าปีศาจซาโตรุ
15619	อสูรสงคราม อามาคุสะ
15620	เทพลิลิน ไทป์ไพ
15621	เฮวิแจคเทพจักรพรรดิ
15626	ราเจลัน พาซาลัน
15632	ยามิโนระ
15633	ดีอาโบโลซ่าจอมทำลายล้าง
15634	มหากองทัพล่าผีชุนชุน
15635	ไซคลอปอัศวินปีศาจ
15643	ลูซิเฟอร์ผู้ทรงพลัง
15645	เมกาโกะหวานมินต์
15648	เทรันเทพนักล่า ไทป์เซตา
15650	ฮันโซอมตะ
15656	บลิซาเรนา
15657	แมวฮานิวะ
15659	แมวส่งของ
15660	แคทาร์ซาน
15661	ดาเลียซานเทพจักรพรรดิ
15664	แมวหน้ากากแก๊ซ
15665	แมวผ่าตัด
15666	แมวหมอผี
15669	มาสเตอร์เท็งกุผู้อมตะ
15670	ตะบองเพชรแมว
15671	แมวหิ่งห้อยหุ้มเกราะ
15675	เอ็นวานซ์นอกมิติ
15676	แมวแร็กเก็ต
15677	แมวเห็ด
15684	แวมไพร์ยูกิมูระ
15686	แมวซูเปอร์คาร์
15692	เจ้าวานรลูซ่า
15693	โอนิประจำยานรบ โคซุชิมารุ
15698	แมวลูกพี่
15701	แมวมือสังหาร
15707	แมวสบู่
15708	แมวถัง
15714	แมวตัวตลก
15717	แมวตำรวจ
15718	แมวชาวสวน
15721	แมวหมีบาป
15725	แมวแคปซูลไข่
15731	แมวเชิดสิงโต
15758	แมวเจ้าสาว
15766	แมวหอยกาบ
16131	อุรูรุนปลุกพลัง
16173	เนียนดัม รถโรงเรียน
16269	มีนาปลุกพลัง
16324	มูซาชิปลุกพลัง
16427	เมคา-บันอัลทิเมต
16463	เมตาฟิลิบัสเตอร์
16465	นักรบโดกุมอนเกิดใหม่
16533	เออร์สปลุกพลัง
16569	Idi:NX
16614	โดรอนปลุกพลัง
16654	นาลาปลุกพลัง
18025	แมววาลคีรี ศักดิ์สิทธิ์
18026	แมวบาฮามุตปลุกพลัง
19001	แมวโมฮอว์ก
19002	แมวยางลบ
19003	แมวมืด
19004	แมวขานักกล้าม
19005	แมวสิงโต
19006	แมวบิน
19007	แมวเกาะ
19008	แมวเจ้ามังกร
19009	แมวจามีเอร่า
19010	ซูเปอร์เหมียวที่แท้จริง
30000	โจมตีเพิ่มขึ้น D: สีแดง
30001	โจมตีเพิ่มขึ้น C: สีแดง
30002	โจมตีเพิ่มขึ้น B: สีแดง
30003	โจมตีเพิ่มขึ้น A: สีแดง
30004	โจมตีเพิ่มขึ้น S: สีแดง
30005	ป้องกันเพิ่มขึ้น D: สีแดง
30006	ป้องกันเพิ่มขึ้น C: สีแดง
30007	ป้องกันเพิ่มขึ้น B: สีแดง
30008	ป้องกันเพิ่มขึ้น A: สีแดง
30009	ป้องกันเพิ่มขึ้น S: สีแดง
30010	โจมตีเพิ่มขึ้น D: ลอย
30011	โจมตีเพิ่มขึ้น C: ลอย
30012	โจมตีเพิ่มขึ้น B: ลอย
30013	โจมตีเพิ่มขึ้น A: ลอย
30014	โจมตีเพิ่มขึ้น S: ลอย
30015	ป้องกันเพิ่มขึ้น D: ลอย
30016	ป้องกันเพิ่มขึ้น C: ลอย
30017	ป้องกันเพิ่มขึ้น B: ลอย
30018	ป้องกันเพิ่มขึ้น A: ลอย
30019	ป้องกันเพิ่มขึ้น S: ลอย
30020	โจมตีเพิ่มขึ้น D: สีดำ
30021	โจมตีเพิ่มขึ้น C: สีดำ
30022	โจมตีเพิ่มขึ้น B: สีดำ
30023	โจมตีเพิ่มขึ้น A: สีดำ
30024	โจมตีเพิ่มขึ้น S: สีดำ
30025	ป้องกันเพิ่มขึ้น D: สีดำ
30026	ป้องกันเพิ่มขึ้น C: สีดำ
30027	ป้องกันเพิ่มขึ้น B: สีดำ
30028	ป้องกันเพิ่มขึ้น A: สีดำ
30029	ป้องกันเพิ่มขึ้น S: สีดำ
30030	ป้องกันเพิ่มขึ้น D: โลหะ
30031	ป้องกันเพิ่มขึ้น C: โลหะ
30032	ป้องกันเพิ่มขึ้น B: โลหะ
30033	ป้องกันเพิ่มขึ้น A: โลหะ
30034	ป้องกันเพิ่มขึ้น S: โลหะ
30035	โจมตีเพิ่มขึ้น D: เทพ
30036	โจมตีเพิ่มขึ้น C: เทพ
30037	โจมตีเพิ่มขึ้น B: เทพ
30038	โจมตีเพิ่มขึ้น A: เทพ
30039	โจมตีเพิ่มขึ้น S: เทพ
30040	ป้องกันเพิ่มขึ้น D: เทพ
30041	ป้องกันเพิ่มขึ้น C: เทพ
30042	ป้องกันเพิ่มขึ้น B: เทพ
30043	ป้องกันเพิ่มขึ้น A: เทพ
30044	ป้องกันเพิ่มขึ้น S: เทพ
30045	โจมตีเพิ่มขึ้น D: เอเลี่ยน
30046	โจมตีเพิ่มขึ้น C: เอเลี่ยน
30047	โจมตีเพิ่มขึ้น B: เอเลี่ยน
30048	โจมตีเพิ่มขึ้น A: เอเลี่ยน
30049	โจมตีเพิ่มขึ้น S: เอเลี่ยน
30050	ป้องกันเพิ่มขึ้น D: เอเลี่ยน
30051	ป้องกันเพิ่มขึ้น C: เอเลี่ยน
