000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
011	世界中で大ヒットした「Mr.」シリーズから参戦<br>怒濤の走りで間合いを詰めて敵キャラクター<br>めがけてマシンガンを乱射しまくる(範囲攻撃)	世界中で大ヒットした「Mr.」シリーズから参戦<br>怒濤の走りで間合いを詰めて敵キャラクター<br>めがけてバズーカを乱射しまくる(範囲攻撃)	世界中で大ヒットした「Mr.」シリーズから参戦<br>磨きがかかった怒涛の走りで間合いを詰めて<br>パンチガンをぶちかます(範囲攻撃)
012	自分から喜んで盾となる盾用キャラ<br>体力には自信がある<br>｢赤い敵｣にめっぽう強い	さらなる刺激を求める盾用キャラ<br>体力には自信がある<br>｢赤い敵｣にめっぽう強い	究極の刺激を求めた盾用キャラ<br>体力には絶対的な自信を得た<br>｢赤い敵｣にめっぽう強く、まれに生き残る
013	普段はＯＬをしている中距離型キャラ<br>猫縛りとはアフター５でよく出会う<br>攻撃スピードが速く、｢赤い敵｣に強い	ネコのふりをした恐ろしい中距離型キャラ<br>攻撃スピードが速く、｢赤い敵｣に強い<br>	蛍光灯を振り回す危険極まりないキャラ<br>アフター５には映画ばかり見ている<br>攻撃スピードが速く｢赤い敵」と「黒い敵」に強い
014	移動速度で最速を誇る速攻型キャラクター<br>猛ダッシュから繰り出す一撃で<br>敵を一気に粉砕する(範囲攻撃)	辛い人生で道を踏み外した速攻型キャラ<br>猛ダッシュから繰り出す一撃で<br>敵を一気に粉砕する(範囲攻撃)	社会復帰のため工事現場で働き始めた速攻型キャラ<br>猛ダッシュから繰り出す一閃で敵を粉砕する<br>たまに｢黒い敵｣の攻撃力を下げる(範囲攻撃)
015	極寒の地でも最高のパフォーマンスを<br>発揮できる防寒対策を施した遠距離型キャラ<br>キモネコの進化系お遊びキャラクター	急所の防御に特化した遠距離キャラ<br>ただし戦闘には、まったく役立っていない<br>キモネコの進化系お遊びキャラクター	防御することを諦めていた遠距離キャラだが<br>親切なネコのおかげで、もう大丈夫<br>範囲攻撃を取得
016	アイドルを夢見る萌え型にゃんこ<br>地元の応援に応えるべく<br>今日も各地で歌います(たまにクリティカル)	スターに上り詰めた国民的アイドルにゃんこ<br>それでも一人一人のファンを大切にする<br>アイドル界のかがみ的な存在(たまにクリティカル)	スターに上り詰めた国民的アイドルにゃんこ<br>それでも一人一人のファンを大切にする<br>アイドル界のかがみ的な存在
017	世界最高峰の三輪車を乗り回すキャラクター<br>敵をまとめて攻撃できる(範囲攻撃)<br>	ワイルドにバイクを乗り回すワイルドにゃんこ<br>敵をまとめて攻撃できる(範囲攻撃)<br>	曲芸用一輪車を自由自在に乗り回すにゃんこ<br>車輪数を削りコストダウンを実現<br>敵をまとめて攻撃できる(範囲攻撃)
018	秘境の地で忍者を極めた戦闘向きキャラ<br>バトルネコよりも性能が高く<br>｢赤い敵｣にめっぽう強い	修業により忍術を会得した戦闘向きキャラ<br>バトルネコよりも性能が高く、<br>｢赤い敵｣にめっぽう強い	新たに編み出した忍術で空を舞う戦闘向きキャラ<br>コストが安くなり量産型キャラに<br>｢赤い敵｣にめっぽう強い
019	ゾンビメイクを施した戦闘向き高級ユニット<br>ネコフィッシュよりも扱いやすい<br>赤い敵にめっぽう強い	デビルメイクを施した戦闘向き高級ユニット<br>ネコフィッシュよりも扱いやすい<br>赤い敵にめっぽう強い	高鳴るハートが止まらない戦闘向き高級ユニット<br>ネコフィッシュよりも扱いやすい<br>赤い敵とゾンビにめっぽう強く、範囲攻撃を取得
020	武士道を突き進む戦闘向きキャラ<br>攻撃力、体力ともに優れる<br>オールラウンドキャラクター	騎士道をも取り込んだ戦闘向きキャラ<br>攻撃力、体力ともに優れる<br>オールラウンドキャラクター	菓子道も取得した戦闘向きキャラ<br>攻撃でまき散らすホイップクリームは<br>ごくたまに敵を遅くする
021	体力を多く備えた盾用のキャラ<br>タンクネコよりも性能が高い<br>攻撃力もぼちぼちある感じ(範囲攻撃)	新たな境地へ変貌を遂げた盾用のキャラ<br>タンクネコよりも性能が高い<br>攻撃力もぼちぼちある感じ(範囲攻撃)	結婚式で見たライスシャワーを真似る盾用のキャラ<br>タンクネコよりも性能が高い<br>鍛錬を重ね神速を取得(範囲攻撃)
022	みんなをハッピーな気分にさせる<br>ダンシングにゃんこ<br>生産コストが安いので量産が可能	世界中をハッピーな気分にさせる<br>お祭りにゃんこ<br>今日も激しく踊り狂う	世界中のセニョリータをハッピーな気分にさせる<br>メキシカンフェスタにゃんこ<br>ごくたまに敵をふっとばす
023	古着屋で購入した<br>素敵なスカートを装着した遠距離型キャラ<br>キモネコの進化系お遊びキャラクター	百貨店でたまたま見つけた下着を<br>新しい防具だと勘違いしている遠距離型キャラ<br>キモネコの進化系お遊びキャラクター	ネット通販で目新しい名前の下着を見つけたので<br>さっそくはいてみた遠距離型キャラ。はき心地のよさで<br>攻撃回数がアップし、たまにバリアを貫く
024	天界より降臨した戦う女神<br>神さまから授かった最強の槍ニャングリルは<br>敵をまとめて攻撃する(範囲攻撃)	真の姿にクラスチェンジした戦う女神<br>ちなみに神さまがしつこく言い寄ってきて困っている<br>敵をまとめて攻撃可能(範囲攻撃)	にゃんこ達の力で本来の姿を取り戻した戦う女神<br>神さまから新たなる槍、聖ニャングリルを授かり敵を討つ<br>たまに敵をしばらく止める(範囲攻撃)
025	かつて世界を滅ぼしたと伝えられる<br>伝説の超古代兵器<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)	かつて世界を滅ぼしたと伝えられる<br>超古代兵器の着ぐるみだったことが判明<br>それでも圧倒的な破壊力の攻撃はする(範囲攻撃)	かつて世界を滅ぼしたと伝えられる<br>超古代兵器の着ぐるみから解き放たれ覚醒したネコムート<br>不滅のパワーとスピードで敵を駆逐する(範囲攻撃)
026	「スイーツ！」を求めて特別参戦<br>伝家の宝刀「ケリ」を猛ダッシュから繰り出す！<br>参戦中もイケメン探しは止まらない！？	「スイーツ！」を求めて特別参戦<br>色っぽくなったおてんばお姫様<br>伝家の宝刀「ケリ」を猛ダッシュから繰り出す！	「スイーツ！」を求めて特別参戦<br>純白のドレスでバージンロードを全力疾走<br>愛の「ケリ」を受け止めてくれる人を待つ？
027	真実の美を求めて地球を旅するネコ<br>旅の途中で出会ったお姫様にあこがれて<br>カツラ屋さんでアイテムを購入した	真実の美を求めて地球を旅するネコ<br>旅の途中で出会ったお姫様にあこがれて<br>全財産を整形につぎ込んだ	
028	プラスチック製のカプセルに<br>ビルトインした今どき風ネコ<br>高速移動からの体当たりが得意	プラスチック製のカプセルに<br>もりっとビルトインした｢ねこ盛り｣(ねこもり)<br>高速移動からの体当たりが得意	
029	ついに伝説のマスクを入手した冒険者ガマトト<br>から無断で借りたマスクをかぶって参戦<br>性能はもちろんマスクをかぶっただけである	ついにレスラー界へ進出した冒険者ガマトト<br>のブログでコメントを書き込むのが最近の日課<br>クラスチェンジすると性能が大きく変化(範囲攻撃)	
030	心を鍛えることで肉体をも強化させた<br>奇跡のにゃんこ<br>浮いてる敵の移動をたまに遅くする(範囲攻撃)	鍛え上げた心と張りぼての腕を<br>背中に装着した奇跡のにゃんこ<br>浮いてる敵の移動をたまに遅くする(範囲攻撃)	俗世の者たちを温かく見守る心優しき奇跡のにゃんこ<br>三度やらかすともちろんキレる(範囲攻撃)<br>たまに浮いてる敵の移動を遅くし攻撃力をダウンさせる
031	学校では敵無しのちょいワルにゃんこ<br>浮いてる敵をたまに一瞬止める(範囲攻撃)<br>	冷蔵庫のアイスクリームを父親に<br>食べられて怒りに目覚めたちょいワルにゃんこ<br>浮いてる敵をたまに一瞬止める(範囲攻撃)	怒りを拳に込めて戦うちょいワルにゃんこ<br>今日も拾い集めたパチンコ玉をアイスと交換<br>浮いてる敵と古代種をたまに一瞬止める(範囲攻撃)
032	某ダンススクールでトップダンサーを目指す<br>量産がしやすく使い勝手の良いキャラ<br>赤い敵の移動をごくたまに遅くする	某ダンススクールでトップダンサーを目指すが<br>ライバルの多さに方向転換を余儀なくされたキャラ<br>赤い敵の移動をごくたまに遅くする	過激すぎる踊りで某ダンススクールを退学になった<br>挑発的かつ刺激的なダンサー<br>赤い敵の移動をたまに遅くする
033	冬場に向けて機能性を向上させたキャラ<br>浮いてる敵に打たれ強く<br>たまに｢浮いてる敵｣の攻撃力を下げる	人を驚かせる為にＴＶに入りこんで以来、<br>そのまま出れなくなった自縛霊<br>浮いてる敵に打たれ強く、たまに攻撃力を下げる	TVの企画「大ダコ捕獲作戦」でタコつぼに潜んで以来<br>心地よいぬくもりの虜になったネコ。波動を打ち消し<br>浮いてる敵に打たれ強く、たまに攻撃力を下げる
034	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>進化させると…	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>メタルな敵以外の敵を後方へふっとばす(範囲攻撃)	ネコなのか巨大変身ヒーローなのかまったく正体不明の<br>謎のキャラクター。メタルな敵以外の敵をふっとばし<br>敵の動きを止める(範囲攻撃)
035	家の中なら誰にも負ける気がしない<br>ネット界に嵐を巻き起こすオトコ<br>超遠距離攻撃が可能(遠方攻撃)	ボタンひとつで全てを動かす<br>エリート大学出身のハイテクにゃんこ<br>超遠距離の範囲攻撃が可能(遠方範囲攻撃)	指すら触れずに全てを動かす天才ハッカー<br>先日、仮想通貨取引で大損した<br>メタルな敵以外の動きを一瞬遅くする(遠方範囲攻撃)
036	勝負ごとの悲しみを知り<br>独りで泣くことで強さを覚えたキャラクター<br>浮いてる敵に超ダメージを与える	底なしの苦しみを迎え入れることで<br>祝福を勝ち取った努力のキャラクター<br>浮いてる敵に超ダメージを与える	ネコとしての限界を超えたキャラクター<br>更なるスピードを手に入れたが大会には出禁になった<br>浮いてる敵に超ダメージを与える
037	おもちゃ量販店で最高にテンションが<br>上がる乗物をゲットしたキャラクター<br>生産コストが安く量産が可能で、まれに生き残る	異国の文化に触れ、異国の文化を<br>取り入れた新手のコスプレイヤー<br>生産コストが安く量産が可能で、まれに生き残る	異国のホラー映画に影響されたコスプレイヤー<br>額のお札が現在の全財産<br>生産コストが安く量産が可能で、必ず生き残る
038	妖怪ブームがきっかけで<br>自ら妖怪へと姿を変えたキャラクター<br>エイリアンに超ダメージを与える(範囲攻撃)	日食ブームがきっかけで<br>自ら太陽系へと姿を変えたキャラクター<br>エイリアンに超ダメージを与える(範囲攻撃)	クールビズで涼しげなビジュアルへと<br>進化したキャラクター<br>エイリアンに超ダメージを与える(範囲攻撃)
039	川から流れてきた巨大なリンゴを<br>身にまとったキャラクター<br>赤い敵の動きをごくたまに一瞬止める	道ばたに落ちていた<br>何かの残骸を身にまとったキャラクター<br>赤い敵の動きをごくたまに一瞬止める	カラフルな巨大リンゴを身にまとったキャラクター<br>タートルネックの似合う彼のひらめきで世界が変わる<br>赤い敵の動きを必ず止める(範囲攻撃)
040	いつもキレイ好きな遠距離型キャラクター<br>赤い敵に超ダメージを与える<br>	いつもキレイ好きな遠距離型キャラクター<br>ムダ毛の処理はかかさない<br>赤い敵に超ダメージを与える	いつもキレイ好きな遠距離型キャラクター<br>汚い金を洗浄して作った黄金のバスタブで<br>赤い敵に超ダメージを与える
041	自分みがきの為なら投資を惜しまない<br>美しい脚を持ったキャラとのコラボは美の極み<br>遠距離型で範囲攻撃を持った貴重なキャラ	ファンからはジェンヌさんと呼ばれ<br>いつでも注目のマトのオシャレキャラクター<br>遠距離型で範囲攻撃を持った貴重なキャラ	自分みがきを極めサイボーグ化したネコ<br>そのパーフェクトボディは世界中の女性の憧れ<br>遠距離型で範囲攻撃を持った貴重なキャラ
042	氷の世界より降り立った少女に<br>心うばわれたにゃんこ(範囲攻撃)<br>赤い敵の動きをたまにしばらく止める	氷漬けになることで<br>永遠の命を与えられたにゃんこ(範囲攻撃)<br>赤い敵の動きをたまにしばらく止める	氷の女王へと成長した少女を見守る<br>美しい氷の結晶となったにゃんこ<br>赤い敵の動きをしばらく止める(範囲攻撃)
043	連邦政府から破壊兵器の製造を依頼され<br>製作したMSシリーズ試作機1号である(範囲攻撃)<br>赤い敵とエイリアンに打たれ強い	破壊兵器としての利用を阻止する為<br>研究施設から脱出した実戦型MS:RX-13(範囲攻撃)<br>赤い敵とエイリアンに打たれ強い	破壊兵器MSシリーズの量産を始めた連邦政府に<br>決戦型へと化したMS:RX-Ωが阻止に乗り込む(範囲攻撃)<br>赤い敵とエイリアンに打たれ強く、波動を打ち消す
044	強さを求めるあまり鬼に魅了された<br>狂気のキャラクター<br>単体攻撃だが繰り出される一撃は強烈	鬼に魅了されたあとも強さを欲し続ける<br>狂気のキャラクター<br>単体攻撃だが繰り出される一撃は強烈	究極の強さを欲して奈落をさまよい<br>地獄の業火に焼かれた狂気のキャラクター<br>単体攻撃を極め攻撃力がアップ
045	芸の道に進んだ行動力あふれるキャラクター<br>とはいえ中身は通常のネコと同じである<br>	芸の道を究めるあまりネコでは無くなった<br>と思いこんでいるキャラクター<br>遠距離攻撃が得意	
046	ジュラ紀から存在する<br>古代ネコの末裔<br>ごくたまにクリティカル攻撃を出す	赤ちゃんのお世話が大好きな<br>ジュラ紀から存在する古代ネコの末裔<br>ごくたまにクリティカル攻撃を出す	ただのトカゲを立派な恐竜にまで育て上げた<br>凄腕古代ベビーシッターの末裔<br>ごくたまにクリティカル攻撃を出す
047	ファンタジー世界にあこがれる<br>戦闘向きのキャラクター<br>赤い敵にめっぽう強い	ファンタジー世界にあこがれて<br>オーダーメイドの鎧を発注したキャラクター<br>赤い敵にめっぽう強い	｢化け物退治のお礼に王様から譲り受けた｣<br>という設定で通販にて装備を買い揃えたキャラクター<br>赤い敵にめっぽう強い(範囲攻撃)
048	某マンガに影響されて<br>海賊王を夢見るキャラクター<br>ごくたまに赤い敵をふっとばす	海賊＝かっこいいの思想がいまだに消えない<br>能力者では無いがカナヅチでもある<br>ごくたまに赤い敵をふっとばす	ある海賊映画を観て鞍替えしたにわか海賊マニア<br>一緒に海へ出てくれる仲間を探している<br>たまに赤い敵をふっとばす
049	素早い動きで敵を翻弄するキャラクター<br>敵を倒したときにお金を多くもらえる<br>	奇奇怪怪な動きで敵を翻弄<br>世界の秘宝コレクターでもある<br>敵を倒したときにお金を多くもらえる	各地を回る内いつの間にか大泥棒となったネコ<br>千両箱の中身は四次元になってたりしない<br>敵を倒したときにお金を多くもらえる(範囲攻撃)
050	愛を込めて敵を殴り倒す<br>慈悲深いキャラクター<br>ごくたまに浮いてる敵の動きを遅くする	感謝を込めて敵を昇天させる<br>情け深いキャラクター<br>ごくたまに浮いてる敵の動きを遅くする	悟りを開き人々を救う旅にでたキャラクター<br>ありがたい殴打で悩みや色々なものがふっとぶ<br>ごくたまに浮いてる敵の動きを遅くする(範囲攻撃)
051	未来を予言する大物占い師<br>の本を愛読するキャラクター<br>ごくたまに浮いてる敵をふっとばす	巨大マグロを追い求める漁師一家の長男<br>船酔いが激しいので船には乗らない<br>ごくたまに浮いてる敵をふっとばす	毒をもって毒を制すが口癖の凄腕ドクター<br>代表著書は「痛いかどうかは気持ち次第」<br>たまに浮いてる敵をふっとばす
052	シャーマンとは超自然的存在と接触できる者<br>と某ネット辞書に書いてあった<br>ごくたまに浮いてる敵の動きを一瞬止める	超自然的存在に逆に操られてしまった<br>哀れなキャラクター<br>ごくたまに浮いてる敵の動きを一瞬止める	超自然的存在と踊り狂うキャラクター<br>ことわざ「踊れば友なり」の語源と言われている<br>ごくたまに浮いてる敵の動きを止める
053	レジェンド達に会うことで入手できる<br>敵の動きを止めることができるエスパーにゃんこ<br>押され気味のときに召喚するのだ！	レジェンド達に会うことで入手できる<br>流れを妨害することができるエスパーにゃんこ<br>押され気味のときに召喚するのだ！	
054	C4Iシステムを搭載する｢走るコンピューター｣の<br>異名をもつ１０(ひとまる)式戦車(範囲攻撃)<br>本物はタッチパネル操作で主砲が撃てるらしい	乗員3人　全備重量約44t 最高速度70km/h<br>全長9.42m 全幅3.24m 全高2.30m(範囲攻撃)<br>水冷4サイクルV型8気筒ディーゼルエンジン	
055	魔法少女にあこがれる<br>マジカルにゃんこ<br>赤い敵の移動をごくたまに遅くする	本格的な魔法を通信教育で学んだ魔女ネコ<br>忘年会では多彩な芸を披露可能<br>赤い敵の移動をごくたまに遅くする	自己流の占術が大ブレイクし芸能界入りした魔女<br>色々なネコに「お前は狂乱化する」と予言している<br>赤い敵の移動をごくたまに遅くする
056	遠距離から攻撃できる支援型ねこ<br>体力はあまり無い<br>浮いてる敵に超ダメージを与える	遠距離から攻撃できる支援型ねこ<br>体力はあまり無い<br>浮いてる敵に超ダメージを与える	天界で放つ流れ矢の被害が絶えず<br>地上に追いやられてしまった星座ネコ<br>浮いてる敵に超ダメージを与える
057	呪われた剣によって通常攻撃は強くはないが<br>たまにクリティカル攻撃を出すことができる<br>メタルキラーにゃんこ	呪われた剣によって我を忘れた<br>メタルキラーにゃんこ<br>たまにクリティカル攻撃を出すことができる(範囲攻撃)	剣の呪縛から解放され真の力を取り戻したにゃんこ<br>聖なる槍でメタルな敵を討ち滅ぼす<br>たまにクリティカル攻撃を出すことができる(範囲攻撃)
058	魔法と剣をたくみに使いこなす<br>戦闘向きキャラクター<br>炎の剣で赤い敵に超ダメージを与える	魔法と剣をたくみに使いこなす<br>戦闘向きキャラクター<br>炎の剣で赤い敵に超ダメージを与える	魔法と剣のエキスパートへと成長した魔剣士<br>店主を務める焼き鳥屋のパフォーマンスでも活躍<br>炎の剣で赤い敵に超ダメージを与える
059	一人では何もできない赤ちゃんにゃんこ<br>いじめると怖いお父さんが出現<br>たまに浮いてる敵とエイリアンをふっとばす(範囲攻撃)	一人では何もできない赤ちゃんにゃんこ達<br>いじめると怖いお父さんが出現<br>たまに浮いてる敵とエイリアンをふっとばす(範囲攻撃)	集まっても何もできない赤ちゃんにゃんこ達<br>いじめると怖いお父さんが出現(範囲攻撃)<br>たまに浮いてる敵とエイリアンをふっとばし、波動を放つ
060	体力を多く備えた盾用のキャラ<br>攻撃力もけっこうある感じ<br>たまにメタルの敵をふっとばす(範囲攻撃)	かの有名な彫像のフリをしたアートネコ<br>攻撃力もけっこうある感じ<br>たまにメタルの敵をふっとばす(範囲攻撃)	長寿クイズ番組を支えてきた頭脳派ネコ<br>最近はおバカタレントの台頭で人気が落ち気味<br>たまにメタルの敵をふっとばす(範囲攻撃)
061	自ら回転しながら素早く移動できる<br>鮮度抜群の高級盾キャラクター(範囲攻撃)<br>赤い敵に打たれ強く、まれに攻撃力を下げる	自ら回転しながら素早く移動できる<br>つっぱり感が…ッパねぇ高級盾キャラ(範囲攻撃)<br>赤い敵に打たれ強く、まれに攻撃力を下げる	わてら敵に回すんやったらイクラでも相手したるで！<br>あがりより熱いハートで吠える高級盾キャラ(範囲攻撃)<br>赤い敵に打たれ強く、まれに攻撃力を下げる
062	プラスチック製のガシャポンマシンに<br>入りこんだタンクネコ(範囲攻撃)<br>覆われている分、タンクネコより少し頑丈	プラスチック製のガシャポンマシンに<br>入りこんだ少し長めのタンクネコ(範囲攻撃)<br>覆われている分、タンクネコより少し頑丈	
063	３匹分のネコの能力と１匹分のタンクネコの能力を<br>ひとつに集約した運動会大好きヤロウ達<br>コスパも良くてとってもお得(範囲攻撃)	３匹分のネコの能力と１匹分のタンクネコの能力を<br>ひとつに集約したチョイ悪にゃんこ達<br>コスパも良くてとってもお得(範囲攻撃)	３匹のネコが１匹のタンクネコの能力を<br>極限まで引き出す過激派運動会集団<br>コスパも良くてとってもお得(範囲攻撃)
064	ケリ姫スイーツに登場するキャラクター<br>コラボレーションにより夢の競演<br>	ケリ姫スイーツに登場するキャラクター<br>コラボレーションにより夢の競演<br>	
065	振り乱した髪の毛には狂気すら感じる<br>ウシネコよりもちょっとだけリーチが長い<br>黒い敵に超ダメージを与える	振り乱した髪の毛には狂気すら感じる<br>ネコキリンよりもちょっとだけリーチが長い<br>黒い敵に超ダメージを与える	
066	KHM48＝ケリ姫みこしと48匹のにゃんこ達<br>長距離からのにゃんこの一撃は<br>たまに黒い敵の動きを一瞬止める(範囲攻撃)	悪の帝王からの呪縛を逃れたにゃんこ達<br>長距離からのにゃんこの一撃は<br>たまに黒い敵の動きを一瞬止める(範囲攻撃)	KHM46＝ケリ姫みこしと46匹のにゃんこ達<br>にゃんこの数が少なくても気持ちで負けないネコ集団<br>たまに黒い敵の動きを止める(範囲攻撃)
067	ケリ姫スイーツに登場するキャラクター<br>黒い敵からのダメージを大幅に軽減する<br>コストが安く黒い敵からの防御に最適	ケリ姫スイーツに登場するキャラクター<br>黒い敵からのダメージを大幅に軽減する<br>コストが安く黒い敵からの防御に最適	
068	ケリ姫スイーツに登場するキャラクター<br>コラボレーションにより夢の競演<br>たまに黒い敵の動きを遅くする(範囲攻撃)	ケリ姫スイーツに登場するキャラクター<br>コラボレーションにより夢の競演<br>たまに黒い敵の動きを遅くする(範囲攻撃)	ケリ姫スイーツに登場するキャラクター<br>審判の鐘の音で杭と地獄の鎌を呼び出して攻撃する<br>たまに黒い敵の動きを遅くする(範囲攻撃)
069	眠っているケリ姫を勝手に連れ出した巨神ネコ<br>通常の巨神ネコよりも少しだけリーチが長いが<br>少しだけ足が遅い(範囲攻撃)	眠っているケリ姫を勝手に連れ出した巨神ネコ<br>通常の巨神ネコよりも少しだけリーチが長いが<br>少しだけ足が遅い(範囲攻撃)	眠っているケリ姫を勝手に連れ出した巨神ネコ<br>離れなくなったケリ姫をお城までお届け中<br>別れが近くてちょっぴりおセンチ(範囲攻撃)
070	日々働いている人たちに感謝の思いを忘れない<br>赤い敵にめっぽう強い勤労感謝ネコ<br>伝家の宝刀｢DoGeZa｣が今日も炸裂する	上司に怨みを抱く赤い敵にめっぽう強いオカルトネコ<br>毛さえ用意すれば代理でも呪ってくれる<br>伝家の宝釘｢GoSuN｣が今日も炸裂(範囲攻撃)	言いたいことも言えないこんな世の中に憤るネコ<br>ブログ名を教えれば代理で炎上させてくれる<br>伝家の投稿｢BouGen｣が今日も炸裂(範囲攻撃)
071	伝説の武具「にゃんこ胴」の呪いによって<br>鳥の姿へと変えられた戦国武将(範囲攻撃)<br>俊敏な動きで黒い敵に超ダメージを与える	伝説の武具「にゃんこ胴」の隠しオプション<br>ジェットブースターを装着(範囲攻撃)<br>俊敏な動きで黒い敵に超ダメージを与える	更なる速さを求め紅蓮の大翼を手に入れた武神<br>風が如く空を切り裂き敵陣に討ち入る(範囲攻撃)<br>俊敏な動きで黒い敵に超ダメージを与える
072	伝説の武具「にゃん籠手」の呪いによって<br>虎の姿へと変えられた戦国武将(範囲攻撃)<br>黒い敵に打たれ強く、体力減少で攻撃力大幅上昇	伝説の武具「にゃん籠手」の呪いによって<br>頭から桜の木が生えてきた(範囲攻撃)<br>黒い敵に打たれ強く、体力減少で攻撃力大幅上昇	咲き誇った桜は武将の意思を奪い破壊の衝動へと<br>駆り立てる。黒い敵に打たれ強く、体力減少で<br>攻撃力大幅上昇。波動ダメージを無効にする(範囲攻撃)
073	織田信長の怨念に取り込まれてしまった<br>数々の生命体と一匹のにゃんこ<br>黒い敵の動きを必ず止める(範囲攻撃)	織田信長の怨念のパワーがさらに加速<br>ついでに、にゃんこの煩悩パワーも超加速<br>黒い敵の動きを必ず止める(範囲攻撃)	にゃんこの煩悩で第六天魔王へ変化した織田信長<br>地獄の亡者どもを従え闇世界から天下統一を目指す<br>黒い敵の動きを必ず止める(範囲攻撃)
074	戦闘向きのキャラがかわいく進化<br>夢を乗せてプレゼントを運ぶ！<br>敵を倒したときにお金を多くもらえる	戦闘向きのキャラがおいしく進化<br>身を削って最高のおもてなし！<br>敵を倒したときにお金を多くもらえる	戦闘向きのキャラがあま～く進化<br>チョコたっぷり、骨まで美味しく召し上がれ<br>敵を倒したときにお金を多くもらえる(範囲攻撃)
075	風のチカラを操るハイパー少女<br>遠距離から放たれるバキュームキャノンは<br>浮いてる敵に超ダメージを与える(範囲攻撃)	たまに風の痛みが聞こえる不思議ちゃん<br>遠距離から放たれるバキュームキャノンは<br>浮いてる敵に超ダメージを与える(範囲攻撃)	使いこなせないくせに最新メカにいつでも興味津々<br>遠距離から放たれるネオバキュームキャノンは<br>浮いてる敵に超ダメージを与える(範囲攻撃)
